Title:,"Time Series, Area-Averaged of Total Column Mass Density - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"111.8981,39.0896,113.5727,40.2992"
Data Bounding Box:,"112.5,39.5,113.125,40"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=111.8981,39.0896,113.5727,40.2992&data=M2TMNXAER_5_12_4_TOTCMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTCMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTCMASS25
2014-01-01 00:00:00,2.7662721e-05
2014-02-01 00:00:00,5.83884813e-05
2014-03-01 00:00:00,5.68713403e-05
2014-04-01 00:00:00,7.56739281e-05
2014-05-01 00:00:00,8.24824305e-05
2014-06-01 00:00:00,6.83237796e-05
2014-07-01 00:00:00,5.01069868e-05
2014-08-01 00:00:00,5.80703377e-05
2014-09-01 00:00:00,6.2169269e-05
2014-10-01 00:00:00,5.84137569e-05
2014-11-01 00:00:00,3.43612183e-05
2014-12-01 00:00:00,2.64946944e-05
2015-01-01 00:00:00,3.17939715e-05
2015-02-01 00:00:00,4.42683864e-05
2015-03-01 00:00:00,5.62748875e-05
2015-04-01 00:00:00,6.49091884e-05
2015-05-01 00:00:00,7.00069426e-05
2015-06-01 00:00:00,6.73239567e-05
2015-07-01 00:00:00,7.41979608e-05
2015-08-01 00:00:00,4.94864969e-05
2015-09-01 00:00:00,5.80202559e-05
2015-10-01 00:00:00,4.45502481e-05
2015-11-01 00:00:00,4.63754808e-05
2015-12-01 00:00:00,2.94028798e-05
2016-01-01 00:00:00,2.21676504e-05
2016-02-01 00:00:00,3.05826711e-05
2016-03-01 00:00:00,5.76096395e-05
2016-04-01 00:00:00,5.95734534e-05
2016-05-01 00:00:00,7.43227547e-05
2016-06-01 00:00:00,6.4571141e-05
2016-07-01 00:00:00,5.2391522e-05
2016-08-01 00:00:00,4.32132475e-05
2016-09-01 00:00:00,4.20336121e-05
2016-10-01 00:00:00,5.291407e-05
2016-11-01 00:00:00,4.33896088e-05
2016-12-01 00:00:00,3.18181145e-05
2017-01-01 00:00:00,3.17765616e-05
2017-02-01 00:00:00,3.40064872e-05
2017-03-01 00:00:00,5.70434135e-05
2017-04-01 00:00:00,5.82632028e-05
2017-05-01 00:00:00,6.77676722e-05
2017-06-01 00:00:00,5.75578328e-05
2017-07-01 00:00:00,6.03178904e-05
2017-08-01 00:00:00,4.76509096e-05
2017-09-01 00:00:00,5.34139447e-05
2017-10-01 00:00:00,5.47105249e-05
2017-11-01 00:00:00,3.47558169e-05
2017-12-01 00:00:00,2.85136229e-05
2018-01-01 00:00:00,3.76357995e-05
2018-02-01 00:00:00,4.0065528e-05
2018-03-01 00:00:00,8.26359083e-05
2018-04-01 00:00:00,8.22616976e-05
2018-05-01 00:00:00,7.43322657e-05
2018-06-01 00:00:00,6.04091268e-05
2018-07-01 00:00:00,5.34964931e-05
2018-08-01 00:00:00,5.19489836e-05
2018-09-01 00:00:00,4.80027284e-05
2018-10-01 00:00:00,3.7503606e-05
2018-11-01 00:00:00,4.77160631e-05
2018-12-01 00:00:00,3.42500867e-05
2019-01-01 00:00:00,3.22686853e-05
2019-02-01 00:00:00,4.85079511e-05
2019-03-01 00:00:00,4.80303477e-05
2019-04-01 00:00:00,6.66352033e-05
2019-05-01 00:00:00,6.92421535e-05
2019-06-01 00:00:00,6.75358794e-05
2019-07-01 00:00:00,5.88525314e-05
2019-08-01 00:00:00,4.59285789e-05
2019-09-01 00:00:00,4.6533723e-05
2019-10-01 00:00:00,5.18601384e-05
2019-11-01 00:00:00,4.57749921e-05
2019-12-01 00:00:00,3.30213425e-05
2020-01-01 00:00:00,3.2138363e-05
2020-02-01 00:00:00,4.44221648e-05
2020-03-01 00:00:00,5.47101274e-05
2020-04-01 00:00:00,5.28375096e-05
2020-05-01 00:00:00,6.48085257e-05
2020-06-01 00:00:00,7.03832806e-05
2020-07-01 00:00:00,6.01791356e-05
2020-08-01 00:00:00,5.01243731e-05
2020-09-01 00:00:00,4.75383153e-05
2020-10-01 00:00:00,4.85177935e-05
2020-11-01 00:00:00,4.04358544e-05
2020-12-01 00:00:00,2.45593066e-05
2021-01-01 00:00:00,4.09629863e-05
2021-02-01 00:00:00,4.1866954e-05
2021-03-01 00:00:00,8.4493029e-05
2021-04-01 00:00:00,6.90958567e-05
2021-05-01 00:00:00,7.0425289e-05
2021-06-01 00:00:00,7.08130913e-05
2021-07-01 00:00:00,5.31235415e-05
2021-08-01 00:00:00,7.00750208e-05
2021-09-01 00:00:00,4.90625603e-05
2021-10-01 00:00:00,4.02308459e-05
2021-11-01 00:00:00,3.95223812e-05
2021-12-01 00:00:00,2.89649623e-05
2022-01-01 00:00:00,2.96446559e-05
2022-02-01 00:00:00,3.10203881e-05
2022-03-01 00:00:00,7.85417017e-05
2022-04-01 00:00:00,8.88641403e-05
2022-05-01 00:00:00,7.08420601e-05
2022-06-01 00:00:00,6.214653e-05
2022-07-01 00:00:00,6.82359956e-05
2022-08-01 00:00:00,4.91085684e-05
2022-09-01 00:00:00,4.12005854e-05
2022-10-01 00:00:00,4.76993836e-05
2022-11-01 00:00:00,3.86491914e-05
2022-12-01 00:00:00,2.40831458e-05
2023-01-01 00:00:00,3.81569522e-05
2023-02-01 00:00:00,4.17257942e-05
2023-03-01 00:00:00,5.58022728e-05
2023-04-01 00:00:00,7.88091508e-05
2023-05-01 00:00:00,8.77600879e-05
2023-06-01 00:00:00,5.54338937e-05
2023-07-01 00:00:00,5.32060838e-05
2023-08-01 00:00:00,4.29820374e-05
2023-09-01 00:00:00,5.13969261e-05
2023-10-01 00:00:00,3.69532863e-05
2023-11-01 00:00:00,2.9268802e-05
2023-12-01 00:00:00,3.29684287e-05
2024-01-01 00:00:00,2.55868326e-05
2024-02-01 00:00:00,5.21845271e-05
2024-03-01 00:00:00,5.31504643e-05
2024-04-01 00:00:00,7.25655511e-05
2024-05-01 00:00:00,6.64042514e-05
2024-06-01 00:00:00,6.33878397e-05
2024-07-01 00:00:00,5.76721991e-05
2024-08-01 00:00:00,4.38593896e-05
2024-09-01 00:00:00,4.20346353e-05
2024-10-01 00:00:00,3.89318911e-05
2024-11-01 00:00:00,2.99362621e-05
2024-12-01 00:00:00,2.1400445e-05
2025-01-01 00:00:00,2.8187106e-05
2025-02-01 00:00:00,2.64099684e-05
2025-03-01 00:00:00,4.97087086e-05
2025-04-01 00:00:00,5.74636422e-05
2025-05-01 00:00:00,8.01486107e-05
