Title:,"Time Series, Area-Averaged of Total Column Mass Density - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"101.1382,26.0818,102.2463,27.3428"
Data Bounding Box:,"101.25,26.5,101.875,27"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=101.1382,26.0818,102.2463,27.3428&data=M2TMNXAER_5_12_4_TOTCMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTCMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTCMASS25
2014-01-01 00:00:00,1.68821002e-05
2014-02-01 00:00:00,2.40974722e-05
2014-03-01 00:00:00,5.02647849e-05
2014-04-01 00:00:00,6.34499775e-05
2014-05-01 00:00:00,3.69349916e-05
2014-06-01 00:00:00,2.22513459e-05
2014-07-01 00:00:00,2.11269672e-05
2014-08-01 00:00:00,2.1209776e-05
2014-09-01 00:00:00,1.77490671e-05
2014-10-01 00:00:00,1.96418438e-05
2014-11-01 00:00:00,1.48677599e-05
2014-12-01 00:00:00,1.8038272e-05
2015-01-01 00:00:00,1.67134907e-05
2015-02-01 00:00:00,3.01415742e-05
2015-03-01 00:00:00,5.74092046e-05
2015-04-01 00:00:00,4.41884449e-05
2015-05-01 00:00:00,3.48165132e-05
2015-06-01 00:00:00,1.96983907e-05
2015-07-01 00:00:00,2.46438225e-05
2015-08-01 00:00:00,2.28450347e-05
2015-09-01 00:00:00,1.46276873e-05
2015-10-01 00:00:00,2.0547818e-05
2015-11-01 00:00:00,1.47383245e-05
2015-12-01 00:00:00,2.04715096e-05
2016-01-01 00:00:00,1.89801524e-05
2016-02-01 00:00:00,4.71753158e-05
2016-03-01 00:00:00,5.51893675e-05
2016-04-01 00:00:00,6.19452055e-05
2016-05-01 00:00:00,3.82159923e-05
2016-06-01 00:00:00,1.7463082e-05
2016-07-01 00:00:00,1.5663491e-05
2016-08-01 00:00:00,2.50335679e-05
2016-09-01 00:00:00,1.95317672e-05
2016-10-01 00:00:00,1.54152337e-05
2016-11-01 00:00:00,1.45744648e-05
2016-12-01 00:00:00,1.46695881e-05
2017-01-01 00:00:00,1.31999464e-05
2017-02-01 00:00:00,3.21401999e-05
2017-03-01 00:00:00,4.70141255e-05
2017-04-01 00:00:00,5.28955123e-05
2017-05-01 00:00:00,4.00514007e-05
2017-06-01 00:00:00,2.20144134e-05
2017-07-01 00:00:00,1.75183481e-05
2017-08-01 00:00:00,2.09238588e-05
2017-09-01 00:00:00,1.45262255e-05
2017-10-01 00:00:00,1.9065245e-05
2017-11-01 00:00:00,1.6104876e-05
2017-12-01 00:00:00,1.6631066e-05
2018-01-01 00:00:00,1.72721185e-05
2018-02-01 00:00:00,4.37628543e-05
2018-03-01 00:00:00,5.21563449e-05
2018-04-01 00:00:00,5.83619025e-05
2018-05-01 00:00:00,4.15922213e-05
2018-06-01 00:00:00,2.90418493e-05
2018-07-01 00:00:00,1.82769482e-05
2018-08-01 00:00:00,2.47508697e-05
2018-09-01 00:00:00,1.88607974e-05
2018-10-01 00:00:00,1.88085318e-05
2018-11-01 00:00:00,1.89195216e-05
2018-12-01 00:00:00,9.94845761e-06
2019-01-01 00:00:00,1.45805115e-05
2019-02-01 00:00:00,2.48486582e-05
2019-03-01 00:00:00,5.51312485e-05
2019-04-01 00:00:00,5.02430143e-05
2019-05-01 00:00:00,4.47993443e-05
2019-06-01 00:00:00,1.93187206e-05
2019-07-01 00:00:00,2.14535878e-05
2019-08-01 00:00:00,2.72075651e-05
2019-09-01 00:00:00,1.99861418e-05
2019-10-01 00:00:00,1.3623497e-05
2019-11-01 00:00:00,1.58753019e-05
2019-12-01 00:00:00,1.50767148e-05
2020-01-01 00:00:00,1.53382955e-05
2020-02-01 00:00:00,3.02493338e-05
2020-03-01 00:00:00,4.21967353e-05
2020-04-01 00:00:00,5.83515111e-05
2020-05-01 00:00:00,3.27378075e-05
2020-06-01 00:00:00,1.46448778e-05
2020-07-01 00:00:00,1.26077156e-05
2020-08-01 00:00:00,1.72376541e-05
2020-09-01 00:00:00,1.50169969e-05
2020-10-01 00:00:00,1.58789332e-05
2020-11-01 00:00:00,1.5793867e-05
2020-12-01 00:00:00,1.41891563e-05
2021-01-01 00:00:00,2.33024338e-05
2021-02-01 00:00:00,2.97690766e-05
2021-03-01 00:00:00,8.11383828e-05
2021-04-01 00:00:00,6.82292535e-05
2021-05-01 00:00:00,3.05116648e-05
2021-06-01 00:00:00,2.18287845e-05
2021-07-01 00:00:00,1.79237318e-05
2021-08-01 00:00:00,1.84637224e-05
2021-09-01 00:00:00,1.58175696e-05
2021-10-01 00:00:00,1.79437396e-05
2021-11-01 00:00:00,1.8943697e-05
2021-12-01 00:00:00,1.42365378e-05
2022-01-01 00:00:00,1.49002488e-05
2022-02-01 00:00:00,2.73693552e-05
2022-03-01 00:00:00,5.07337473e-05
2022-04-01 00:00:00,6.6135686e-05
2022-05-01 00:00:00,3.86656401e-05
2022-06-01 00:00:00,2.5126354e-05
2022-07-01 00:00:00,2.24109539e-05
2022-08-01 00:00:00,2.10422873e-05
2022-09-01 00:00:00,2.19878306e-05
2022-10-01 00:00:00,1.76561563e-05
2022-11-01 00:00:00,1.12016448e-05
2022-12-01 00:00:00,1.99637281e-05
2023-01-01 00:00:00,2.14922355e-05
2023-02-01 00:00:00,4.05120515e-05
2023-03-01 00:00:00,4.35653038e-05
2023-04-01 00:00:00,5.01972899e-05
2023-05-01 00:00:00,3.3543857e-05
2023-06-01 00:00:00,2.81006707e-05
2023-07-01 00:00:00,1.82779922e-05
2023-08-01 00:00:00,2.30087858e-05
2023-09-01 00:00:00,1.80090539e-05
2023-10-01 00:00:00,1.57497395e-05
2023-11-01 00:00:00,1.43359926e-05
2023-12-01 00:00:00,1.54487459e-05
2024-01-01 00:00:00,1.67274398e-05
2024-02-01 00:00:00,2.99209466e-05
2024-03-01 00:00:00,3.87268039e-05
2024-04-01 00:00:00,5.81819164e-05
2024-05-01 00:00:00,5.01096042e-05
2024-06-01 00:00:00,2.41583527e-05
2024-07-01 00:00:00,1.52927979e-05
2024-08-01 00:00:00,2.55759365e-05
2024-09-01 00:00:00,2.17747326e-05
2024-10-01 00:00:00,2.04900829e-05
2024-11-01 00:00:00,1.77710044e-05
2024-12-01 00:00:00,1.20469963e-05
2025-01-01 00:00:00,2.51889593e-05
2025-02-01 00:00:00,3.36159812e-05
2025-03-01 00:00:00,6.32681289e-05
2025-04-01 00:00:00,5.11445596e-05
2025-05-01 00:00:00,3.09359009e-05
