Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"113.9136,24.4862,116.6443,27.1436"
Data Bounding Box:,"114.375,24.5,116.25,27"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=113.9136,24.4862,116.6443,27.1436&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,5.13983769e-08
2014-02-01 00:00:00,3.31713112e-08
2014-03-01 00:00:00,3.98947225e-08
2014-04-01 00:00:00,3.63547442e-08
2014-05-01 00:00:00,3.15970888e-08
2014-06-01 00:00:00,3.06501278e-08
2014-07-01 00:00:00,2.00670272e-08
2014-08-01 00:00:00,2.39715571e-08
2014-09-01 00:00:00,2.11400482e-08
2014-10-01 00:00:00,3.4222415e-08
2014-11-01 00:00:00,3.25051348e-08
2014-12-01 00:00:00,3.50220921e-08
2015-01-01 00:00:00,4.04718592e-08
2015-02-01 00:00:00,4.06122542e-08
2015-03-01 00:00:00,3.64096213e-08
2015-04-01 00:00:00,3.52162442e-08
2015-05-01 00:00:00,2.68593868e-08
2015-06-01 00:00:00,1.93872451e-08
2015-07-01 00:00:00,2.11384714e-08
2015-08-01 00:00:00,2.3918762e-08
2015-09-01 00:00:00,2.59925871e-08
2015-10-01 00:00:00,3.24248003e-08
2015-11-01 00:00:00,2.56658287e-08
2015-12-01 00:00:00,2.99584872e-08
2016-01-01 00:00:00,3.04159564e-08
2016-02-01 00:00:00,3.21140684e-08
2016-03-01 00:00:00,3.80814639e-08
2016-04-01 00:00:00,3.27313379e-08
2016-05-01 00:00:00,2.62298942e-08
2016-06-01 00:00:00,2.01113928e-08
2016-07-01 00:00:00,1.73514195e-08
2016-08-01 00:00:00,2.20902849e-08
2016-09-01 00:00:00,2.39299534e-08
2016-10-01 00:00:00,2.2121495e-08
2016-11-01 00:00:00,2.97661736e-08
2016-12-01 00:00:00,3.25623305e-08
2017-01-01 00:00:00,3.18472033e-08
2017-02-01 00:00:00,3.06314392e-08
2017-03-01 00:00:00,3.38291362e-08
2017-04-01 00:00:00,3.17658035e-08
2017-05-01 00:00:00,2.89446508e-08
2017-06-01 00:00:00,1.86488114e-08
2017-07-01 00:00:00,1.35459682e-08
2017-08-01 00:00:00,1.81197369e-08
2017-09-01 00:00:00,2.13691052e-08
2017-10-01 00:00:00,2.9099218e-08
2017-11-01 00:00:00,2.76221338e-08
2017-12-01 00:00:00,3.63274489e-08
2018-01-01 00:00:00,3.63950231e-08
2018-02-01 00:00:00,3.44560061e-08
2018-03-01 00:00:00,3.0447034e-08
2018-04-01 00:00:00,3.35293263e-08
2018-05-01 00:00:00,2.51494846e-08
2018-06-01 00:00:00,1.93780029e-08
2018-07-01 00:00:00,1.53752077e-08
2018-08-01 00:00:00,1.95922298e-08
2018-09-01 00:00:00,1.99679916e-08
2018-10-01 00:00:00,2.62572992e-08
2018-11-01 00:00:00,2.74906611e-08
2018-12-01 00:00:00,3.05633296e-08
2019-01-01 00:00:00,3.37708255e-08
2019-02-01 00:00:00,4.51642564e-08
2019-03-01 00:00:00,3.5598397e-08
2019-04-01 00:00:00,3.35016362e-08
2019-05-01 00:00:00,2.89341915e-08
2019-06-01 00:00:00,1.84164056e-08
2019-07-01 00:00:00,1.81742552e-08
2019-08-01 00:00:00,2.02264059e-08
2019-09-01 00:00:00,2.29622139e-08
2019-10-01 00:00:00,3.22190078e-08
2019-11-01 00:00:00,3.02266468e-08
2019-12-01 00:00:00,3.28950895e-08
2020-01-01 00:00:00,3.45352478e-08
2020-02-01 00:00:00,2.5719678e-08
2020-03-01 00:00:00,3.57338312e-08
2020-04-01 00:00:00,3.43615467e-08
2020-05-01 00:00:00,2.52772785e-08
2020-06-01 00:00:00,1.40483851e-08
2020-07-01 00:00:00,1.6766195e-08
2020-08-01 00:00:00,1.65104307e-08
2020-09-01 00:00:00,2.2800682e-08
2020-10-01 00:00:00,2.53366529e-08
2020-11-01 00:00:00,2.81410797e-08
2020-12-01 00:00:00,3.40702355e-08
2021-01-01 00:00:00,2.75977547e-08
2021-02-01 00:00:00,2.9513771e-08
2021-03-01 00:00:00,3.71892498e-08
2021-04-01 00:00:00,3.14911428e-08
2021-05-01 00:00:00,2.48062965e-08
2021-06-01 00:00:00,1.7039793e-08
2021-07-01 00:00:00,1.54032083e-08
2021-08-01 00:00:00,1.71708157e-08
2021-09-01 00:00:00,1.75916145e-08
2021-10-01 00:00:00,2.28937004e-08
2021-11-01 00:00:00,2.08991781e-08
2021-12-01 00:00:00,2.72747316e-08
2022-01-01 00:00:00,3.10902924e-08
2022-02-01 00:00:00,2.7521214e-08
2022-03-01 00:00:00,3.20864884e-08
2022-04-01 00:00:00,2.99154668e-08
2022-05-01 00:00:00,2.24627409e-08
2022-06-01 00:00:00,1.55091886e-08
2022-07-01 00:00:00,1.6582242e-08
2022-08-01 00:00:00,1.39777341e-08
2022-09-01 00:00:00,2.353705e-08
2022-10-01 00:00:00,2.04048388e-08
2022-11-01 00:00:00,2.17451143e-08
2022-12-01 00:00:00,3.2231154e-08
2023-01-01 00:00:00,2.85194468e-08
2023-02-01 00:00:00,3.094618e-08
2023-03-01 00:00:00,3.73878437e-08
2023-04-01 00:00:00,3.30541226e-08
2023-05-01 00:00:00,2.46216543e-08
2023-06-01 00:00:00,1.80012664e-08
2023-07-01 00:00:00,1.49525285e-08
2023-08-01 00:00:00,2.05152741e-08
2023-09-01 00:00:00,1.60240572e-08
2023-10-01 00:00:00,2.32458493e-08
2023-11-01 00:00:00,2.61237263e-08
2023-12-01 00:00:00,2.48841848e-08
2024-01-01 00:00:00,3.10111295e-08
2024-02-01 00:00:00,3.62300857e-08
2024-03-01 00:00:00,2.97409464e-08
2024-04-01 00:00:00,3.30807288e-08
2024-05-01 00:00:00,2.16723198e-08
2024-06-01 00:00:00,1.56680764e-08
2024-07-01 00:00:00,1.27219574e-08
2024-08-01 00:00:00,1.76746285e-08
2024-09-01 00:00:00,1.67024728e-08
2024-10-01 00:00:00,2.24796651e-08
2024-11-01 00:00:00,1.9510152e-08
2024-12-01 00:00:00,3.32327412e-08
2025-01-01 00:00:00,2.87810807e-08
2025-02-01 00:00:00,2.97601375e-08
2025-03-01 00:00:00,3.42355749e-08
2025-04-01 00:00:00,3.42300985e-08
2025-05-01 00:00:00,2.43006081e-08
