Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"112.958,22.5146,114.0606,23.9327"
Data Bounding Box:,"113.125,23,113.75,23.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=112.958,22.5146,114.0606,23.9327&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,5.15314712e-08
2014-02-01 00:00:00,3.43848658e-08
2014-03-01 00:00:00,4.00646966e-08
2014-04-01 00:00:00,4.75048564e-08
2014-05-01 00:00:00,3.16706934e-08
2014-06-01 00:00:00,3.14518882e-08
2014-07-01 00:00:00,2.9613224e-08
2014-08-01 00:00:00,2.54436514e-08
2014-09-01 00:00:00,2.97925747e-08
2014-10-01 00:00:00,4.09479253e-08
2014-11-01 00:00:00,3.63297949e-08
2014-12-01 00:00:00,3.57658509e-08
2015-01-01 00:00:00,3.61863362e-08
2015-02-01 00:00:00,3.79069396e-08
2015-03-01 00:00:00,3.90535195e-08
2015-04-01 00:00:00,3.47376533e-08
2015-05-01 00:00:00,3.04533982e-08
2015-06-01 00:00:00,2.37474101e-08
2015-07-01 00:00:00,2.88935865e-08
2015-08-01 00:00:00,3.01665487e-08
2015-09-01 00:00:00,3.20529999e-08
2015-10-01 00:00:00,3.3257518e-08
2015-11-01 00:00:00,2.84183653e-08
2015-12-01 00:00:00,3.20301844e-08
2016-01-01 00:00:00,3.22283664e-08
2016-02-01 00:00:00,3.42836666e-08
2016-03-01 00:00:00,3.71644287e-08
2016-04-01 00:00:00,2.74036025e-08
2016-05-01 00:00:00,2.74081594e-08
2016-06-01 00:00:00,2.81575815e-08
2016-07-01 00:00:00,2.4619292e-08
2016-08-01 00:00:00,3.57799356e-08
2016-09-01 00:00:00,3.18434792e-08
2016-10-01 00:00:00,2.50907279e-08
2016-11-01 00:00:00,3.27013428e-08
2016-12-01 00:00:00,3.05786657e-08
2017-01-01 00:00:00,3.41418651e-08
2017-02-01 00:00:00,3.21615635e-08
2017-03-01 00:00:00,3.50295691e-08
2017-04-01 00:00:00,3.49948672e-08
2017-05-01 00:00:00,3.66994863e-08
2017-06-01 00:00:00,2.46828442e-08
2017-07-01 00:00:00,2.43384375e-08
2017-08-01 00:00:00,2.48832621e-08
2017-09-01 00:00:00,2.87415417e-08
2017-10-01 00:00:00,3.07347183e-08
2017-11-01 00:00:00,3.16063954e-08
2017-12-01 00:00:00,3.55341144e-08
2018-01-01 00:00:00,3.7244738e-08
2018-02-01 00:00:00,3.72767131e-08
2018-03-01 00:00:00,3.21568756e-08
2018-04-01 00:00:00,3.71355774e-08
2018-05-01 00:00:00,2.47334801e-08
2018-06-01 00:00:00,2.71966812e-08
2018-07-01 00:00:00,2.31494955e-08
2018-08-01 00:00:00,3.24863149e-08
2018-09-01 00:00:00,2.99213138e-08
2018-10-01 00:00:00,3.49639055e-08
2018-11-01 00:00:00,3.21488801e-08
2018-12-01 00:00:00,3.22610321e-08
2019-01-01 00:00:00,3.47431714e-08
2019-02-01 00:00:00,3.83055108e-08
2019-03-01 00:00:00,4.15780607e-08
2019-04-01 00:00:00,3.62497429e-08
2019-05-01 00:00:00,3.72087789e-08
2019-06-01 00:00:00,2.29509799e-08
2019-07-01 00:00:00,2.65828065e-08
2019-08-01 00:00:00,3.23254208e-08
2019-09-01 00:00:00,3.5032072e-08
2019-10-01 00:00:00,3.75677195e-08
2019-11-01 00:00:00,3.27358593e-08
2019-12-01 00:00:00,3.5620883e-08
2020-01-01 00:00:00,3.10677779e-08
2020-02-01 00:00:00,3.07176826e-08
2020-03-01 00:00:00,3.97287856e-08
2020-04-01 00:00:00,4.49514383e-08
2020-05-01 00:00:00,3.06713962e-08
2020-06-01 00:00:00,1.87744704e-08
2020-07-01 00:00:00,1.98646654e-08
2020-08-01 00:00:00,2.69519473e-08
2020-09-01 00:00:00,2.88797465e-08
2020-10-01 00:00:00,2.96646921e-08
2020-11-01 00:00:00,2.78386161e-08
2020-12-01 00:00:00,3.26154973e-08
2021-01-01 00:00:00,3.1681293e-08
2021-02-01 00:00:00,3.22741619e-08
2021-03-01 00:00:00,3.77813379e-08
2021-04-01 00:00:00,3.64216887e-08
2021-05-01 00:00:00,2.16198892e-08
2021-06-01 00:00:00,2.5656149e-08
2021-07-01 00:00:00,2.43454509e-08
2021-08-01 00:00:00,2.51285033e-08
2021-09-01 00:00:00,3.14064265e-08
2021-10-01 00:00:00,2.54712851e-08
2021-11-01 00:00:00,2.32948089e-08
2021-12-01 00:00:00,2.70435692e-08
2022-01-01 00:00:00,3.22416453e-08
2022-02-01 00:00:00,3.06888149e-08
2022-03-01 00:00:00,3.43858384e-08
2022-04-01 00:00:00,3.57535578e-08
2022-05-01 00:00:00,3.26825094e-08
2022-06-01 00:00:00,2.23918713e-08
2022-07-01 00:00:00,2.61906134e-08
2022-08-01 00:00:00,2.37232268e-08
2022-09-01 00:00:00,3.23983479e-08
2022-10-01 00:00:00,2.36595648e-08
2022-11-01 00:00:00,2.66926155e-08
2022-12-01 00:00:00,2.95441903e-08
2023-01-01 00:00:00,2.95404523e-08
2023-02-01 00:00:00,3.35614305e-08
2023-03-01 00:00:00,4.25216806e-08
2023-04-01 00:00:00,3.93626099e-08
2023-05-01 00:00:00,3.4336406e-08
2023-06-01 00:00:00,2.68323996e-08
2023-07-01 00:00:00,2.04614406e-08
2023-08-01 00:00:00,2.71571053e-08
2023-09-01 00:00:00,2.45892631e-08
2023-10-01 00:00:00,2.98560448e-08
2023-11-01 00:00:00,3.22450731e-08
2023-12-01 00:00:00,2.51131357e-08
2024-01-01 00:00:00,3.2611461e-08
2024-02-01 00:00:00,3.62659161e-08
2024-03-01 00:00:00,3.42756327e-08
2024-04-01 00:00:00,3.42160986e-08
2024-05-01 00:00:00,3.23151207e-08
2024-06-01 00:00:00,2.5961824e-08
2024-07-01 00:00:00,2.18433655e-08
2024-08-01 00:00:00,2.75742208e-08
2024-09-01 00:00:00,2.95949755e-08
2024-10-01 00:00:00,2.65002042e-08
2024-11-01 00:00:00,2.14746648e-08
2024-12-01 00:00:00,3.35326913e-08
2025-01-01 00:00:00,3.00613684e-08
2025-02-01 00:00:00,3.31933122e-08
2025-03-01 00:00:00,3.78135337e-08
2025-04-01 00:00:00,3.64011637e-08
2025-05-01 00:00:00,2.58682137e-08
