Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"105.2898,28.1602,110.2004,32.2012"
Data Bounding Box:,"105.625,28.5,110,32"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=105.2898,28.1602,110.2004,32.2012&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,5.72125078e-08
2014-02-01 00:00:00,4.63204857e-08
2014-03-01 00:00:00,4.16978543e-08
2014-04-01 00:00:00,4.09473235e-08
2014-05-01 00:00:00,3.86970948e-08
2014-06-01 00:00:00,3.61832795e-08
2014-07-01 00:00:00,2.1638043e-08
2014-08-01 00:00:00,2.94108931e-08
2014-09-01 00:00:00,2.79025553e-08
2014-10-01 00:00:00,4.38540313e-08
2014-11-01 00:00:00,3.92352229e-08
2014-12-01 00:00:00,4.1487166e-08
2015-01-01 00:00:00,4.59354713e-08
2015-02-01 00:00:00,4.81979163e-08
2015-03-01 00:00:00,3.90606571e-08
2015-04-01 00:00:00,3.6778756e-08
2015-05-01 00:00:00,3.20347977e-08
2015-06-01 00:00:00,2.43418958e-08
2015-07-01 00:00:00,2.70267577e-08
2015-08-01 00:00:00,2.58004487e-08
2015-09-01 00:00:00,3.41960093e-08
2015-10-01 00:00:00,3.9253166e-08
2015-11-01 00:00:00,3.67559634e-08
2015-12-01 00:00:00,3.4768489e-08
2016-01-01 00:00:00,4.22028433e-08
2016-02-01 00:00:00,4.08667108e-08
2016-03-01 00:00:00,3.9794565e-08
2016-04-01 00:00:00,3.35401087e-08
2016-05-01 00:00:00,3.51768788e-08
2016-06-01 00:00:00,2.26336547e-08
2016-07-01 00:00:00,1.92604336e-08
2016-08-01 00:00:00,2.31455493e-08
2016-09-01 00:00:00,3.04020853e-08
2016-10-01 00:00:00,3.46632471e-08
2016-11-01 00:00:00,4.28620249e-08
2016-12-01 00:00:00,4.37075709e-08
2017-01-01 00:00:00,4.73392613e-08
2017-02-01 00:00:00,4.04365501e-08
2017-03-01 00:00:00,3.75334065e-08
2017-04-01 00:00:00,3.60966149e-08
2017-05-01 00:00:00,3.10400001e-08
2017-06-01 00:00:00,2.55798925e-08
2017-07-01 00:00:00,1.83782395e-08
2017-08-01 00:00:00,2.14260452e-08
2017-09-01 00:00:00,2.8845971e-08
2017-10-01 00:00:00,3.53647004e-08
2017-11-01 00:00:00,4.31232646e-08
2017-12-01 00:00:00,4.8957919e-08
2018-01-01 00:00:00,4.77903532e-08
2018-02-01 00:00:00,4.45512181e-08
2018-03-01 00:00:00,3.89967421e-08
2018-04-01 00:00:00,3.6071484e-08
2018-05-01 00:00:00,3.9605026e-08
2018-06-01 00:00:00,2.33111881e-08
2018-07-01 00:00:00,1.94203694e-08
2018-08-01 00:00:00,1.8609953e-08
2018-09-01 00:00:00,2.65700279e-08
2018-10-01 00:00:00,3.2703977e-08
2018-11-01 00:00:00,4.42535014e-08
2018-12-01 00:00:00,4.7908042e-08
2019-01-01 00:00:00,4.48686747e-08
2019-02-01 00:00:00,4.2473929e-08
2019-03-01 00:00:00,3.88614461e-08
2019-04-01 00:00:00,3.67950264e-08
2019-05-01 00:00:00,3.17253529e-08
2019-06-01 00:00:00,2.41303449e-08
2019-07-01 00:00:00,2.29281169e-08
2019-08-01 00:00:00,2.41833238e-08
2019-09-01 00:00:00,3.21289181e-08
2019-10-01 00:00:00,3.86239462e-08
2019-11-01 00:00:00,4.23462228e-08
2019-12-01 00:00:00,4.40693079e-08
2020-01-01 00:00:00,4.26861326e-08
2020-02-01 00:00:00,3.56618598e-08
2020-03-01 00:00:00,3.94926551e-08
2020-04-01 00:00:00,3.62280391e-08
2020-05-01 00:00:00,2.93659252e-08
2020-06-01 00:00:00,2.38043129e-08
2020-07-01 00:00:00,2.09656462e-08
2020-08-01 00:00:00,1.77861547e-08
2020-09-01 00:00:00,2.31935029e-08
2020-10-01 00:00:00,3.55503712e-08
2020-11-01 00:00:00,3.78067654e-08
2020-12-01 00:00:00,4.2423539e-08
2021-01-01 00:00:00,4.4289308e-08
2021-02-01 00:00:00,3.58848724e-08
2021-03-01 00:00:00,4.36174004e-08
2021-04-01 00:00:00,3.54476412e-08
2021-05-01 00:00:00,2.90183949e-08
2021-06-01 00:00:00,2.50826826e-08
2021-07-01 00:00:00,1.86695215e-08
2021-08-01 00:00:00,2.17918892e-08
2021-09-01 00:00:00,2.10796982e-08
2021-10-01 00:00:00,3.04762237e-08
2021-11-01 00:00:00,3.42327753e-08
2021-12-01 00:00:00,3.95726852e-08
2022-01-01 00:00:00,3.81051377e-08
2022-02-01 00:00:00,3.382381e-08
2022-03-01 00:00:00,3.94747119e-08
2022-04-01 00:00:00,3.48863093e-08
2022-05-01 00:00:00,2.55096305e-08
2022-06-01 00:00:00,2.38190851e-08
2022-07-01 00:00:00,1.86265938e-08
2022-08-01 00:00:00,1.66570326e-08
2022-09-01 00:00:00,3.13447726e-08
2022-10-01 00:00:00,3.1335371e-08
2022-11-01 00:00:00,3.8312632e-08
2022-12-01 00:00:00,4.00348504e-08
2023-01-01 00:00:00,4.72956282e-08
2023-02-01 00:00:00,4.4023682e-08
2023-03-01 00:00:00,3.67626208e-08
2023-04-01 00:00:00,3.97856235e-08
2023-05-01 00:00:00,3.08725949e-08
2023-06-01 00:00:00,2.83801274e-08
2023-07-01 00:00:00,2.15728867e-08
2023-08-01 00:00:00,2.09825473e-08
2023-09-01 00:00:00,2.35654444e-08
2023-10-01 00:00:00,2.69269041e-08
2023-11-01 00:00:00,3.80489248e-08
2023-12-01 00:00:00,4.34892762e-08
2024-01-01 00:00:00,4.35383177e-08
2024-02-01 00:00:00,4.50984191e-08
2024-03-01 00:00:00,3.62804239e-08
2024-04-01 00:00:00,3.45000148e-08
2024-05-01 00:00:00,2.80599163e-08
2024-06-01 00:00:00,2.21584439e-08
2024-07-01 00:00:00,1.76261707e-08
2024-08-01 00:00:00,1.92742165e-08
2024-09-01 00:00:00,2.38671121e-08
2024-10-01 00:00:00,2.93095535e-08
2024-11-01 00:00:00,3.51866391e-08
2024-12-01 00:00:00,3.87965515e-08
2025-01-01 00:00:00,4.32272495e-08
2025-02-01 00:00:00,3.49921074e-08
2025-03-01 00:00:00,3.91550967e-08
2025-04-01 00:00:00,3.79170875e-08
2025-05-01 00:00:00,3.02072409e-08
