Title:,"Time Series, Area-Averaged of Bias corrected surface total PM2.5 mass concentration - all quality levels hourly 0.5 x 0.625 (hourly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-01T23:59:59Z
User Bounding Box:,"113.677,22.234,114.6521,22.8515"
Data Bounding Box:,"113.75,22.5,114.375,22.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-01T23:59:59Z&bbox=113.677,22.234,114.6521,22.8515&data=MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25):, -999

time, mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25
2014-01-01 00:30:00,71.524231
2014-01-01 01:30:00,81.0966949
2014-01-01 02:30:00,88.5987396
2014-01-01 03:30:00,95.5814819
2014-01-01 04:30:00,95.3355713
2014-01-01 05:30:00,92.7066269
2014-01-01 06:30:00,92.6081848
2014-01-01 07:30:00,87.5512695
2014-01-01 08:30:00,81.3097382
2014-01-01 09:30:00,83.3827362
2014-01-01 10:30:00,85.4749756
2014-01-01 11:30:00,85.8525162
2014-01-01 12:30:00,87.2426147
2014-01-01 13:30:00,85.3811111
2014-01-01 14:30:00,83.710228
2014-01-01 15:30:00,83.5411377
2014-01-01 16:30:00,82.2636261
2014-01-01 17:30:00,80.7802582
2014-01-01 18:30:00,75.8883514
2014-01-01 19:30:00,68.7894745
2014-01-01 20:30:00,62.2089195
2014-01-01 21:30:00,58.6750412
2014-01-01 22:30:00,54.8535194
2014-01-01 23:30:00,52.9188423
2014-01-02 00:30:00,45.6116028
2014-01-02 01:30:00,47.2655258
2014-01-02 02:30:00,61.0142593
2014-01-02 03:30:00,70.1469269
2014-01-02 04:30:00,67.9972992
2014-01-02 05:30:00,64.7625656
2014-01-02 06:30:00,59.0783348
2014-01-02 07:30:00,56.7796555
2014-01-02 08:30:00,54.3607483
2014-01-02 09:30:00,55.1646347
2014-01-02 10:30:00,52.0172844
2014-01-02 11:30:00,49.457943
2014-01-02 12:30:00,47.9973984
2014-01-02 13:30:00,52.0975494
2014-01-02 14:30:00,56.7326584
2014-01-02 15:30:00,58.5083504
2014-01-02 16:30:00,58.8170242
2014-01-02 17:30:00,58.5566177
2014-01-02 18:30:00,56.8083153
2014-01-02 19:30:00,56.9309158
2014-01-02 20:30:00,60.211586
2014-01-02 21:30:00,67.1405945
2014-01-02 22:30:00,72.8360443
2014-01-02 23:30:00,76.6718292
2014-01-03 00:30:00,72.7638474
2014-01-03 01:30:00,78.557045
2014-01-03 02:30:00,75.9483185
2014-01-03 03:30:00,78.0965118
2014-01-03 04:30:00,76.3384933
2014-01-03 05:30:00,77.5129547
2014-01-03 06:30:00,74.7753448
2014-01-03 07:30:00,77.0279541
2014-01-03 08:30:00,73.83992
2014-01-03 09:30:00,78.4741821
2014-01-03 10:30:00,79.4898224
2014-01-03 11:30:00,84.4307098
2014-01-03 12:30:00,89.5343552
2014-01-03 13:30:00,109.834656
2014-01-03 14:30:00,133.9207
2014-01-03 15:30:00,146.321625
2014-01-03 16:30:00,142.977615
2014-01-03 17:30:00,138.821716
2014-01-03 18:30:00,150.900696
2014-01-03 19:30:00,164.381699
2014-01-03 20:30:00,167.378601
2014-01-03 21:30:00,163.162231
2014-01-03 22:30:00,157.146774
2014-01-03 23:30:00,154.683868
2014-01-04 00:30:00,154.101212
2014-01-04 01:30:00,124.202919
2014-01-04 02:30:00,113.913391
2014-01-04 03:30:00,134.053223
2014-01-04 04:30:00,138.207703
2014-01-04 05:30:00,130.810486
2014-01-04 06:30:00,138.970123
2014-01-04 07:30:00,135.695404
2014-01-04 08:30:00,130.089279
2014-01-04 09:30:00,137.938965
2014-01-04 10:30:00,135.539307
2014-01-04 11:30:00,150.651535
2014-01-04 12:30:00,150.876068
2014-01-04 13:30:00,164.340805
2014-01-04 14:30:00,172.37709
2014-01-04 15:30:00,174.507904
2014-01-04 16:30:00,143.417145
2014-01-04 17:30:00,151.491333
2014-01-04 18:30:00,154.890076
2014-01-04 19:30:00,154.376694
2014-01-04 20:30:00,147.596649
2014-01-04 21:30:00,136.540558
2014-01-04 22:30:00,121.440994
2014-01-04 23:30:00,113.303024
2014-01-05 00:30:00,111.093796
2014-01-05 01:30:00,116.650261
2014-01-05 02:30:00,109.087585
2014-01-05 03:30:00,83.9566498
2014-01-05 04:30:00,100.668808
2014-01-05 05:30:00,117.772621
2014-01-05 06:30:00,135.345581
2014-01-05 07:30:00,133.583191
2014-01-05 08:30:00,140.887482
2014-01-05 09:30:00,133.519531
2014-01-05 10:30:00,130.166855
2014-01-05 11:30:00,120.639847
2014-01-05 12:30:00,109.082169
2014-01-05 13:30:00,99.3643494
2014-01-05 14:30:00,87.1516418
2014-01-05 15:30:00,77.8516693
2014-01-05 16:30:00,72.587204
2014-01-05 17:30:00,66.8604736
2014-01-05 18:30:00,63.8666306
2014-01-05 19:30:00,63.4524994
2014-01-05 20:30:00,65.1453171
2014-01-05 21:30:00,68.4581375
2014-01-05 22:30:00,71.2002487
2014-01-05 23:30:00,72.9021759
2014-01-06 00:30:00,68.626976
2014-01-06 01:30:00,58.7084808
2014-01-06 02:30:00,50.54282
2014-01-06 03:30:00,45.2764626
2014-01-06 04:30:00,42.8004074
2014-01-06 05:30:00,44.019249
2014-01-06 06:30:00,45.4034004
2014-01-06 07:30:00,41.9098434
2014-01-06 08:30:00,43.0524025
2014-01-06 09:30:00,40.4274406
2014-01-06 10:30:00,35.5349655
2014-01-06 11:30:00,29.7894058
2014-01-06 12:30:00,26.4623871
2014-01-06 13:30:00,24.656105
2014-01-06 14:30:00,24.9984779
2014-01-06 15:30:00,25.9887238
2014-01-06 16:30:00,28.010437
2014-01-06 17:30:00,31.111763
2014-01-06 18:30:00,33.3189545
2014-01-06 19:30:00,34.0628204
2014-01-06 20:30:00,32.6600037
2014-01-06 21:30:00,31.3852882
2014-01-06 22:30:00,29.6191673
2014-01-06 23:30:00,27.2721901
2014-01-07 00:30:00,25.6522751
2014-01-07 01:30:00,24.7950382
2014-01-07 02:30:00,25.1460876
2014-01-07 03:30:00,30.856926
2014-01-07 04:30:00,30.3935356
2014-01-07 05:30:00,30.6950932
2014-01-07 06:30:00,41.6506424
2014-01-07 07:30:00,41.0982895
2014-01-07 08:30:00,39.4887238
2014-01-07 09:30:00,40.4033775
2014-01-07 10:30:00,41.1092224
2014-01-07 11:30:00,41.5737686
2014-01-07 12:30:00,41.8368378
2014-01-07 13:30:00,42.5283318
2014-01-07 14:30:00,43.0332184
2014-01-07 15:30:00,45.0585518
2014-01-07 16:30:00,49.7050095
2014-01-07 17:30:00,56.2786026
2014-01-07 18:30:00,59.0166092
2014-01-07 19:30:00,58.7024918
2014-01-07 20:30:00,56.9555664
2014-01-07 21:30:00,48.7432632
2014-01-07 22:30:00,38.5899658
2014-01-07 23:30:00,35.7327385
2014-01-08 00:30:00,42.7398911
2014-01-08 01:30:00,44.4129677
2014-01-08 02:30:00,55.9499245
2014-01-08 03:30:00,50.6473732
2014-01-08 04:30:00,53.6721268
2014-01-08 05:30:00,62.3854599
2014-01-08 06:30:00,44.8367386
2014-01-08 07:30:00,48.5135689
2014-01-08 08:30:00,52.5068054
2014-01-08 09:30:00,57.8586578
2014-01-08 10:30:00,58.4734802
2014-01-08 11:30:00,58.8839645
2014-01-08 12:30:00,53.9609833
2014-01-08 13:30:00,48.1375465
2014-01-08 14:30:00,43.8814659
2014-01-08 15:30:00,41.0946198
2014-01-08 16:30:00,40.6256485
2014-01-08 17:30:00,43.4604607
2014-01-08 18:30:00,44.4304008
2014-01-08 19:30:00,40.9062881
2014-01-08 20:30:00,33.8894119
2014-01-08 21:30:00,25.5552006
2014-01-08 22:30:00,21.0763283
2014-01-08 23:30:00,19.2945232
2014-01-09 00:30:00,18.8739719
2014-01-09 01:30:00,23.2941132
2014-01-09 02:30:00,31.1420021
2014-01-09 03:30:00,37.7238808
2014-01-09 04:30:00,42.6904144
2014-01-09 05:30:00,42.1520386
2014-01-09 06:30:00,42.9226151
2014-01-09 07:30:00,43.3094864
2014-01-09 08:30:00,39.7088814
2014-01-09 09:30:00,38.666153
2014-01-09 10:30:00,38.8984909
2014-01-09 11:30:00,40.5799179
2014-01-09 12:30:00,40.7075424
2014-01-09 13:30:00,40.0691605
2014-01-09 14:30:00,39.5475502
2014-01-09 15:30:00,38.5916557
2014-01-09 16:30:00,37.9106216
2014-01-09 17:30:00,37.8760834
2014-01-09 18:30:00,37.2793045
2014-01-09 19:30:00,38.2193604
2014-01-09 20:30:00,35.7806396
2014-01-09 21:30:00,35.1631622
2014-01-09 22:30:00,32.6333694
2014-01-09 23:30:00,30.7789288
2014-01-10 00:30:00,28.2734661
2014-01-10 01:30:00,22.7267113
2014-01-10 02:30:00,18.3051128
2014-01-10 03:30:00,23.8444633
2014-01-10 04:30:00,26.246685
2014-01-10 05:30:00,28.9245834
2014-01-10 06:30:00,34.5637245
2014-01-10 07:30:00,36.2542343
2014-01-10 08:30:00,34.2508774
2014-01-10 09:30:00,33.1456871
2014-01-10 10:30:00,33.3615379
2014-01-10 11:30:00,33.2067757
2014-01-10 12:30:00,33.4766731
2014-01-10 13:30:00,32.8722916
2014-01-10 14:30:00,31.8601646
2014-01-10 15:30:00,30.8976555
2014-01-10 16:30:00,28.672493
2014-01-10 17:30:00,30.0956993
2014-01-10 18:30:00,30.0833797
2014-01-10 19:30:00,29.748455
2014-01-10 20:30:00,29.5650749
2014-01-10 21:30:00,29.081974
2014-01-10 22:30:00,28.6498852
2014-01-10 23:30:00,28.8995628
2014-01-11 00:30:00,29.1897449
2014-01-11 01:30:00,28.2549248
2014-01-11 02:30:00,30.1089134
2014-01-11 03:30:00,35.5378647
2014-01-11 04:30:00,40.1794243
2014-01-11 05:30:00,41.4668236
2014-01-11 06:30:00,41.3488235
2014-01-11 07:30:00,39.1743584
2014-01-11 08:30:00,38.5505753
2014-01-11 09:30:00,40.3840179
2014-01-11 10:30:00,38.9116516
2014-01-11 11:30:00,37.599411
2014-01-11 12:30:00,38.8427048
2014-01-11 13:30:00,44.6564445
2014-01-11 14:30:00,48.7357483
2014-01-11 15:30:00,47.2705078
2014-01-11 16:30:00,38.0119362
2014-01-11 17:30:00,37.0441055
2014-01-11 18:30:00,35.8366776
2014-01-11 19:30:00,37.1026192
2014-01-11 20:30:00,40.0765038
2014-01-11 21:30:00,42.3466034
2014-01-11 22:30:00,43.2456284
2014-01-11 23:30:00,37.4395027
2014-01-12 00:30:00,29.5697556
2014-01-12 01:30:00,24.7913589
2014-01-12 02:30:00,21.2323895
2014-01-12 03:30:00,33.0739174
2014-01-12 04:30:00,38.0508156
2014-01-12 05:30:00,42.9922066
2014-01-12 06:30:00,47.3406296
2014-01-12 07:30:00,47.3880615
2014-01-12 08:30:00,45.2527695
2014-01-12 09:30:00,43.7400055
2014-01-12 10:30:00,37.3270416
2014-01-12 11:30:00,27.0230064
2014-01-12 12:30:00,19.154211
2014-01-12 13:30:00,13.6196842
2014-01-12 14:30:00,13.6889658
2014-01-12 15:30:00,13.1456966
2014-01-12 16:30:00,13.3231163
2014-01-12 17:30:00,15.2411604
2014-01-12 18:30:00,17.0660591
2014-01-12 19:30:00,19.1622238
2014-01-12 20:30:00,21.3654976
2014-01-12 21:30:00,24.8280716
