Title:,"Time Series, Area-Averaged of Bias corrected surface total PM2.5 mass concentration - all quality levels hourly 0.5 x 0.625 (hourly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-01T23:59:59Z
User Bounding Box:,"113.7004,29.9666,115.0808,31.3612"
Data Bounding Box:,"113.75,30,115,31"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-01T23:59:59Z&bbox=113.7004,29.9666,115.0808,31.3612&data=MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25):, -999

time, mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25
2014-01-01 00:30:00,153.227905
2014-01-01 01:30:00,154.619095
2014-01-01 02:30:00,153.468231
2014-01-01 03:30:00,153.189529
2014-01-01 04:30:00,148.166565
2014-01-01 05:30:00,134.307007
2014-01-01 06:30:00,152.256271
2014-01-01 07:30:00,151.759796
2014-01-01 08:30:00,153.82016
2014-01-01 09:30:00,156.588181
2014-01-01 10:30:00,155.029678
2014-01-01 11:30:00,147.698013
2014-01-01 12:30:00,131.306366
2014-01-01 13:30:00,127.260521
2014-01-01 14:30:00,131.747131
2014-01-01 15:30:00,140.619904
2014-01-01 16:30:00,146.23111
2014-01-01 17:30:00,145.507843
2014-01-01 18:30:00,143.360809
2014-01-01 19:30:00,145.104706
2014-01-01 20:30:00,146.138107
2014-01-01 21:30:00,146.809799
2014-01-01 22:30:00,144.882248
2014-01-01 23:30:00,145.54837
2014-01-02 00:30:00,155.814499
2014-01-02 01:30:00,163.412842
2014-01-02 02:30:00,163.645248
2014-01-02 03:30:00,165.484726
2014-01-02 04:30:00,159.348282
2014-01-02 05:30:00,147.626343
2014-01-02 06:30:00,135.055023
2014-01-02 07:30:00,138.752289
2014-01-02 08:30:00,149.416687
2014-01-02 09:30:00,156.205673
2014-01-02 10:30:00,171.505493
2014-01-02 11:30:00,188.267578
2014-01-02 12:30:00,197.191727
2014-01-02 13:30:00,197.495819
2014-01-02 14:30:00,189.596741
2014-01-02 15:30:00,190.000717
2014-01-02 16:30:00,204.28595
2014-01-02 17:30:00,220.384918
2014-01-02 18:30:00,223.244095
2014-01-02 19:30:00,222.012192
2014-01-02 20:30:00,215.87294
2014-01-02 21:30:00,200.545441
2014-01-02 22:30:00,186.305954
2014-01-02 23:30:00,172.751862
2014-01-03 00:30:00,172.642426
2014-01-03 01:30:00,161.920135
2014-01-03 02:30:00,119.337296
2014-01-03 03:30:00,137.682709
2014-01-03 04:30:00,131.085617
2014-01-03 05:30:00,124.526344
2014-01-03 06:30:00,116.420746
2014-01-03 07:30:00,111.794327
2014-01-03 08:30:00,98.1381302
2014-01-03 09:30:00,101.335808
2014-01-03 10:30:00,105.285767
2014-01-03 11:30:00,114.631462
2014-01-03 12:30:00,119.891075
2014-01-03 13:30:00,128.735977
2014-01-03 14:30:00,126.254097
2014-01-03 15:30:00,123.055466
2014-01-03 16:30:00,122.299698
2014-01-03 17:30:00,125.013618
2014-01-03 18:30:00,133.483704
2014-01-03 19:30:00,146.405243
2014-01-03 20:30:00,156.285645
2014-01-03 21:30:00,166.408066
2014-01-03 22:30:00,168.835953
2014-01-03 23:30:00,165.495651
2014-01-04 00:30:00,153.063629
2014-01-04 01:30:00,149.318848
2014-01-04 02:30:00,114.056755
2014-01-04 03:30:00,110.966072
2014-01-04 04:30:00,125.331512
2014-01-04 05:30:00,129.609726
2014-01-04 06:30:00,124.371262
2014-01-04 07:30:00,110.007782
2014-01-04 08:30:00,86.5643768
2014-01-04 09:30:00,111.766411
2014-01-04 10:30:00,130.640518
2014-01-04 11:30:00,135.742661
2014-01-04 12:30:00,120.514893
2014-01-04 13:30:00,118.849976
2014-01-04 14:30:00,116.68869
2014-01-04 15:30:00,114.751282
2014-01-04 16:30:00,115.767715
2014-01-04 17:30:00,120.166077
2014-01-04 18:30:00,126.32003
2014-01-04 19:30:00,132.118011
2014-01-04 20:30:00,134.788605
2014-01-04 21:30:00,135.253006
2014-01-04 22:30:00,133.576721
2014-01-04 23:30:00,133.214325
2014-01-05 00:30:00,139.317047
2014-01-05 01:30:00,133.160446
2014-01-05 02:30:00,132.801102
2014-01-05 03:30:00,163.874939
2014-01-05 04:30:00,167.007065
2014-01-05 05:30:00,160.28186
2014-01-05 06:30:00,143.067795
2014-01-05 07:30:00,128.944214
2014-01-05 08:30:00,134.033096
2014-01-05 09:30:00,130.199966
2014-01-05 10:30:00,142.578812
2014-01-05 11:30:00,150.245255
2014-01-05 12:30:00,155.237289
2014-01-05 13:30:00,157.148346
2014-01-05 14:30:00,155.64888
2014-01-05 15:30:00,155.961411
2014-01-05 16:30:00,159.559708
2014-01-05 17:30:00,160.589508
2014-01-05 18:30:00,160.515549
2014-01-05 19:30:00,159.58519
2014-01-05 20:30:00,155.220993
2014-01-05 21:30:00,150.977737
2014-01-05 22:30:00,146.597565
2014-01-05 23:30:00,141.894821
2014-01-06 00:30:00,133.139191
2014-01-06 01:30:00,126.969444
2014-01-06 02:30:00,126.178322
2014-01-06 03:30:00,144.882782
2014-01-06 04:30:00,152.562469
2014-01-06 05:30:00,162.889252
2014-01-06 06:30:00,166.984909
2014-01-06 07:30:00,173.984909
2014-01-06 08:30:00,172.208755
2014-01-06 09:30:00,184.564117
2014-01-06 10:30:00,197.95787
2014-01-06 11:30:00,204.924652
2014-01-06 12:30:00,207.744568
2014-01-06 13:30:00,207.992538
2014-01-06 14:30:00,220.629303
2014-01-06 15:30:00,219.765228
2014-01-06 16:30:00,217.155334
2014-01-06 17:30:00,210.467041
2014-01-06 18:30:00,196.168747
2014-01-06 19:30:00,192.005539
2014-01-06 20:30:00,187.848999
2014-01-06 21:30:00,180.30365
2014-01-06 22:30:00,165.155243
2014-01-06 23:30:00,152.26474
2014-01-07 00:30:00,148.411362
2014-01-07 01:30:00,136.727966
2014-01-07 02:30:00,124.706223
2014-01-07 03:30:00,120.197144
2014-01-07 04:30:00,113.96183
2014-01-07 05:30:00,109.34285
2014-01-07 06:30:00,107.194603
2014-01-07 07:30:00,103.927834
2014-01-07 08:30:00,105.298271
2014-01-07 09:30:00,115.129692
2014-01-07 10:30:00,120.919548
2014-01-07 11:30:00,130.659592
2014-01-07 12:30:00,150.430405
2014-01-07 13:30:00,169.487701
2014-01-07 14:30:00,178.555939
2014-01-07 15:30:00,185.561844
2014-01-07 16:30:00,189.341904
2014-01-07 17:30:00,191.164108
2014-01-07 18:30:00,202.415588
2014-01-07 19:30:00,207.554199
2014-01-07 20:30:00,206.209641
2014-01-07 21:30:00,202.842087
2014-01-07 22:30:00,202.236893
2014-01-07 23:30:00,200.312088
2014-01-08 00:30:00,188.673096
2014-01-08 01:30:00,158.330078
2014-01-08 02:30:00,136.747314
2014-01-08 03:30:00,122.371124
2014-01-08 04:30:00,119.816803
2014-01-08 05:30:00,119.387695
2014-01-08 06:30:00,116.456627
2014-01-08 07:30:00,110.24791
2014-01-08 08:30:00,109.571167
2014-01-08 09:30:00,117.504761
2014-01-08 10:30:00,122.808037
2014-01-08 11:30:00,126.644531
2014-01-08 12:30:00,131.828735
2014-01-08 13:30:00,134.609146
2014-01-08 14:30:00,134.474899
2014-01-08 15:30:00,134.476517
2014-01-08 16:30:00,134.938232
2014-01-08 17:30:00,133.698883
2014-01-08 18:30:00,132.241928
2014-01-08 19:30:00,131.070786
2014-01-08 20:30:00,129.390198
2014-01-08 21:30:00,128.080307
2014-01-08 22:30:00,125.785789
2014-01-08 23:30:00,122.154854
2014-01-09 00:30:00,124.394501
2014-01-09 01:30:00,111.734352
2014-01-09 02:30:00,108.778008
2014-01-09 03:30:00,102.043022
2014-01-09 04:30:00,93.7257843
2014-01-09 05:30:00,90.2208481
2014-01-09 06:30:00,89.3143463
2014-01-09 07:30:00,87.5773392
2014-01-09 08:30:00,80.9367218
2014-01-09 09:30:00,77.4889221
2014-01-09 10:30:00,80.3727493
2014-01-09 11:30:00,85.4870987
2014-01-09 12:30:00,82.4247971
2014-01-09 13:30:00,79.6063004
2014-01-09 14:30:00,77.3201675
2014-01-09 15:30:00,81.1854019
2014-01-09 16:30:00,88.0340042
2014-01-09 17:30:00,94.7355499
2014-01-09 18:30:00,98.274765
2014-01-09 19:30:00,96.7437668
2014-01-09 20:30:00,94.5458603
2014-01-09 21:30:00,92.9782333
2014-01-09 22:30:00,88.8659286
2014-01-09 23:30:00,84.1101532
2014-01-10 00:30:00,88.756691
2014-01-10 01:30:00,87.8192444
2014-01-10 02:30:00,78.4711838
2014-01-10 03:30:00,78.4107971
2014-01-10 04:30:00,78.5056992
2014-01-10 05:30:00,78.9329376
2014-01-10 06:30:00,76.376503
2014-01-10 07:30:00,72.8858871
2014-01-10 08:30:00,74.9557037
2014-01-10 09:30:00,73.0942535
2014-01-10 10:30:00,75.0918198
2014-01-10 11:30:00,77.0788956
2014-01-10 12:30:00,76.3081589
2014-01-10 13:30:00,74.621727
2014-01-10 14:30:00,73.6656952
2014-01-10 15:30:00,76.4871445
2014-01-10 16:30:00,81.1081924
2014-01-10 17:30:00,87.5221786
2014-01-10 18:30:00,93.4803162
2014-01-10 19:30:00,92.8727112
2014-01-10 20:30:00,92.2916412
2014-01-10 21:30:00,93.5951157
2014-01-10 22:30:00,95.8361282
2014-01-10 23:30:00,98.1970062
2014-01-11 00:30:00,99.9266357
2014-01-11 01:30:00,97.6499863
2014-01-11 02:30:00,95.4066315
2014-01-11 03:30:00,90.0346375
2014-01-11 04:30:00,85.2855453
2014-01-11 05:30:00,80.5694122
2014-01-11 06:30:00,77.2593002
2014-01-11 07:30:00,77.4271622
2014-01-11 08:30:00,83.8871841
2014-01-11 09:30:00,92.6516113
2014-01-11 10:30:00,101.536758
2014-01-11 11:30:00,106.650253
2014-01-11 12:30:00,111.946747
2014-01-11 13:30:00,116.343155
2014-01-11 14:30:00,122.658989
2014-01-11 15:30:00,128.309082
2014-01-11 16:30:00,131.258392
2014-01-11 17:30:00,135.717072
2014-01-11 18:30:00,138.088364
2014-01-11 19:30:00,141.906403
2014-01-11 20:30:00,147.489609
2014-01-11 21:30:00,147.536392
2014-01-11 22:30:00,144.867416
2014-01-11 23:30:00,137.635666
2014-01-12 00:30:00,141.975967
2014-01-12 01:30:00,139.338638
2014-01-12 02:30:00,142.739212
2014-01-12 03:30:00,146.147446
2014-01-12 04:30:00,142.614365
2014-01-12 05:30:00,137.701248
2014-01-12 06:30:00,154.88501
2014-01-12 07:30:00,148.935623
2014-01-12 08:30:00,144.023972
2014-01-12 09:30:00,148.917694
2014-01-12 10:30:00,146.741592
2014-01-12 11:30:00,145.569229
2014-01-12 12:30:00,149.530182
2014-01-12 13:30:00,151.747681
2014-01-12 14:30:00,151.668793
2014-01-12 15:30:00,150.595428
2014-01-12 16:30:00,148.088959
2014-01-12 17:30:00,147.571732
2014-01-12 18:30:00,147.888931
2014-01-12 19:30:00,147.812958
2014-01-12 20:30:00,149.482193
2014-01-12 21:30:00,148.763138
2014-01-12 22:30:00,146.114044
2014-01-12 23:30:00,143.387177
2014-01-13 00:30:00,139.63121
2014-01-13 01:30:00,143.991241
2014-01-13 02:30:00,140.021942
2014-01-13 03:30:00,105.823921
2014-01-13 04:30:00,103.981857
2014-01-13 05:30:00,100.930824
2014-01-13 06:30:00,96.1669235
