date, pm25, pm10, o3, no2, so2, co
10/2/24,31,36, ,20,7,7
10/3/24,57,45, ,19,9,6
10/4/24,68,58, ,26,12,8
10/5/24,86,57, ,26,9,9
10/6/24,106,27, ,5,2,4
10/7/24,58,41, ,19,9,9
10/8/24,84,51, ,24,8,8
10/9/24,86,54, ,17,6,6
10/10/24,84,42, ,21,5,6
10/11/24,72,64, ,29,13,11
10/12/24,101,61, ,24,12,8
10/13/24,94,30, ,13,5,8
10/14/24,76,47, ,14,6,8
10/15/24,102,28, ,18,6,7
10/16/24,47,63, ,31,16,12
10/17/24,125,58, ,23,10,10
10/18/24,133,21, ,11,4,5
10/19/24,47,23, ,13,11,7
10/20/24,40,27, ,13,8,9
10/21/24,66,34, ,11,5,6
10/22/24,64,32, ,19,7,8
10/23/24,63,49, ,29,13,13
10/24/24,92,65, ,31,15,15
10/25/24,130,57, ,31,13,14
10/26/24,101,43, ,13,9,7
10/27/24,72,30, ,19,7,10
10/28/24,57,52, ,26,9,10
10/29/24,103,48, ,24,7,9
10/30/24,72,47, ,25,11,10
10/31/24,93,49, ,21,10,11
11/1/24,118,60, ,27,12,13
11/2/24,129,59, ,21,11,10
11/3/24,145,28, ,11,4,5
11/4/24,57,21, ,16,8,5
11/5/24,65,56, ,26,14,13
11/6/24,104,61, ,30,16,13
11/7/24,127,72, ,32,12,15
11/8/24,149,69, ,31,14,14
11/9/24,150,61, ,22,9,10
11/10/24,147,47, ,20,6,8
11/11/24,71,69, ,26,12,10
11/12/24,116,66, ,29,13,11
11/13/24,96,72, ,32,15,13
11/14/24,138,64, ,24,9,16
11/15/24,153,70, ,18,7,10
11/16/24,130,81, ,14,9,7
11/17/24,83,51, ,22,12,11
11/18/24,80,61, ,26,11,11
11/19/24,100,53, ,23,9,8
11/20/24,114,72, ,30,13,12
11/21/24,153,62, ,25,14,10
11/22/24,122,71, ,28,14,13
11/23/24,140,71, ,30,14,12
11/24/24,151,49, ,15,8,6
11/25/24,96,41, ,5,4,3
11/26/24,38,68, ,5,4,5
11/27/24,39,55, ,4,4,4
11/28/24,41,45, ,7,4,4
11/29/24,42,69, ,22,12,13
11/30/24,83,65, ,28,11,13
12/1/24,102,53, ,15,5,10
12/2/24,62,31, ,14,7,9
12/3/24,50,61, ,23,11,18
12/4/24,108,36, ,13,5,8
12/5/24,62,41, ,17,11,11
12/6/24,85,25, ,11,4,7
12/7/24,47,23, ,12,6,4
12/8/24,38,50, ,24,11,13
12/9/24,87,77, ,30,17,22
12/10/24,138,73, ,22,11,15
12/11/24,141,70, ,22,10,16
12/12/24,136,112, ,17,8,11
12/13/24,128,84, ,13,8,8
12/14/24,84,65, ,25,16,11
12/15/24,101,68, ,28,18,15
12/16/24,108,75, ,30,13,19
12/17/24,133,40, ,15,6,6
12/18/24,66,39, ,19,10,8
12/19/24,63,59, ,25,9,14
12/20/24,122,33, ,9,4,4
12/21/24,60,28, ,16,8,9
12/22/24,65,58, ,25,13,18
12/23/24,121,70, ,29,17,19
12/24/24,135,75, ,25,11,14
12/25/24,130,55, ,13,5,7
12/26/24,71,29, ,8,5,3
12/27/24,43,54, ,11,6,8
12/28/24,54,68, ,26,15,14
12/29/24,104,194, ,26,11,15
12/30/24,153, , , , , 
7/2/24,66,34, ,13,9,9
7/3/24,77,38, ,12,11,7
7/4/24,84,30, ,13,10,5
7/5/24,55,54, ,22,12,8
7/6/24,100,45, ,17,14,9
7/7/24,80,39, ,16,12,8
7/8/24,67,41, ,19,9,7
7/9/24,89,59, ,19,11,8
7/10/24,109,45, ,13,11,8
7/11/24,87,58, ,20,11,11
7/12/24,107,39, ,10,8,8
7/13/24,77,38, ,15,14,7
7/14/24,74,48, ,15,14,8
7/15/24,83,36, ,10,7,7
7/16/24,94,15, ,5,4,3
7/17/24,31,33, ,17,13,8
7/18/24,64,32, ,14,7,4
7/19/24,48,52, ,19,10,5
7/20/24,73,39, ,11,13,6
7/21/24,64,120, ,14,12,9
7/22/24,156,60, ,21,14,8
7/23/24,89,53, ,18,9,6
7/24/24,69,52, ,12,10,5
7/25/24,77,42, ,15,11,10
7/26/24,70,32, ,14,11,7
7/27/24,50,23, ,9,5,5
7/28/24,46,29, ,12,8,7
7/29/24,45,40, ,17,8,7
7/30/24,62,21, ,10,5,7
7/31/24,70,22, ,11,5,7
8/1/24,62,30, ,12,10,6
8/2/24,57,49, ,20,11,8
8/3/24,84,27, ,10,5,5
