date, pm25, pm10, o3, no2, so2, co
2025/7/2, 65, 28, 63, 7, 1, 3
2025/7/3, 63, 20, 28, 7, 1, 4
2025/7/4, 55, 26, 72, 8, 1, 4
2025/7/5, 64, 17, 47, 4, 1, 2
2025/7/6, 54, 9, 69, 5, 1, 1
2025/7/7, 34, 25, 81, 8, 3, 3
2025/7/8, 46, , , , , 
2025/4/2, 64, 21, 37, 4, 2, 2
2025/4/3, 36, 60, 45, 10, 3, 3
2025/4/4, 94, 66, 38, 15, 4, 4
2025/4/5, 114, 23, 35, 4, 3, 3
2025/4/6, 24, 69, 46, 14, 5, 6
2025/4/7, 108, 55, 34, 12, 5, 6
2025/4/8, 109, 41, 45, 8, 3, 3
2025/4/9, 57, 48, 38, 8, 13, 3
2025/4/10, 79, 74, 57, 17, 3, 5
2025/4/11, 120, 109, 70, 10, 8, 5
2025/4/12, 152, 92, 32, 1, 2, 2
2025/4/13, 63, 58, 33, 1, 9, 2
2025/4/14, 62, 62, 38, 5, 2, 4
2025/4/15, 93, 51, 38, 15, 8, 5
2025/4/16, 75, 85, 64, 12, 5, 8
2025/4/17, 135, 56, 44, 4, 7, 4
2025/4/18, 97, 22, 29, 5, 2, 3
2025/4/19, 38, 36, 43, 3, 2, 4
2025/4/20, 87, 63, 64, 8, 2, 5
2025/4/21, 127, 70, 17, 16, 3, 8
2025/4/22, 141, 22, 40, 7, 1, 2
2025/4/23, 39, 50, 39, 10, 2, 2
2025/4/24, 51, 26, 37, 3, 1, 1
2025/4/25, 24, 52, 52, 12, 2, 3
2025/4/26, 71, 85, 71, 22, 4, 5
2025/4/27, 143, 21, 39, 5, 2, 2
2025/4/28, 34, 66, 45, 12, 2, 3
2025/4/29, 94, 58, 52, 14, 4, 4
2025/4/30, 76, 40, 38, 12, 2, 3
2025/5/1, 51, 27, 42, 4, 2, 2
2025/5/2, 41, 35, 31, 9, 3, 5
2025/5/3, 56, 21, 39, 3, 2, 1
2025/5/4, 37, 49, 59, 8, 2, 3
2025/5/5, 68, 48, 38, 7, 1, 3
2025/5/6, 97, 23, 44, 5, 1, 2
2025/5/7, 46, 67, 58, 7, 7, 4
2025/5/8, 107, 90, 70, 13, 2, 6
2025/5/9, 148, 33, 31, 5, 1, 5
2025/5/10, 66, 39, 47, 6, 1, 2
2025/5/11, 88, 54, 71, 14, 2, 4
2025/5/12, 111, 67, 106, 19, 3, 6
2025/5/13, 131, 77, 113, 13, 3, 6
2025/5/14, 123, 28, 37, 5, 2, 3
2025/5/15, 52, 41, 62, 5, 2, 3
2025/5/16, 72, 60, 97, 10, 3, 4
2025/5/17, 109, 48, 36, 3, 2, 1
2025/5/18, 50, 54, 42, 12, 3, 2
2025/5/19, 78, 54, 103, 12, 2, 3
2025/5/20, 88, 92, 125, 20, 4, 8
2025/5/21, 151, 71, 89, 6, 8, 7
2025/5/22, 131, 57, 38, 10, 3, 3
2025/5/23, 112, 38, 36, 7, 2, 2
2025/5/24, 96, 35, 46, 12, 3, 1
2025/5/25, 71, 52, 81, 12, 4, 3
2025/5/26, 91, 55, 88, 16, 3, 4
2025/5/27, 101, 46, 95, 13, 8, 3
2025/5/28, 85, 49, 100, 11, 3, 3
2025/5/29, 95, 61, 103, 10, 10, 4
2025/5/30, 109, 60, 86, 8, 3, 3
2025/5/31, 96, 69, 40, 15, 3, 5
2025/6/1, 140, 55, 54, 10, 2, 5
2025/6/2, 129, 20, 39, 7, 1, 2
2025/6/3, 57, 16, 38, 7, 1, 1
2025/6/4, 27, 25, 51, 12, 1, 1
2025/6/5, 41, 54, 116, 16, 2, 2
2025/6/6, 102, 31, 61, 10, 1, 1
2025/6/7, 47, 25, 68, 8, 1, 1
2025/6/8, 34, 48, 96, 11, 2, 2
2025/6/9, 69, 45, 69, 12, 2, 3
2025/6/10, 72, 26, 56, 8, , 2
2025/6/11, 45, 55, 105, 13, 2, 3
2025/6/12, 75, 71, 111, 8, 2, 4
2025/6/13, 98, 61, 121, 9, 2, 5
2025/6/14, 85, 41, 51, 7, , 5
2025/6/15, 89, 13, 38, 6, , 2
2025/6/16, 34, 17, 42, 8, , 2
2025/6/17, 40, 37, 115, 11, 1, 4
2025/6/18, 80, 59, 138, 9, 4, 8
2025/6/19, 102, 33, 83, 6, , 4
2025/6/20, 68, 27, 53, 9, , 3
2025/6/21, 62, 19, 53, 11, 1, 1
2025/6/22, 31, 34, 84, 14, 1, 2
2025/6/23, 53, 50, 134, 17, 2, 4
2025/6/24, 86, 53, 124, 10, 1, 3
2025/6/25, 101, 53, 139, 8, 5, 6
2025/6/26, 99, 55, 101, 10, 4, 6
2025/6/27, 92, 55, 60, 10, 1, 5
2025/6/28, 112, 41, 87, 5, 1, 4
2025/6/29, 92, 46, 80, 5, 1, 5
2025/6/30, 119, 38, 80, 6, 1, 4
2025/7/1, 98, 24, 52, 5, 1, 4
2025/1/2, 69, 19, 27, 8, 1, 2
2025/1/3, 39, 35, 18, 15, 1, 3
2025/1/4, 59, 53, 7, 29, 2, 6
2025/1/5, 97, 44, 27, 14, 2, 4
2025/1/6, 72, 13, 22, 5, 1, 3
2025/1/7, 23, 12, 22, 1, 1, 2
2025/1/8, 20, 13, 25, 1, 1, 2
2025/1/9, 21, 14, 23, 5, 1, 3
2025/1/10, 33, 20, 19, 12, 1, 5
2025/1/11, 46, 32, 16, 16, 2, 5
2025/1/12, 65, 31, 21, 8, 1, 4
2025/1/13, 61, 47, 18, 21, 2, 5
2025/1/14, 89, 20, 24, 3, 2, 1
2025/1/15, 34, 25, 18, 9, 1, 3
2025/1/16, 44, 44, 22, 13, 2, 4
2025/1/17, 67, 61, 13, 25, 3, 6
2025/1/18, 101, 69, 10, 29, 4, 8
2025/1/19, 135, 30, 28, 14, 2, 4
2025/1/20, 57, 48, 16, 24, 2, 5
2025/1/21, 118, 40, 26, 17, 3, 4
2025/1/22, 105, 54, 20, 19, 4, 6
2025/1/23, 108, 64, 21, 21, 3, 7
2025/1/24, 141, 85, 28, 19, 4, 9
2025/1/25, 166, 90, 27, 18, 4, 11
2025/1/26, 174, 92, 26, 5, 2, 5
2025/1/27, 94, 19, 26, , 2, 2
2025/1/28, 17, 20, 28, 2, 3, 2
2025/1/29, 53, 64, 26, 6, 5, 4
2025/1/30, 149, 50, 26, 4, 4, 7
2025/1/31, 121, 58, 22, 7, 3, 7
2025/2/1, 145, 63, 19, 7, 3, 9
2025/2/2, 154, 35, 33, 5, 2, 5
2025/2/3, 84, 10, 31, 1, 6, 3
2025/2/4, 17, 17, 30, 3, 2, 3
2025/2/5, 38, 23, 30, 2, 2, 3
2025/2/6, 37, 61, 28, 1, 2, 3
2025/2/7, 55, 22, 28, 1, 3, 4
2025/2/8, 29, 13, 29, 2, 3, 3
2025/2/9, 32, 18, 25, 6, 3, 4
2025/2/10, 53, 56, 17, 21, 4, 7
2025/2/11, 111, 91, 16, 27, 6, 9
2025/2/12, 171, 24, 27, 5, 2, 2
