date, pm25, pm10, o3, no2, so2, co
2025/7/2, 45, 19, , 2, 1, 4
2025/7/3, 33, 25, , 2, 1, 4
2025/7/4, 49, 25, , 2, 1, 5
2025/7/5, 48, 16, , 4, 1, 4
2025/7/6, 31, 19, , 3, 1, 3
2025/7/7, 36, 27, , 4, 1, 4
2025/7/8, 49, 46, , 9, 1, 6
2025/7/9, 95, 44, , 9, 3, 6
2025/7/10, 92, 12, , 4, , 4
2025/7/11, 42, , , , , 
2025/4/2, 42, 28, , 5, 1, 3
2025/4/3, 64, 46, , 8, 1, 4
2025/4/4, 66, 52, , 7, 2, 5
2025/4/5, 89, 41, , 7, 1, 6
2025/4/6, 96, 41, , 7, 1, 6
2025/4/7, 85, 53, , 8, 1, 4
2025/4/8, 80, 60, , 13, 2, 5
2025/4/9, 99, 61, , 15, 3, 6
2025/4/10, 120, 33, , 10, 1, 7
2025/4/11, 101, 38, , 11, 1, 7
2025/4/12, 90, 28, , 8, 1, 4
2025/4/13, 61, 122, , 7, 1, 3
2025/4/14, 131, 96, , 14, 3, 4
2025/4/15, 120, 85, , 11, 2, 5
2025/4/16, 111, 75, , 9, 3, 5
2025/4/17, 97, 63, , 9, 5, 4
2025/4/18, 77, 60, , 10, 3, 5
2025/4/19, 81, 52, , 11, 3, 5
2025/4/20, 80, 27, , 9, 1, 5
2025/4/21, 93, 30, , 7, 1, 5
2025/4/22, 79, 45, , 10, 2, 4
2025/4/23, 85, 29, , 9, 1, 6
2025/4/24, 77, 20, , 7, 1, 8
2025/4/25, 68, 13, , 5, 1, 6
2025/4/26, 31, 14, , 5, 1, 4
2025/4/27, 31, 25, , 6, 2, 4
2025/4/28, 65, 32, , 10, 2, 6
2025/4/29, 113, 40, , 5, 2, 4
2025/4/30, 66, 46, , 8, 2, 4
2025/5/1, 76, 63, , 17, 5, 6
2025/5/2, 117, 49, , 6, 2, 5
2025/5/3, 91, 52, , 6, 2, 5
2025/5/4, 87, 44, , 6, 2, 5
2025/5/5, 84, 38, , 5, 3, 4
2025/5/6, 79, 45, , 8, 3, 5
2025/5/7, 93, 41, , 1, 1, 4
2025/5/8, 68, 50, , 5, 2, 4
2025/5/9, 79, 31, , 7, 2, 4
2025/5/10, 57, 30, , 7, 2, 5
2025/5/11, 60, 27, , 3, 1, 5
2025/5/12, 62, 32, , 3, 2, 4
2025/5/13, 67, 34, , 3, 2, 4
2025/5/14, 69, 40, , 5, 2, 5
2025/5/15, 89, 35, , 5, 2, 4
2025/5/16, 71, 29, , 9, 4, 3
