date, pm25, pm10, o3, no2, so2, co
2025/7/2, 66, 55, , 12, 3, 5
2025/7/3, 90, 37, , 5, 3, 4
2025/7/4, 87, 39, , 10, 4, 3
2025/7/5, 67, 19, , 2, 1, 2
2025/7/6, 25, 32, , 9, 3, 3
2025/7/7, 45, 22, , 4, 2, 2
2025/7/8, 60, 30, , 5, 2, 2
2025/7/9, 71, , , , , 
2025/4/2, 56, 63, , 17, 11, 5
2025/4/3, 69, 111, , 16, 10, 7
2025/4/4, 140, 126, , 6, 3, 4
2025/4/5, 112, 51, , 12, 7, 5
2025/4/6, 57, 86, , 17, 9, 7
2025/4/7, 111, 91, , 15, 8, 5
2025/4/8, 99, 57, , 16, 5, 6
2025/4/9, 86, 62, , 16, 6, 8
2025/4/10, 109, 46, , 13, 5, 6
2025/4/11, 69, 265, , 5, 2, 5
2025/4/12, 118, 66, , 1, 2, 3
2025/4/13, 45, 38, , 4, 4, 5
2025/4/14, 37, 31, , 6, 4, 6
2025/4/15, 44, 63, , 14, 11, 8
2025/4/16, 70, 188, , 8, 5, 4
2025/4/17, 144, 273, , 10, 8, 4
2025/4/18, 163, 39, , 11, 4, 6
2025/4/19, 69, 66, , 13, 4, 8
2025/4/20, 96, 82, , 15, 6, 8
2025/4/21, 125, 60, , 6, 3, 6
2025/4/22, 96, 58, , 12, 4, 4
2025/4/23, 64, 68, , 5, 4, 3
2025/4/24, 70, 45, , 9, 5, 5
2025/4/25, 51, 72, , 16, 7, 4
2025/4/26, 80, 85, , 21, 8, 4
2025/4/27, 99, 47, , 11, 3, 6
2025/4/28, 46, 45, , 12, 5, 5
2025/4/29, 51, 66, , 10, 4, 4
2025/4/30, 71, 97, , 14, 5, 3
2025/5/1, 114, 58, , 12, 6, 4
2025/5/2, 67, 58, , 9, 5, 4
2025/5/3, 83, 41, , 11, 5, 2
2025/5/4, 61, 69, , 16, 9, 8
2025/5/5, 95, 108, , 4, 2, 4
2025/5/6, 106, 55, , 11, 4, 5
2025/5/7, 73, 92, , 17, 7, 5
2025/5/8, 116, 74, , 12, 4, 6
2025/5/9, 99, 23, , 4, 2, 2
2025/5/10, 48, 48, , 10, 5, 4
2025/5/11, 101, 62, , 9, 4, 3
2025/5/12, 69, 58, , 10, 4, 3
2025/5/13, 77, 98, , 19, 5, 4
2025/5/14, 124, 32, , 7, 3, 5
2025/5/15, 66, 54, , 11, 5, 5
2025/5/16, 55, 171, , 3, 3, 3
2025/5/17, 108, 82, , 3, 2, 3
2025/5/18, 65, 66, , 5, 3, 3
2025/5/19, 71, 82, , 11, 4, 3
2025/5/20, 112, 79, , 14, 6, 2
2025/5/21, 98, 73, , 11, 6, 4
2025/5/22, 86, 60, , 5, 2, 4
2025/5/23, 138, 43, , 5, 2, 4
2025/5/24, 104, 52, , 12, 4, 4
2025/5/25, 103, 53, , 14, 6, 4
2025/5/26, 79, 51, , 15, 6, 3
2025/5/27, 81, 51, , 13, 5, 2
2025/5/28, 85, 55, , 9, 4, 2
2025/5/29, 94, 54, , 6, 4, 4
2025/5/30, 86, 54, , 8, 3, 3
2025/5/31, 100, 26, , 5, 3, 5
2025/6/1, 66, 38, , 9, 3, 2
2025/6/2, 67, 35, , 6, 3, 1
2025/6/3, 42, 33, , 7, 4, 1
2025/6/4, 34, 58, , 16, 4, 1
2025/6/5, 65, 61, , 14, 6, 2
2025/6/6, 60, 61, , 16, 8, 4
2025/6/7, 76, 53, , 7, 5, 2
2025/6/8, 72, 54, , 9, 5, 3
2025/6/9, 96, 46, , 7, 4, 2
2025/6/10, 48, 48, , 10, 4, 2
2025/6/11, 62, 65, , 11, 6, 3
2025/6/12, 85, 63, , 5, 3, 3
2025/6/13, 91, 33, , 4, 3, 5
2025/6/14, 53, 25, , 5, 2, 2
2025/6/15, 50, 15, , 2, 1, 1
2025/6/16, 18, 20, , 3, 2, 3
2025/6/17, 42, 46, , 12, 4, 4
2025/6/18, 63, 39, , 6, 2, 2
2025/6/19, 60, 29, , 8, 3, 3
2025/6/20, 79, 49, , 11, 3, 3
2025/6/21, 68, 59, , 15, 5, 2
2025/6/22, 77, 60, , 16, 5, 2
2025/6/23, 79, 60, , 13, 5, 3
2025/6/24, 85, 55, , 10, 4, 4
2025/6/25, 79, 62, , 14, 5, 3
2025/6/26, 86, 36, , 10, 2, 4
2025/6/27, 84, 38, , 7, 2, 4
2025/6/28, 95, 38, , 9, 1, 2
2025/6/29, 86, 42, , 12, 3, 3
2025/6/30, 63, 45, , 12, 3, 5
2025/7/1, 65, 38, , 9, 2, 5
2025/1/2, 126, 60, , 14, 10, 6
2025/1/3, 80, 61, , 17, 13, 7
2025/1/4, 80, 66, , 15, 9, 7
2025/1/5, 83, 91, , 7, 4, 4
2025/1/6, 85, 51, , 14, 9, 7
2025/1/7, 68, 42, , 9, 5, 5
2025/1/8, 44, 37, , 7, 7, 4
2025/1/9, 48, 67, , 16, 21, 7
2025/1/10, 97, 90, , 19, 18, 8
2025/1/11, 113, 68, , 13, 9, 7
2025/1/12, 100, 47, , 9, 8, 8
2025/1/13, 70, 95, , 8, 5, 7
2025/1/14, 95, 46, , 4, 7, 5
2025/1/15, 46, 54, , 13, 11, 6
2025/1/16, 70, 86, , 22, 19, 8
2025/1/17, 110, 80, , 23, 18, 10
2025/1/18, 120, 63, , 17, 12, 7
2025/1/19, 90, 75, , 19, 12, 7
2025/1/20, 107, 71, , 22, 15, 8
2025/1/21, 107, 97, , 26, 24, 11
2025/1/22, 151, 122, , 24, 23, 12
2025/1/23, 186, 128, , 26, 24, 12
2025/1/24, 185, 140, , 28, 25, 18
2025/1/25, 196, 108, , 21, 18, 14
2025/1/26, 161, 93, , 2, 3, 5
2025/1/27, 76, 26, , 4, 5, 4
2025/1/28, 47, 63, , 6, 14, 7
2025/1/29, 116, 222, , 15, 34, 14
2025/1/30, 240, 95, , 10, 18, 8
2025/1/31, 155, 100, , 14, 21, 13
2025/2/1, 173, 67, , 13, 13, 6
2025/2/2, 116, 49, , 4, 5, 5
2025/2/3, 66, 44, , 8, 8, 5
2025/2/4, 62, 52, , 9, 8, 6
2025/2/5, 56, 40, , 4, 4, 4
2025/2/6, 37, 106, , 2, 4, 4
2025/2/7, 67, 23, , 2, 5, 4
2025/2/8, 31, 64, , 13, 16, 8
2025/2/9, 86, 72, , 14, 13, 7
2025/2/10, 92, 76, , 16, 12, 8
2025/2/11, 105, 83, , 18, 12, 9
2025/2/12, 108, 59, , 5, 5, 5
2025/2/13, 72, 51, , 7, 8, 5
2025/2/14, 66, 59, , 13, 10, 8
2025/2/15, 99, 69, , 9, 7, 4
2025/2/16, 77, 55, , 11, 9, 5
2025/2/17, 74, 77, , 18, 15, 8
2025/2/18, 119, 84, , 19, 19, 7
2025/2/19, 134, 63, , 13, 10, 7
2025/2/20, 102, 65, , 16, 13, 8
2025/2/21, 107, 78, , 18, 14, 8
2025/2/22, 139, 44, , 7, 10, 6
2025/2/23, 68, 48, , 9, 11, 6
2025/2/24, 69, 62, , 14, 10, 7
2025/2/25, 92, 65, , 15, 9, 6
2025/2/26, 86, 104, , 21, 14, 7
2025/2/27, 125, 105, , 23, 19, 8
2025/2/28, 144, 85, , 18, 12, 9
2025/3/1, 128, 105, , 27, 16, 9
2025/3/2, 176, 88, , 14, 9, 9
2025/3/3, 161, 44, , 8, 7, 7
2025/3/4, 70, 41, , 7, 4, 6
2025/3/5, 81, 62, , 15, 6, 6
2025/3/6, 116, 59, , 18, 11, 6
2025/3/7, 91, 63, , 13, 6, 6
2025/3/8, 102, 63, , 14, 6, 6
2025/3/9, 114, 70, , 11, 5, 6
2025/3/10, 129, 74, , 13, 6, 7
2025/3/11, 128, 161, , 13, 5, 6
2025/3/12, 140, 105, , 12, 5, 5
2025/3/13, 107, 99, , 15, 8, 7
2025/3/14, 113, 73, , 12, 6, 8
2025/3/15, 132, 36, , 5, 3, 4
2025/3/16, 61, 34, , 5, 4, 4
2025/3/17, 52, 40, , 4, 3, 4
2025/3/18, 47, 44, , 10, 6, 3
2025/3/19, 59, 49, , 13, 7, 6
2025/3/20, 70, 52, , 8, 5, 6
2025/3/21, 56, 58, , 10, 6, 4
2025/3/22, 69, 73, , 13, 3, 5
2025/3/23, 85, 184, , 10, 4, 5
2025/3/24, 149, 146, , 6, 4, 6
2025/3/25, 129, 189, , 7, 3, 5
2025/3/26, 101, 155, , 14, 8, 5
2025/3/27, 143, 136, , 1, 2, 4
2025/3/28, 105, 62, , 2, 2, 4
2025/3/29, 71, 38, , 7, 3, 4
2025/3/30, 46, 51, , 14, 6, 5
2025/3/31, 70, 63, , 14, 7, 5
2025/4/1, 61, 64, , 10, 5, 4
2024/10/2, 48, 52, , 15, 6, 7
2024/10/3, 61, 55, , 13, 7, 6
2024/10/4, 69, 58, , 13, 6, 6
2024/10/5, 88, 73, , 22, 7, 7
2024/10/6, 102, 60, , 20, 7, 7
2024/10/7, 90, 47, , 11, 6, 6
2024/10/8, 91, 58, , 15, 7, 6
2024/10/9, 91, 59, , 12, 4, 6
2024/10/10, 86, 49, , 13, 5, 5
2024/10/11, 63, 67, , 17, 5, 5
2024/10/12, 69, 77, , 20, 9, 7
2024/10/13, 95, 49, , 11, 4, 7
2024/10/14, 108, 63, , 17, 4, 6
2024/10/15, 99, 53, , 14, 8, 6
2024/10/16, 70, 75, , 12, 4, 8
2024/10/17, 141, 74, , 17, 4, 9
2024/10/18, 152, 29, , 9, 5, 7
2024/10/19, 60, 29, , 8, 7, 4
2024/10/20, 41, 29, , 10, 3, 5
2024/10/21, 52, 53, , 16, 7, 7
2024/10/22, 82, 29, , 10, 4, 5
2024/10/23, 56, 58, , 19, 6, 7
2024/10/24, 77, 74, , 23, 8, 7
2024/10/25, 102, 72, , 22, 7, 9
2024/10/26, 120, 58, , 14, 4, 5
2024/10/27, 79, 60, , 17, 8, 6
2024/10/28, 80, 66, , 20, 8, 6
2024/10/29, 80, 71, , 22, 6, 6
2024/10/30, 95, 79, , 20, 8, 8
2024/10/31, 125, 59, , 18, 6, 7
2024/11/1, 119, 69, , 24, 7, 8
2024/11/2, 109, 56, , 19, 7, 7
2024/11/3, 95, 49, , 12, 4, 5
2024/11/4, 74, 55, , 13, 8, 6
2024/11/5, 75, 65, , 17, 9, 6
2024/11/6, 84, 89, , 24, 9, 8
2024/11/7, 116, 115, , 30, 11, 10
2024/11/8, 165, 104, , 26, 9, 11
2024/11/9, 169, 87, , 16, 7, 9
2024/11/10, 172, 67, , 15, 6, 9
2024/11/11, 138, 79, , 17, 6, 8
2024/11/12, 139, 92, , 22, 15, 7
2024/11/13, 113, 57, , 17, 5, 7
2024/11/14, 136, 59, , 15, 7, 8
2024/11/15, 132, 71, , 20, 12, 9
2024/11/16, 132, 82, , 12, 4, 6
2024/11/17, 94, 70, , 18, 11, 6
2024/11/18, 75, 85, , 20, 13, 8
2024/11/19, 102, 58, , 16, 5, 7
2024/11/20, 103, 63, , 14, 8, 7
2024/11/21, 108, 63, , 17, 7, 6
2024/11/22, 108, 85, , 22, 18, 7
2024/11/23, 112, 73, , 18, 9, 8
2024/11/24, 152, 76, , 20, 9, 9
2024/11/25, 130, 47, , 4, 3, 5
2024/11/26, 52, 41, , 4, 4, 5
2024/11/27, 40, 43, , 2, 3, 4
2024/11/28, 37, 44, , 3, 3, 5
2024/11/29, 27, 44, , 10, 5, 5
2024/11/30, 46, 68, , 21, 11, 8
2024/12/1, 92, 66, , 20, 10, 7
2024/12/2, 81, 46, , 9, 9, 6
2024/12/3, 66, 77, , 21, 13, 8
2024/12/4, 91, 56, , 17, 8, 7
2024/12/5, 84, 41, , 10, 5, 5
2024/12/6, 75, 53, , 15, 6, 5
2024/12/7, 71, 42, , 11, 12, 6
2024/12/8, 68, 60, , 18, 17, 7
2024/12/9, 94, 101, , 26, 33, 9
2024/12/10, 129, 88, , 26, 33, 10
2024/12/11, 140, 85, , 21, 31, 10
2024/12/12, 140, 84, , 17, 13, 9
2024/12/13, 125, 88, , 8, 5, 6
2024/12/14, 80, 56, , 14, 8, 6
2024/12/15, 67, 63, , 16, 10, 7
2024/12/16, 83, 73, , 21, 15, 9
2024/12/17, 107, 73, , 22, 17, 8
2024/12/18, 105, 62, , 15, 15, 8
2024/12/19, 94, 81, , 18, 14, 8
2024/12/20, 123, 56, , 9, 6, 6
2024/12/21, 81, 66, , 16, 14, 5
2024/12/22, 78, 121, , 21, 27, 8
2024/12/23, 149, 122, , 24, 32, 11
2024/12/24, 160, 105, , 24, 21, 10
2024/12/25, 134, 65, , 11, 8, 5
2024/12/26, 76, 65, , 16, 13, 5
2024/12/27, 74, 42, , 5, 4, 5
2024/12/28, 35, 52, , 12, 8, 6
2024/12/29, 63, 81, , 13, 9, 5
2024/12/30, 76, , , , , 
2024/7/2, 70, 33, , 5, 5, 6
2024/7/3, 72, 46, , 6, 7, 6
2024/7/4, 89, 57, , 10, 7, 7
2024/7/5, 121, 61, , 25, 8, 7
2024/7/6, 128, 41, , 8, 5, 6
2024/7/7, 76, 60, , 16, 8, 6
2024/7/8, 86, 51, , 17, 12, 6
2024/7/9, 84, 56, , 12, 5, 7
2024/7/10, 97, 51, , 12, 6, 7
2024/7/11, 92, 77, , 16, 9, 7
2024/7/12, 110, 42, , 5, 5, 5
2024/7/13, 71, 44, , 8, 6, 7
2024/7/14, 76, 42, , 4, 4, 7
2024/7/15, 85, 33, , 3, 3, 8
2024/7/16, 83, 29, , 4, 4, 6
2024/7/17, 56, 43, , 11, 6, 4
2024/7/18, 51, 53, , 16, 10, 5
2024/7/19, 64, 60, , 15, 6, 5
2024/7/20, 75, 42, , 11, 10, 7
2024/7/21, 74, 29, , 4, 4, 5
2024/7/22, 53, 81, , 15, 8, 6
2024/7/23, 110, 68, , 10, 6, 6
2024/7/24, 95, 39, , 11, 6, 5
2024/7/25, 65, 31, , 6, 4, 4
2024/7/26, 57, 57, , 11, 8, 5
2024/7/27, 74, 53, , 9, 5, 5
2024/7/28, 75, 71, , 16, 9, 5
2024/7/29, 90, 72, , 17, 9, 6
