date, pm25, pm10, o3, no2, so2, co
2025/7/2, 38, 14, 26, 4, , 6
2025/7/3, 34, 23, 38, 4, , 7
2025/7/4, 57, 24, 37, 4, , 7
2025/7/5, 65, 26, 44, 4, , 8
2025/7/6, 71, 20, 38, 3, , 8
2025/7/7, 54, 33, 45, 4, 1, 9
2025/7/8, 76, 34, 49, 5, 1, 6
2025/7/9, 175, 24, 19, 4, 1, 7
2025/7/10, 56, , , , , 
2025/4/2, 70, 37, 41, 10, 5, 7
2025/4/3, 75, 42, 50, 11, 6, 8
2025/4/4, 77, 52, 23, 14, 7, 9
2025/4/5, 95, 51, 19, 10, 7, 9
2025/4/6, 101, 54, 3, 11, 7, 9
2025/4/7, 105, 54, 33, 13, 2, 9
2025/4/8, 102, 54, 52, 14, 4, 10
2025/4/9, 109, 56, 31, 11, 1, 11
2025/4/10, 122, 48, 46, 6, , 11
2025/4/11, 105, 44, 32, 6, , 11
2025/4/12, 97, 69, 26, 2, , 8
2025/4/13, 83, 166, 33, 5, 1, 8
2025/4/14, 156, 105, 36, 11, , 9
2025/4/15, 133, 70, 52, 10, 4, 5
2025/4/16, 93, 56, 67, 7, 6, 6
2025/4/17, 78, 61, 51, 5, 5, 7
2025/4/18, 77, 50, 43, 5, 4, 8
2025/4/19, 71, 22, 36, 3, 4, 8
2025/4/20, 46, 21, 31, 3, 2, 8
2025/4/21, 47, 26, 26, 3, 2, 8
2025/4/22, 61, 32, 31, 6, 5, 7
2025/4/23, 66, 18, 30, 1, , 8
2025/4/24, 41, 25, 35, 2, , 9
2025/4/25, 51, 25, 36, 2, , 6
2025/4/26, 38, 24, 22, 5, 1, 7
2025/4/27, 53, 23, 13, 8, 3, 9
2025/4/28, 47, 24, 46, 2, 2, 8
2025/4/29, 52, 45, 69, 7, 2, 10
2025/4/30, 82, 46, 61, 7, 3, 11
2025/5/1, 88, 37, 42, 2, 3, 10
2025/5/2, 81, 41, , 4, 2, 9
2025/5/3, 76, 44, , 4, 2, 9
2025/5/4, 77, 37, , 4, 1, 9
2025/5/5, 80, 20, , 4, 1, 10
2025/5/6, 41, 26, , 3, 2, 8
2025/5/7, 54, 43, 22, 5, 1, 4
2025/5/8, 81, 38, 24, 2, 1, 3
2025/5/9, 49, 18, 33, 3, 1, 3
2025/5/10, 37, 37, 46, 2, 3, 2
2025/5/11, 62, 28, 53, 3, 1, 1
2025/5/12, 54, 36, 73, 6, 2, 2
2025/5/13, 75, 35, 60, 6, 6, 2
2025/5/14, 74, 25, 49, 3, 6, 3
2025/5/15, 60, 25, 39, 5, 6, 3
2025/5/16, 55, 22, 23, 3, 6, 3
2025/5/17, 50, 22, 24, 5, 6, 3
2025/5/18, 53, 17, 19, 3, 6, 3
2025/5/19, 35, 16, 20, 3, 4, 4
2025/5/20, 32, 15, 17, 2, , 4
2025/5/21, 25, 34, 22, 4, , 4
2025/5/22, 46, 23, 26, 3, , 4
2025/5/23, 47, 22, 32, 3, , 4
2025/5/24, 45, 32, 50, 3, , 3
2025/5/25, 73, 50, 45, 4, , 3
2025/5/26, 106, 39, 50, 5, , 5
2025/5/27, 87, 41, 40, 7, 1, 5
2025/5/28, 84, 34, 25, 6, , 6
2025/5/29, 78, 17, 30, 3, , 5
2025/5/30, 35, 24, 29, 4, , 5
2025/5/31, 50, 21, 38, 3, 1, 6
2025/6/1, 53, 15, 25, 2, , 6
2025/6/2, 38, 18, 27, 3, 1, 7
2025/6/3, 41, 19, 30, 1, 1, 6
2025/6/4, 41, 23, 35, 2, 2, 5
2025/6/5, 54, 29, 44, 4, 1, 5
2025/6/6, 68, 21, 43, 3, , 6
2025/6/7, 56, 24, 42, 3, , 5
2025/6/8, 63, 23, 40, 2, , 5
2025/6/9, 59, 21, 31, 3, 1, 5
2025/6/10, 44, 22, 36, 4, , 4
2025/6/11, 55, 19, 26, 2, , 5
2025/6/12, 52, 15, 26, 2, , 4
2025/6/13, 38, 21, 38, 2, , 4
2025/6/14, 61, 10, 21, 2, , 3
2025/6/15, 20, 10, 42, 2, , 4
2025/6/16, 18, 18, 34, 3, , 4
2025/6/17, 46, 13, 18, 3, 1, 4
2025/6/18, 25, 12, 16, 3, 1, 4
2025/6/19, 31, 11, 20, 2, 1, 4
2025/6/20, 26, 11, 20, 2, 2, 4
2025/6/21, 25, 10, 20, 2, 2, 5
2025/6/22, 27, 12, 29, 2, 2, 5
2025/6/23, 33, 15, 26, 3, 1, 6
2025/6/24, 40, 20, 33, 4, 2, 5
2025/6/25, 52, 19, 43, 4, 2, 4
2025/6/26, 50, 19, 29, 2, 1, 4
2025/6/27, 45, 24, 23, 3, 1, 4
2025/6/28, 24, 14, 24, 3, 1, 5
2025/6/29, 34, 15, 28, 4, 1, 5
2025/6/30, 35, 17, 24, 4, 1, 5
2025/7/1, 35, 16, 32, 4, , 6
2025/1/2, 146, 58, 55, 12, 6, 11
2025/1/3, 120, 59, 49, 13, 3, 10
2025/1/4, 123, 63, 45, 16, 2, 11
2025/1/5, 142, 65, 52, 13, 2, 12
2025/1/6, 149, 68, 49, 11, 1, 12
2025/1/7, 157, 62, 42, 13, 1, 11
2025/1/8, 137, 59, 37, 9, 2, 11
2025/1/9, 113, 55, 25, 9, 1, 10
2025/1/10, 100, 39, 29, 6, , 8
2025/1/11, 70, 40, 29, 7, 2, 7
2025/1/12, 66, 50, 36, 17, 5, 9
2025/1/13, 88, 54, 46, 18, 3, 10
2025/1/14, 96, 50, 45, 14, 5, 10
2025/1/15, 91, 57, 41, 6, 5, 9
2025/1/16, 99, 51, 39, 6, 3, 9
2025/1/17, 79, 47, 37, 10, 3, 10
2025/1/18, 76, 46, 41, 13, 3, 9
2025/1/19, 75, 49, 45, 19, 3, 9
2025/1/20, 87, 50, 49, 15, 2, 10
2025/1/21, 92, 54, 55, 16, 1, 10
2025/1/22, 102, 54, 63, 18, 2, 11
2025/1/23, 110, 50, 57, 13, 2, 11
2025/1/24, 103, 51, 36, 8, 2, 9
2025/1/25, 115, 53, 21, 4, 2, 4
2025/1/26, 126, 17, 26, 2, 1, 2
2025/1/27, 28, 38, 32, 1, 1, 1
2025/1/28, 66, 45, 34, 1, 1, 1
2025/1/29, 68, 58, 34, 4, 1, 2
2025/1/30, 126, 55, 35, 4, 2, 3
