date, pm25, pm10, o3, no2, so2, co
2025/7/2, 38, 24, 40, 10, 2, 3
2025/7/3, 46, 34, 75, 17, 2, 4
2025/7/4, 68, 40, 108, 13, 2, 4
2025/7/5, 79, 39, 88, 13, 2, 5
2025/7/6, 79, 30, 73, 12, 2, 4
2025/7/7, 66, 38, 85, 11, 2, 4
2025/7/8, 75, 23, 46, 6, 2, 3
2025/7/9, 49, 27, 80, 7, 2, 4
2025/7/10, 50, 25, 34, 10, 2, 4
2025/7/11, 70, , , , , 
2025/4/2, 62, 44, 47, 19, 2, 5
2025/4/3, 88, 60, 65, 24, 2, 5
2025/4/4, 107, 53, 51, 19, 3, 4
2025/4/5, 84, 28, 24, 8, 1, 5
2025/4/6, 78, 62, 33, 19, 2, 6
2025/4/7, 112, 72, 89, 23, 2, 7
2025/4/8, 130, 65, 86, 19, 2, 5
2025/4/9, 117, 51, 75, 15, 2, 8
2025/4/10, 90, 43, 63, 12, 2, 8
2025/4/11, 83, 40, 21, 13, 1, 6
2025/4/12, 72, 41, 26, 10, , 4
2025/4/13, 60, 243, 35, 7, 2, 2
2025/4/14, 167, 171, 79, 22, 4, 5
2025/4/15, 165, 97, 72, 25, 3, 5
2025/4/16, 128, 101, 91, 17, 3, 3
2025/4/17, 124, 69, 54, 6, 1, 2
2025/4/18, 90, 55, 15, 16, 1, 4
2025/4/19, 76, 37, 17, 15, 1, 3
2025/4/20, 78, 35, 30, 13, 1, 3
2025/4/21, 74, 31, 37, 10, , 2
2025/4/22, 67, 37, 45, 9, 1, 23
2025/4/23, 80, 39, 55, 12, 1, 2
2025/4/24, 82, 24, 41, 8, 2, 4
2025/4/25, 57, 15, 19, 11, 1, 6
2025/4/26, 49, 35, 23, 14, 2, 5
2025/4/27, 76, 34, 28, 16, 2, 5
2025/4/28, 67, 36, 48, 12, 2, 5
2025/4/29, 72, 43, 104, 15, 2, 4
2025/4/30, 76, 50, 78, 14, 2, 4
2025/5/1, 85, 36, 46, 11, 1, 5
2025/5/2, 81, 43, 75, 11, 2, 4
2025/5/3, 83, 39, 60, 9, 2, 4
2025/5/4, 87, 30, 35, 8, 1, 3
2025/5/5, 72, 27, 33, 8, 1, 3
2025/5/6, 68, 23, 37, 15, 3, 4
2025/5/7, 59, 19, 7, 19, 2, 3
2025/5/8, 52, 31, 24, 8, 1, 2
2025/5/9, 61, 24, 37, 12, 1, 3
2025/5/10, 50, 23, 28, 13, 2, 3
2025/5/11, 57, 33, 47, 8, 2, 3
2025/5/12, 47, 39, 91, 18, 2, 3
2025/5/13, 73, 40, 87, 16, 3, 3
2025/5/14, 82, 33, 67, 10, 2, 3
2025/5/15, 64, 23, 42, 10, 2, 2
2025/5/16, 43, 19, 19, 11, 2, 3
2025/5/17, 43, 22, 22, 15, , 3
2025/5/18, 48, 18, 22, 14, 2, 3
2025/5/19, 46, 25, 25, 16, 2, 4
2025/5/20, 63, 25, 25, 13, 2, 3
2025/5/21, 60, 26, 30, 12, 2, 3
2025/5/22, 60, 28, 28, 12, 1, 3
2025/5/23, 68, 38, 7, 9, 1, 2
2025/5/24, 118, 26, , 8, 2, 3
2025/5/25, 65, 44, , 10, 1, 2
2025/5/26, 86, 46, , 9, 1, 3
2025/5/27, 109, 44, , 12, 1, 3
2025/5/28, 97, 40, 51, 20, 2, 3
2025/5/29, 79, 24, 14, 17, 2, 6
2025/5/30, 47, 19, 30, 13, 2, 6
2025/5/31, 39, 33, 71, 12, 3, 5
2025/6/1, 69, 33, 21, 10, 2, 4
2025/6/2, 71, 28, , 14, 2, 4
2025/6/3, 56, 17, , 9, 2, 6
