Title:,"Time Series, Area-Averaged of Total Column Mass Density - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"102.9941,30.0883,104.8978,31.4347"
Data Bounding Box:,"103.125,30.5,104.375,31"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=102.9941,30.0883,104.8978,31.4347&data=M2TMNXAER_5_12_4_TOTCMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTCMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTCMASS25
2014-01-01 00:00:00,8.83820606e-05
2014-02-01 00:00:00,9.25354993e-05
2014-03-01 00:00:00,0.000100308339
2014-04-01 00:00:00,9.61411628e-05
2014-05-01 00:00:00,0.000106997318
2014-06-01 00:00:00,6.29997325e-05
2014-07-01 00:00:00,4.95020211e-05
2014-08-01 00:00:00,5.83726912e-05
2014-09-01 00:00:00,5.27207578e-05
2014-10-01 00:00:00,7.44974822e-05
2014-11-01 00:00:00,6.36473591e-05
2014-12-01 00:00:00,8.04760331e-05
2015-01-01 00:00:00,7.42653786e-05
2015-02-01 00:00:00,9.18317531e-05
2015-03-01 00:00:00,9.18664726e-05
2015-04-01 00:00:00,9.37207198e-05
2015-05-01 00:00:00,8.05291036e-05
2015-06-01 00:00:00,5.44261135e-05
2015-07-01 00:00:00,6.62026195e-05
2015-08-01 00:00:00,5.92851381e-05
2015-09-01 00:00:00,5.16850953e-05
2015-10-01 00:00:00,6.97356288e-05
2015-11-01 00:00:00,5.74470567e-05
2015-12-01 00:00:00,7.25818097e-05
2016-01-01 00:00:00,7.27654369e-05
2016-02-01 00:00:00,9.39938755e-05
2016-03-01 00:00:00,0.000102960081
2016-04-01 00:00:00,8.85103856e-05
2016-05-01 00:00:00,9.42748073e-05
2016-06-01 00:00:00,5.84027192e-05
2016-07-01 00:00:00,4.87825865e-05
2016-08-01 00:00:00,5.33209052e-05
2016-09-01 00:00:00,5.44699866e-05
2016-10-01 00:00:00,6.60034276e-05
2016-11-01 00:00:00,6.92391761e-05
2016-12-01 00:00:00,7.49839285e-05
2017-01-01 00:00:00,7.89280021e-05
2017-02-01 00:00:00,8.21007729e-05
2017-03-01 00:00:00,9.36017932e-05
2017-04-01 00:00:00,8.70804618e-05
2017-05-01 00:00:00,8.71509861e-05
2017-06-01 00:00:00,6.10488027e-05
2017-07-01 00:00:00,5.01174468e-05
2017-08-01 00:00:00,5.07156452e-05
2017-09-01 00:00:00,5.1458166e-05
2017-10-01 00:00:00,6.81215431e-05
2017-11-01 00:00:00,7.5261194e-05
2017-12-01 00:00:00,9.09006808e-05
2018-01-01 00:00:00,9.29978297e-05
2018-02-01 00:00:00,9.89059407e-05
2018-03-01 00:00:00,9.84047759e-05
2018-04-01 00:00:00,0.000104967476
2018-05-01 00:00:00,9.60270976e-05
2018-06-01 00:00:00,5.74334174e-05
2018-07-01 00:00:00,4.42081926e-05
2018-08-01 00:00:00,4.43682817e-05
2018-09-01 00:00:00,5.14369649e-05
2018-10-01 00:00:00,6.17406068e-05
2018-11-01 00:00:00,7.76424383e-05
2018-12-01 00:00:00,7.9899691e-05
2019-01-01 00:00:00,7.22985332e-05
2019-02-01 00:00:00,7.76538871e-05
2019-03-01 00:00:00,8.86987112e-05
2019-04-01 00:00:00,9.13683662e-05
2019-05-01 00:00:00,7.74484427e-05
2019-06-01 00:00:00,5.16461229e-05
2019-07-01 00:00:00,4.71921078e-05
2019-08-01 00:00:00,5.69553154e-05
2019-09-01 00:00:00,6.10944642e-05
2019-10-01 00:00:00,6.22492444e-05
2019-11-01 00:00:00,6.74038247e-05
2019-12-01 00:00:00,7.57358289e-05
2020-01-01 00:00:00,6.98406718e-05
2020-02-01 00:00:00,7.25875987e-05
2020-03-01 00:00:00,8.62200202e-05
2020-04-01 00:00:00,8.9688489e-05
2020-05-01 00:00:00,7.56121073e-05
2020-06-01 00:00:00,5.28268229e-05
2020-07-01 00:00:00,4.23680022e-05
2020-08-01 00:00:00,4.46115797e-05
2020-09-01 00:00:00,4.4860846e-05
2020-10-01 00:00:00,6.04246004e-05
2020-11-01 00:00:00,7.58533266e-05
2020-12-01 00:00:00,7.27203825e-05
2021-01-01 00:00:00,7.46101532e-05
2021-02-01 00:00:00,8.08200147e-05
2021-03-01 00:00:00,0.000113841497
2021-04-01 00:00:00,8.9509748e-05
2021-05-01 00:00:00,7.1386471e-05
2021-06-01 00:00:00,5.61065324e-05
2021-07-01 00:00:00,4.31365589e-05
2021-08-01 00:00:00,4.40705176e-05
2021-09-01 00:00:00,4.50771908e-05
2021-10-01 00:00:00,5.46699476e-05
2021-11-01 00:00:00,6.99882925e-05
2021-12-01 00:00:00,7.81212728e-05
2022-01-01 00:00:00,6.87584648e-05
2022-02-01 00:00:00,7.49963758e-05
2022-03-01 00:00:00,0.000102634085
2022-04-01 00:00:00,0.000102170498
2022-05-01 00:00:00,7.09554842e-05
2022-06-01 00:00:00,5.6366884e-05
2022-07-01 00:00:00,6.22210797e-05
2022-08-01 00:00:00,4.75161015e-05
2022-09-01 00:00:00,5.85010597e-05
2022-10-01 00:00:00,6.884634e-05
2022-11-01 00:00:00,6.95319115e-05
2022-12-01 00:00:00,7.87411806e-05
2023-01-01 00:00:00,8.95657875e-05
2023-02-01 00:00:00,9.33364027e-05
2023-03-01 00:00:00,8.3183519e-05
2023-04-01 00:00:00,8.63158027e-05
2023-05-01 00:00:00,7.13075735e-05
2023-06-01 00:00:00,6.67003482e-05
2023-07-01 00:00:00,5.24014348e-05
2023-08-01 00:00:00,4.55136927e-05
2023-09-01 00:00:00,5.20060038e-05
2023-10-01 00:00:00,5.19155001e-05
2023-11-01 00:00:00,6.16404464e-05
2023-12-01 00:00:00,7.74728217e-05
2024-01-01 00:00:00,8.3571395e-05
2024-02-01 00:00:00,8.76259088e-05
2024-03-01 00:00:00,8.31864642e-05
2024-04-01 00:00:00,8.37196941e-05
2024-05-01 00:00:00,8.14094362e-05
2024-06-01 00:00:00,4.7639709e-05
2024-07-01 00:00:00,4.37360928e-05
2024-08-01 00:00:00,6.09108725e-05
2024-09-01 00:00:00,5.10031744e-05
2024-10-01 00:00:00,5.92784475e-05
2024-11-01 00:00:00,5.73291176e-05
2024-12-01 00:00:00,6.79712449e-05
2025-01-01 00:00:00,8.04092088e-05
2025-02-01 00:00:00,7.90737649e-05
2025-03-01 00:00:00,8.55199736e-05
2025-04-01 00:00:00,8.99633861e-05
2025-05-01 00:00:00,8.52017462e-05
