Title:,"Time Series, Area-Averaged of Total Column Mass Density - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"109.2548,40.2477,111.446,42.7368"
Data Bounding Box:,"109.375,40.5,111.25,42.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=109.2548,40.2477,111.446,42.7368&data=M2TMNXAER_5_12_4_TOTCMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTCMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTCMASS25
2014-01-01 00:00:00,2.55668861e-05
2014-02-01 00:00:00,4.93917851e-05
2014-03-01 00:00:00,5.05727644e-05
2014-04-01 00:00:00,7.63669244e-05
2014-05-01 00:00:00,7.50462478e-05
2014-06-01 00:00:00,5.56070939e-05
2014-07-01 00:00:00,4.65725728e-05
2014-08-01 00:00:00,4.43794529e-05
2014-09-01 00:00:00,5.63535065e-05
2014-10-01 00:00:00,5.29537261e-05
2014-11-01 00:00:00,3.25678696e-05
2014-12-01 00:00:00,2.54852778e-05
2015-01-01 00:00:00,2.98961902e-05
2015-02-01 00:00:00,4.18914533e-05
2015-03-01 00:00:00,4.96852836e-05
2015-04-01 00:00:00,6.13972244e-05
2015-05-01 00:00:00,5.99079548e-05
2015-06-01 00:00:00,5.24231536e-05
2015-07-01 00:00:00,5.72631159e-05
2015-08-01 00:00:00,4.05662942e-05
2015-09-01 00:00:00,4.87490386e-05
2015-10-01 00:00:00,4.04906147e-05
2015-11-01 00:00:00,4.15951634e-05
2015-12-01 00:00:00,2.69758923e-05
2016-01-01 00:00:00,1.8687764e-05
2016-02-01 00:00:00,2.61097463e-05
2016-03-01 00:00:00,5.22833992e-05
2016-04-01 00:00:00,5.37504291e-05
2016-05-01 00:00:00,6.8158995e-05
2016-06-01 00:00:00,5.50409975e-05
2016-07-01 00:00:00,4.62558274e-05
2016-08-01 00:00:00,3.78764469e-05
2016-09-01 00:00:00,3.23286975e-05
2016-10-01 00:00:00,4.8492989e-05
2016-11-01 00:00:00,3.99739219e-05
2016-12-01 00:00:00,3.02436318e-05
2017-01-01 00:00:00,2.57859242e-05
2017-02-01 00:00:00,3.15330525e-05
2017-03-01 00:00:00,5.32992211e-05
2017-04-01 00:00:00,5.34984229e-05
2017-05-01 00:00:00,6.26422377e-05
2017-06-01 00:00:00,5.58745854e-05
2017-07-01 00:00:00,4.97991166e-05
2017-08-01 00:00:00,3.97430977e-05
2017-09-01 00:00:00,5.14648352e-05
2017-10-01 00:00:00,6.3825263e-05
2017-11-01 00:00:00,3.45669602e-05
2017-12-01 00:00:00,2.70815445e-05
2018-01-01 00:00:00,3.54606804e-05
2018-02-01 00:00:00,3.48461778e-05
2018-03-01 00:00:00,7.74241213e-05
2018-04-01 00:00:00,8.60317396e-05
2018-05-01 00:00:00,8.42635623e-05
2018-06-01 00:00:00,5.17966669e-05
2018-07-01 00:00:00,5.322016e-05
2018-08-01 00:00:00,3.73231283e-05
2018-09-01 00:00:00,4.35552555e-05
2018-10-01 00:00:00,3.67063142e-05
2018-11-01 00:00:00,4.34987893e-05
2018-12-01 00:00:00,2.93731276e-05
2019-01-01 00:00:00,2.82158164e-05
2019-02-01 00:00:00,4.12951041e-05
2019-03-01 00:00:00,4.7516292e-05
2019-04-01 00:00:00,6.23476348e-05
2019-05-01 00:00:00,8.16365266e-05
2019-06-01 00:00:00,5.61161548e-05
2019-07-01 00:00:00,4.84841283e-05
2019-08-01 00:00:00,4.35955185e-05
2019-09-01 00:00:00,4.34132742e-05
2019-10-01 00:00:00,4.77621144e-05
2019-11-01 00:00:00,4.3983877e-05
2019-12-01 00:00:00,3.28758304e-05
2020-01-01 00:00:00,3.05575818e-05
2020-02-01 00:00:00,3.95629415e-05
2020-03-01 00:00:00,4.88736581e-05
2020-04-01 00:00:00,4.5296138e-05
2020-05-01 00:00:00,6.30093377e-05
2020-06-01 00:00:00,6.48024732e-05
2020-07-01 00:00:00,5.04499228e-05
2020-08-01 00:00:00,4.9633636e-05
2020-09-01 00:00:00,4.28130407e-05
2020-10-01 00:00:00,4.56891236e-05
2020-11-01 00:00:00,3.99953538e-05
2020-12-01 00:00:00,2.41080194e-05
2021-01-01 00:00:00,4.12085125e-05
2021-02-01 00:00:00,4.08154979e-05
2021-03-01 00:00:00,7.74280868e-05
2021-04-01 00:00:00,6.42230738e-05
2021-05-01 00:00:00,7.11345789e-05
2021-06-01 00:00:00,5.96533308e-05
2021-07-01 00:00:00,4.8377527e-05
2021-08-01 00:00:00,6.28930383e-05
2021-09-01 00:00:00,4.6575048e-05
2021-10-01 00:00:00,4.31081956e-05
2021-11-01 00:00:00,4.1677342e-05
2021-12-01 00:00:00,3.15410154e-05
2022-01-01 00:00:00,2.55735174e-05
2022-02-01 00:00:00,2.68081227e-05
2022-03-01 00:00:00,7.21872425e-05
2022-04-01 00:00:00,8.3804298e-05
2022-05-01 00:00:00,6.9574037e-05
2022-06-01 00:00:00,5.59366147e-05
2022-07-01 00:00:00,7.59922928e-05
2022-08-01 00:00:00,4.40667302e-05
2022-09-01 00:00:00,4.39011743e-05
2022-10-01 00:00:00,4.81649009e-05
2022-11-01 00:00:00,3.57332284e-05
2022-12-01 00:00:00,2.37239066e-05
2023-01-01 00:00:00,3.43824314e-05
2023-02-01 00:00:00,3.59541635e-05
2023-03-01 00:00:00,4.8569454e-05
2023-04-01 00:00:00,7.37404838e-05
2023-05-01 00:00:00,8.87521181e-05
2023-06-01 00:00:00,5.08332172e-05
2023-07-01 00:00:00,4.92525489e-05
2023-08-01 00:00:00,3.87978365e-05
2023-09-01 00:00:00,4.95308645e-05
2023-10-01 00:00:00,3.81933779e-05
2023-11-01 00:00:00,3.18898387e-05
2023-12-01 00:00:00,3.20593186e-05
2024-01-01 00:00:00,2.49727868e-05
2024-02-01 00:00:00,5.05358437e-05
2024-03-01 00:00:00,5.0093271e-05
2024-04-01 00:00:00,7.22658411e-05
2024-05-01 00:00:00,6.88796081e-05
2024-06-01 00:00:00,5.73704693e-05
2024-07-01 00:00:00,4.9250885e-05
2024-08-01 00:00:00,3.66682487e-05
2024-09-01 00:00:00,3.88672313e-05
2024-10-01 00:00:00,3.54096383e-05
2024-11-01 00:00:00,2.5741775e-05
2024-12-01 00:00:00,2.18316821e-05
2025-01-01 00:00:00,2.57183882e-05
2025-02-01 00:00:00,2.26263107e-05
2025-03-01 00:00:00,4.39487075e-05
2025-04-01 00:00:00,5.43406658e-05
2025-05-01 00:00:00,7.24209061e-05
