Title:,"Time Series, Area-Averaged of Total Column Mass Density - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"120.8559,30.6704,122.3172,31.8675"
Data Bounding Box:,"121.25,31,121.875,31.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=120.8559,30.6704,122.3172,31.8675&data=M2TMNXAER_5_12_4_TOTCMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTCMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTCMASS25
2014-01-01 00:00:00,8.49333813e-05
2014-02-01 00:00:00,7.27188783e-05
2014-03-01 00:00:00,9.90709899e-05
2014-04-01 00:00:00,9.20863787e-05
2014-05-01 00:00:00,0.000108167953
2014-06-01 00:00:00,9.59113865e-05
2014-07-01 00:00:00,6.41747461e-05
2014-08-01 00:00:00,5.67025613e-05
2014-09-01 00:00:00,5.8761571e-05
2014-10-01 00:00:00,6.3625991e-05
2014-11-01 00:00:00,6.34062698e-05
2014-12-01 00:00:00,6.95029703e-05
2015-01-01 00:00:00,8.35140494e-05
2015-02-01 00:00:00,9.29601918e-05
2015-03-01 00:00:00,9.57240478e-05
2015-04-01 00:00:00,0.000110559548
2015-05-01 00:00:00,8.26395318e-05
2015-06-01 00:00:00,7.95503177e-05
2015-07-01 00:00:00,6.0928879e-05
2015-08-01 00:00:00,6.25605742e-05
2015-09-01 00:00:00,4.89071384e-05
2015-10-01 00:00:00,7.36606522e-05
2015-11-01 00:00:00,4.85953959e-05
2015-12-01 00:00:00,6.42583924e-05
2016-01-01 00:00:00,6.63056392e-05
2016-02-01 00:00:00,8.83042553e-05
2016-03-01 00:00:00,9.73186909e-05
2016-04-01 00:00:00,9.5956109e-05
2016-05-01 00:00:00,8.00270366e-05
2016-06-01 00:00:00,6.82462934e-05
2016-07-01 00:00:00,5.8182223e-05
2016-08-01 00:00:00,3.91827355e-05
2016-09-01 00:00:00,4.90031114e-05
2016-10-01 00:00:00,3.22790848e-05
2016-11-01 00:00:00,6.03979885e-05
2016-12-01 00:00:00,5.67615439e-05
2017-01-01 00:00:00,6.36738605e-05
2017-02-01 00:00:00,8.30118172e-05
2017-03-01 00:00:00,9.35478609e-05
2017-04-01 00:00:00,9.62735042e-05
2017-05-01 00:00:00,9.04816571e-05
2017-06-01 00:00:00,7.36833839e-05
2017-07-01 00:00:00,5.54752446e-05
2017-08-01 00:00:00,6.56030263e-05
2017-09-01 00:00:00,5.20561616e-05
2017-10-01 00:00:00,4.53108155e-05
2017-11-01 00:00:00,6.31019825e-05
2017-12-01 00:00:00,7.5876868e-05
2018-01-01 00:00:00,6.2804308e-05
2018-02-01 00:00:00,8.26299786e-05
2018-03-01 00:00:00,9.80832335e-05
2018-04-01 00:00:00,9.74197606e-05
2018-05-01 00:00:00,8.48148287e-05
2018-06-01 00:00:00,6.8083031e-05
2018-07-01 00:00:00,4.24659223e-05
2018-08-01 00:00:00,3.32103607e-05
2018-09-01 00:00:00,5.12727672e-05
2018-10-01 00:00:00,6.18062472e-05
2018-11-01 00:00:00,5.76504776e-05
2018-12-01 00:00:00,4.88955551e-05
2019-01-01 00:00:00,6.97921726e-05
2019-02-01 00:00:00,6.78194996e-05
2019-03-01 00:00:00,9.8769358e-05
2019-04-01 00:00:00,9.12890872e-05
2019-05-01 00:00:00,7.75549398e-05
2019-06-01 00:00:00,6.94632014e-05
2019-07-01 00:00:00,5.50622526e-05
2019-08-01 00:00:00,6.20952344e-05
2019-09-01 00:00:00,3.89464464e-05
2019-10-01 00:00:00,6.96173931e-05
2019-11-01 00:00:00,5.75885043e-05
2019-12-01 00:00:00,6.35049872e-05
2020-01-01 00:00:00,6.36542628e-05
2020-02-01 00:00:00,6.60852782e-05
2020-03-01 00:00:00,7.69127108e-05
2020-04-01 00:00:00,0.00011192775
2020-05-01 00:00:00,9.33413825e-05
2020-06-01 00:00:00,6.15543671e-05
2020-07-01 00:00:00,5.57992656e-05
2020-08-01 00:00:00,3.68513176e-05
2020-09-01 00:00:00,5.50543217e-05
2020-10-01 00:00:00,4.4937748e-05
2020-11-01 00:00:00,4.94723035e-05
2020-12-01 00:00:00,5.48254387e-05
2021-01-01 00:00:00,6.70922937e-05
2021-02-01 00:00:00,6.88866406e-05
2021-03-01 00:00:00,9.86100889e-05
2021-04-01 00:00:00,8.91919373e-05
2021-05-01 00:00:00,7.76626563e-05
2021-06-01 00:00:00,6.03353722e-05
2021-07-01 00:00:00,4.21914721e-05
2021-08-01 00:00:00,5.10699866e-05
2021-09-01 00:00:00,5.11420663e-05
2021-10-01 00:00:00,4.11517503e-05
2021-11-01 00:00:00,5.34776084e-05
2021-12-01 00:00:00,5.79568309e-05
2022-01-01 00:00:00,5.46524401e-05
2022-02-01 00:00:00,6.26876744e-05
2022-03-01 00:00:00,9.91516614e-05
2022-04-01 00:00:00,0.000101642151
2022-05-01 00:00:00,8.61579109e-05
2022-06-01 00:00:00,7.28332553e-05
2022-07-01 00:00:00,6.32700586e-05
2022-08-01 00:00:00,6.58466757e-05
2022-09-01 00:00:00,4.87114092e-05
2022-10-01 00:00:00,3.82663463e-05
2022-11-01 00:00:00,4.86438029e-05
2022-12-01 00:00:00,5.5739721e-05
2023-01-01 00:00:00,6.46634675e-05
2023-02-01 00:00:00,6.86644704e-05
2023-03-01 00:00:00,8.45177555e-05
2023-04-01 00:00:00,9.29285907e-05
2023-05-01 00:00:00,7.75744601e-05
2023-06-01 00:00:00,7.07539638e-05
2023-07-01 00:00:00,4.91722665e-05
2023-08-01 00:00:00,4.79839664e-05
2023-09-01 00:00:00,4.92224467e-05
2023-10-01 00:00:00,5.45560422e-05
2023-11-01 00:00:00,6.1863139e-05
2023-12-01 00:00:00,5.76522023e-05
2024-01-01 00:00:00,6.94205112e-05
2024-02-01 00:00:00,7.06954999e-05
2024-03-01 00:00:00,9.02918836e-05
2024-04-01 00:00:00,8.2486703e-05
2024-05-01 00:00:00,7.16022647e-05
2024-06-01 00:00:00,6.23210127e-05
2024-07-01 00:00:00,4.1833567e-05
2024-08-01 00:00:00,6.18674547e-05
2024-09-01 00:00:00,3.93735461e-05
2024-10-01 00:00:00,4.22745032e-05
2024-11-01 00:00:00,4.04426288e-05
2024-12-01 00:00:00,5.87618265e-05
2025-01-01 00:00:00,7.09967093e-05
2025-02-01 00:00:00,7.13459066e-05
2025-03-01 00:00:00,8.64472251e-05
2025-04-01 00:00:00,0.00010553703
2025-05-01 00:00:00,9.82016474e-05
