Title:,"Time Series, Area-Averaged of Total Column Mass Density - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"113.9136,24.4862,116.6443,27.1436"
Data Bounding Box:,"114.375,24.5,116.25,27"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=113.9136,24.4862,116.6443,27.1436&data=M2TMNXAER_5_12_4_TOTCMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTCMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTCMASS25
2014-01-01 00:00:00,8.25270954e-05
2014-02-01 00:00:00,6.15775403e-05
2014-03-01 00:00:00,0.000103731661
2014-04-01 00:00:00,9.93012721e-05
2014-05-01 00:00:00,6.15262098e-05
2014-06-01 00:00:00,5.58549935e-05
2014-07-01 00:00:00,3.8679064e-05
2014-08-01 00:00:00,5.17276483e-05
2014-09-01 00:00:00,4.1678043e-05
2014-10-01 00:00:00,6.23490413e-05
2014-11-01 00:00:00,5.29960961e-05
2014-12-01 00:00:00,5.13555471e-05
2015-01-01 00:00:00,5.94087273e-05
2015-02-01 00:00:00,7.81031447e-05
2015-03-01 00:00:00,9.39623905e-05
2015-04-01 00:00:00,9.66283765e-05
2015-05-01 00:00:00,5.02065988e-05
2015-06-01 00:00:00,3.23153379e-05
2015-07-01 00:00:00,3.76115382e-05
2015-08-01 00:00:00,4.40256693e-05
2015-09-01 00:00:00,4.57990065e-05
2015-10-01 00:00:00,4.80533579e-05
2015-11-01 00:00:00,3.60702399e-05
2015-12-01 00:00:00,4.19611657e-05
2016-01-01 00:00:00,4.31841115e-05
2016-02-01 00:00:00,6.7214175e-05
2016-03-01 00:00:00,9.71919949e-05
2016-04-01 00:00:00,0.000109471795
2016-05-01 00:00:00,5.83225498e-05
2016-06-01 00:00:00,3.6178085e-05
2016-07-01 00:00:00,3.11909531e-05
2016-08-01 00:00:00,4.20055507e-05
2016-09-01 00:00:00,4.07071123e-05
2016-10-01 00:00:00,3.16412225e-05
2016-11-01 00:00:00,4.07897917e-05
2016-12-01 00:00:00,3.97015023e-05
2017-01-01 00:00:00,5.10575817e-05
2017-02-01 00:00:00,6.23900633e-05
2017-03-01 00:00:00,7.48071746e-05
2017-04-01 00:00:00,8.07915619e-05
2017-05-01 00:00:00,6.30568074e-05
2017-06-01 00:00:00,2.96601471e-05
2017-07-01 00:00:00,2.63199854e-05
2017-08-01 00:00:00,3.18218185e-05
2017-09-01 00:00:00,3.77510009e-05
2017-10-01 00:00:00,4.26582284e-05
2017-11-01 00:00:00,3.87523133e-05
2017-12-01 00:00:00,5.1142937e-05
2018-01-01 00:00:00,5.19496167e-05
2018-02-01 00:00:00,7.0287211e-05
2018-03-01 00:00:00,7.91413465e-05
2018-04-01 00:00:00,8.72676818e-05
2018-05-01 00:00:00,5.0455214e-05
2018-06-01 00:00:00,3.59334683e-05
2018-07-01 00:00:00,3.09764366e-05
2018-08-01 00:00:00,3.70142293e-05
2018-09-01 00:00:00,3.66816788e-05
2018-10-01 00:00:00,4.38193747e-05
2018-11-01 00:00:00,4.03828198e-05
2018-12-01 00:00:00,3.85076872e-05
2019-01-01 00:00:00,4.49625922e-05
2019-02-01 00:00:00,6.33935378e-05
2019-03-01 00:00:00,8.92203638e-05
2019-04-01 00:00:00,8.18989584e-05
2019-05-01 00:00:00,6.20304066e-05
2019-06-01 00:00:00,3.17212852e-05
2019-07-01 00:00:00,2.92382686e-05
2019-08-01 00:00:00,4.5191711e-05
2019-09-01 00:00:00,4.44837444e-05
2019-10-01 00:00:00,5.88800994e-05
2019-11-01 00:00:00,4.75233727e-05
2019-12-01 00:00:00,4.69337022e-05
2020-01-01 00:00:00,5.06571488e-05
2020-02-01 00:00:00,5.62903781e-05
2020-03-01 00:00:00,8.76882935e-05
2020-04-01 00:00:00,9.41814167e-05
2020-05-01 00:00:00,5.16979359e-05
2020-06-01 00:00:00,2.42172109e-05
2020-07-01 00:00:00,3.05311216e-05
2020-08-01 00:00:00,3.30655328e-05
2020-09-01 00:00:00,3.98283436e-05
2020-10-01 00:00:00,3.49252611e-05
2020-11-01 00:00:00,3.75682129e-05
2020-12-01 00:00:00,5.06510343e-05
2021-01-01 00:00:00,5.1614918e-05
2021-02-01 00:00:00,5.73070293e-05
2021-03-01 00:00:00,0.000109256812
2021-04-01 00:00:00,8.9253044e-05
2021-05-01 00:00:00,4.32624347e-05
2021-06-01 00:00:00,3.35923973e-05
2021-07-01 00:00:00,3.29796765e-05
2021-08-01 00:00:00,3.74590482e-05
2021-09-01 00:00:00,3.85781607e-05
2021-10-01 00:00:00,3.72869981e-05
2021-11-01 00:00:00,3.42314028e-05
2021-12-01 00:00:00,4.10465959e-05
2022-01-01 00:00:00,4.58091409e-05
2022-02-01 00:00:00,4.43512875e-05
2022-03-01 00:00:00,7.59541127e-05
2022-04-01 00:00:00,8.05681747e-05
2022-05-01 00:00:00,4.73163855e-05
2022-06-01 00:00:00,3.12572365e-05
2022-07-01 00:00:00,3.11290757e-05
2022-08-01 00:00:00,2.85018714e-05
2022-09-01 00:00:00,4.83150721e-05
2022-10-01 00:00:00,3.43984557e-05
2022-11-01 00:00:00,3.3980934e-05
2022-12-01 00:00:00,4.34850866e-05
2023-01-01 00:00:00,4.66432302e-05
2023-02-01 00:00:00,6.14993051e-05
2023-03-01 00:00:00,9.42861331e-05
2023-04-01 00:00:00,0.000100415635
2023-05-01 00:00:00,5.65631559e-05
2023-06-01 00:00:00,3.58602809e-05
2023-07-01 00:00:00,3.01429403e-05
2023-08-01 00:00:00,4.2464974e-05
2023-09-01 00:00:00,2.89614619e-05
2023-10-01 00:00:00,3.70042358e-05
2023-11-01 00:00:00,3.89336454e-05
2023-12-01 00:00:00,3.66415754e-05
2024-01-01 00:00:00,4.69101607e-05
2024-02-01 00:00:00,6.028428e-05
2024-03-01 00:00:00,7.78197784e-05
2024-04-01 00:00:00,0.000103499813
2024-05-01 00:00:00,5.66849996e-05
2024-06-01 00:00:00,2.65305029e-05
2024-07-01 00:00:00,2.14423319e-05
2024-08-01 00:00:00,3.79943636e-05
2024-09-01 00:00:00,3.00557662e-05
2024-10-01 00:00:00,3.4601827e-05
2024-11-01 00:00:00,2.69008313e-05
2024-12-01 00:00:00,5.17567001e-05
2025-01-01 00:00:00,5.15712368e-05
2025-02-01 00:00:00,5.95237038e-05
2025-03-01 00:00:00,9.041769e-05
2025-04-01 00:00:00,8.79760297e-05
2025-05-01 00:00:00,4.96984614e-05
