Title:,"Time Series, Area-Averaged of Total Column Mass Density - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"115.4239,39.4396,117.5067,41.0608"
Data Bounding Box:,"115.625,39.5,117.5,41"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=115.4239,39.4396,117.5067,41.0608&data=M2TMNXAER_5_12_4_TOTCMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTCMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTCMASS25
2014-01-01 00:00:00,4.22805413e-05
2014-02-01 00:00:00,8.85473653e-05
2014-03-01 00:00:00,8.25565789e-05
2014-04-01 00:00:00,0.000107816462
2014-05-01 00:00:00,9.86568016e-05
2014-06-01 00:00:00,0.000100564951
2014-07-01 00:00:00,9.37729744e-05
2014-08-01 00:00:00,9.80190619e-05
2014-09-01 00:00:00,8.32340319e-05
2014-10-01 00:00:00,8.73618575e-05
2014-11-01 00:00:00,4.80865442e-05
2014-12-01 00:00:00,3.25370645e-05
2015-01-01 00:00:00,4.61129675e-05
2015-02-01 00:00:00,5.40917414e-05
2015-03-01 00:00:00,7.45587659e-05
2015-04-01 00:00:00,8.70888938e-05
2015-05-01 00:00:00,9.01317618e-05
2015-06-01 00:00:00,9.38892795e-05
2015-07-01 00:00:00,0.000106153156
2015-08-01 00:00:00,7.49236017e-05
2015-09-01 00:00:00,7.32346616e-05
2015-10-01 00:00:00,6.24979891e-05
2015-11-01 00:00:00,7.08819299e-05
2015-12-01 00:00:00,5.04008883e-05
2016-01-01 00:00:00,3.38199045e-05
2016-02-01 00:00:00,3.73793305e-05
2016-03-01 00:00:00,6.5822932e-05
2016-04-01 00:00:00,7.74425023e-05
2016-05-01 00:00:00,8.61502478e-05
2016-06-01 00:00:00,9.32635674e-05
2016-07-01 00:00:00,9.05819686e-05
2016-08-01 00:00:00,5.58188752e-05
2016-09-01 00:00:00,6.32264159e-05
2016-10-01 00:00:00,7.28308311e-05
2016-11-01 00:00:00,6.1425527e-05
2016-12-01 00:00:00,4.46503624e-05
2017-01-01 00:00:00,4.72194178e-05
2017-02-01 00:00:00,4.33031062e-05
2017-03-01 00:00:00,7.27145881e-05
2017-04-01 00:00:00,6.64772981e-05
2017-05-01 00:00:00,8.2439215e-05
2017-06-01 00:00:00,8.79160406e-05
2017-07-01 00:00:00,9.84335007e-05
2017-08-01 00:00:00,6.39502553e-05
2017-09-01 00:00:00,7.57327972e-05
2017-10-01 00:00:00,7.60110814e-05
2017-11-01 00:00:00,4.42248563e-05
2017-12-01 00:00:00,3.68155594e-05
2018-01-01 00:00:00,4.03998484e-05
2018-02-01 00:00:00,4.81619325e-05
2018-03-01 00:00:00,9.88898463e-05
2018-04-01 00:00:00,0.000100992795
2018-05-01 00:00:00,9.44143355e-05
2018-06-01 00:00:00,9.0076765e-05
2018-07-01 00:00:00,8.11087873e-05
2018-08-01 00:00:00,6.22600208e-05
2018-09-01 00:00:00,6.12795934e-05
2018-10-01 00:00:00,5.74115104e-05
2018-11-01 00:00:00,7.04743247e-05
2018-12-01 00:00:00,4.25303979e-05
2019-01-01 00:00:00,3.93762293e-05
2019-02-01 00:00:00,6.24391741e-05
2019-03-01 00:00:00,6.09183177e-05
2019-04-01 00:00:00,8.01931617e-05
2019-05-01 00:00:00,8.37266802e-05
2019-06-01 00:00:00,9.61317106e-05
2019-07-01 00:00:00,9.19870349e-05
2019-08-01 00:00:00,6.16456383e-05
2019-09-01 00:00:00,6.97669108e-05
2019-10-01 00:00:00,6.78862818e-05
2019-11-01 00:00:00,6.16531877e-05
2019-12-01 00:00:00,4.52710437e-05
2020-01-01 00:00:00,4.24743378e-05
2020-02-01 00:00:00,6.18857108e-05
2020-03-01 00:00:00,6.47484253e-05
2020-04-01 00:00:00,7.29915684e-05
2020-05-01 00:00:00,7.66919609e-05
2020-06-01 00:00:00,9.17340766e-05
2020-07-01 00:00:00,8.40442988e-05
2020-08-01 00:00:00,6.90196808e-05
2020-09-01 00:00:00,5.62907256e-05
2020-10-01 00:00:00,6.13317904e-05
2020-11-01 00:00:00,5.23911176e-05
2020-12-01 00:00:00,3.23889097e-05
2021-01-01 00:00:00,5.33551955e-05
2021-02-01 00:00:00,5.79943038e-05
2021-03-01 00:00:00,0.000108224631
2021-04-01 00:00:00,8.0461507e-05
2021-05-01 00:00:00,7.96928162e-05
2021-06-01 00:00:00,8.8710488e-05
2021-07-01 00:00:00,6.62754646e-05
2021-08-01 00:00:00,9.0254455e-05
2021-09-01 00:00:00,6.43410618e-05
2021-10-01 00:00:00,4.85081382e-05
2021-11-01 00:00:00,5.63979218e-05
2021-12-01 00:00:00,3.4397786e-05
2022-01-01 00:00:00,4.05721741e-05
2022-02-01 00:00:00,3.89296731e-05
2022-03-01 00:00:00,8.79691576e-05
2022-04-01 00:00:00,0.000100738314
2022-05-01 00:00:00,7.31560906e-05
2022-06-01 00:00:00,8.57829415e-05
2022-07-01 00:00:00,7.96946726e-05
2022-08-01 00:00:00,6.10833612e-05
2022-09-01 00:00:00,5.66363021e-05
2022-10-01 00:00:00,6.70830379e-05
2022-11-01 00:00:00,5.67212201e-05
2022-12-01 00:00:00,2.5606915e-05
2023-01-01 00:00:00,4.42731779e-05
2023-02-01 00:00:00,5.3334328e-05
2023-03-01 00:00:00,6.91539373e-05
2023-04-01 00:00:00,8.81374551e-05
2023-05-01 00:00:00,9.9406682e-05
2023-06-01 00:00:00,6.54595287e-05
2023-07-01 00:00:00,6.95653536e-05
2023-08-01 00:00:00,6.07542895e-05
2023-09-01 00:00:00,7.00314354e-05
2023-10-01 00:00:00,5.22375592e-05
2023-11-01 00:00:00,3.92684282e-05
2023-12-01 00:00:00,4.20580705e-05
2024-01-01 00:00:00,3.60769672e-05
2024-02-01 00:00:00,5.60638505e-05
2024-03-01 00:00:00,6.29658475e-05
2024-04-01 00:00:00,9.71853854e-05
2024-05-01 00:00:00,8.56866611e-05
2024-06-01 00:00:00,8.14767934e-05
2024-07-01 00:00:00,9.13474404e-05
2024-08-01 00:00:00,6.28183536e-05
2024-09-01 00:00:00,5.51184503e-05
2024-10-01 00:00:00,6.43116395e-05
2024-11-01 00:00:00,4.33768683e-05
2024-12-01 00:00:00,2.36728415e-05
2025-01-01 00:00:00,2.99810157e-05
2025-02-01 00:00:00,3.08076758e-05
2025-03-01 00:00:00,5.80459881e-05
2025-04-01 00:00:00,6.54173245e-05
2025-05-01 00:00:00,0.000103671601
