Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"111.8981,39.0896,113.5727,40.2992"
Data Bounding Box:,"112.5,39.5,113.125,40"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=111.8981,39.0896,113.5727,40.2992&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,2.15462789e-08
2014-02-01 00:00:00,2.69289048e-08
2014-03-01 00:00:00,1.84753293e-08
2014-04-01 00:00:00,2.52640867e-08
2014-05-01 00:00:00,3.13275419e-08
2014-06-01 00:00:00,2.38978214e-08
2014-07-01 00:00:00,2.00628942e-08
2014-08-01 00:00:00,2.07365156e-08
2014-09-01 00:00:00,2.60451172e-08
2014-10-01 00:00:00,2.81629076e-08
2014-11-01 00:00:00,1.90301673e-08
2014-12-01 00:00:00,2.28432707e-08
2015-01-01 00:00:00,2.06779288e-08
2015-02-01 00:00:00,1.9847963e-08
2015-03-01 00:00:00,2.05959133e-08
2015-04-01 00:00:00,1.7883821e-08
2015-05-01 00:00:00,2.0428317e-08
2015-06-01 00:00:00,2.65625628e-08
2015-07-01 00:00:00,3.15116155e-08
2015-08-01 00:00:00,1.87940866e-08
2015-09-01 00:00:00,2.71071349e-08
2015-10-01 00:00:00,2.33389556e-08
2015-11-01 00:00:00,2.86874694e-08
2015-12-01 00:00:00,2.45565357e-08
2016-01-01 00:00:00,1.33583748e-08
2016-02-01 00:00:00,1.69385863e-08
2016-03-01 00:00:00,2.04814646e-08
2016-04-01 00:00:00,1.84635764e-08
2016-05-01 00:00:00,2.44036042e-08
2016-06-01 00:00:00,2.22251593e-08
2016-07-01 00:00:00,2.46527515e-08
2016-08-01 00:00:00,1.89950081e-08
2016-09-01 00:00:00,1.86918745e-08
2016-10-01 00:00:00,2.65190409e-08
2016-11-01 00:00:00,2.77578636e-08
2016-12-01 00:00:00,2.01357507e-08
2017-01-01 00:00:00,2.20360297e-08
2017-02-01 00:00:00,1.54723151e-08
2017-03-01 00:00:00,1.92001047e-08
2017-04-01 00:00:00,1.58041738e-08
2017-05-01 00:00:00,2.29346213e-08
2017-06-01 00:00:00,1.89971055e-08
2017-07-01 00:00:00,2.5562657e-08
2017-08-01 00:00:00,2.03315148e-08
2017-09-01 00:00:00,2.12827069e-08
2017-10-01 00:00:00,2.42712036e-08
2017-11-01 00:00:00,2.14930182e-08
2017-12-01 00:00:00,2.1306469e-08
2018-01-01 00:00:00,2.10632531e-08
2018-02-01 00:00:00,1.79286014e-08
2018-03-01 00:00:00,2.40170643e-08
2018-04-01 00:00:00,2.37942588e-08
2018-05-01 00:00:00,2.19582577e-08
2018-06-01 00:00:00,1.68659445e-08
2018-07-01 00:00:00,2.5099936e-08
2018-08-01 00:00:00,2.29972904e-08
2018-09-01 00:00:00,1.89636142e-08
2018-10-01 00:00:00,1.97590327e-08
2018-11-01 00:00:00,2.90390976e-08
2018-12-01 00:00:00,2.46760571e-08
2019-01-01 00:00:00,1.88725505e-08
2019-02-01 00:00:00,2.37009407e-08
2019-03-01 00:00:00,1.58317047e-08
2019-04-01 00:00:00,2.07773621e-08
2019-05-01 00:00:00,1.77107234e-08
2019-06-01 00:00:00,2.33523811e-08
2019-07-01 00:00:00,2.71952687e-08
2019-08-01 00:00:00,1.60687204e-08
2019-09-01 00:00:00,1.90220883e-08
2019-10-01 00:00:00,2.54497695e-08
2019-11-01 00:00:00,2.80008808e-08
2019-12-01 00:00:00,2.72081035e-08
2020-01-01 00:00:00,2.29168571e-08
2020-02-01 00:00:00,2.33168351e-08
2020-03-01 00:00:00,1.80985942e-08
2020-04-01 00:00:00,1.54643434e-08
2020-05-01 00:00:00,1.67849028e-08
2020-06-01 00:00:00,2.31829204e-08
2020-07-01 00:00:00,2.55003503e-08
2020-08-01 00:00:00,1.97378987e-08
2020-09-01 00:00:00,1.85205013e-08
2020-10-01 00:00:00,1.86264238e-08
2020-11-01 00:00:00,2.33328432e-08
2020-12-01 00:00:00,1.91954383e-08
2021-01-01 00:00:00,3.98644905e-08
2021-02-01 00:00:00,2.36382973e-08
2021-03-01 00:00:00,2.65383633e-08
2021-04-01 00:00:00,2.22690117e-08
2021-05-01 00:00:00,1.9214571e-08
2021-06-01 00:00:00,2.29177199e-08
2021-07-01 00:00:00,2.00223212e-08
2021-08-01 00:00:00,2.65250722e-08
2021-09-01 00:00:00,1.96806143e-08
2021-10-01 00:00:00,1.58516039e-08
2021-11-01 00:00:00,2.89813493e-08
2021-12-01 00:00:00,2.67407649e-08
2022-01-01 00:00:00,2.14051492e-08
2022-02-01 00:00:00,1.41836044e-08
2022-03-01 00:00:00,2.23552105e-08
2022-04-01 00:00:00,1.88716049e-08
2022-05-01 00:00:00,1.45686811e-08
2022-06-01 00:00:00,1.85551044e-08
2022-07-01 00:00:00,2.0599216e-08
2022-08-01 00:00:00,1.83735646e-08
2022-09-01 00:00:00,1.60351651e-08
2022-10-01 00:00:00,2.01882811e-08
2022-11-01 00:00:00,2.41497039e-08
2022-12-01 00:00:00,2.00302062e-08
2023-01-01 00:00:00,3.17774973e-08
2023-02-01 00:00:00,1.94610494e-08
2023-03-01 00:00:00,1.94601253e-08
2023-04-01 00:00:00,2.48150185e-08
2023-05-01 00:00:00,2.32271321e-08
2023-06-01 00:00:00,1.5694496e-08
2023-07-01 00:00:00,2.01430972e-08
2023-08-01 00:00:00,1.61199469e-08
2023-09-01 00:00:00,2.19456847e-08
2023-10-01 00:00:00,1.69850022e-08
2023-11-01 00:00:00,2.02309047e-08
2023-12-01 00:00:00,2.65759612e-08
2024-01-01 00:00:00,1.97864566e-08
2024-02-01 00:00:00,2.13925761e-08
2024-03-01 00:00:00,1.86450709e-08
2024-04-01 00:00:00,2.22276919e-08
2024-05-01 00:00:00,1.85110773e-08
2024-06-01 00:00:00,2.05182958e-08
2024-07-01 00:00:00,2.43312242e-08
2024-08-01 00:00:00,1.89710375e-08
2024-09-01 00:00:00,1.95720182e-08
2024-10-01 00:00:00,2.07658436e-08
2024-11-01 00:00:00,2.11778783e-08
2024-12-01 00:00:00,1.8067214e-08
2025-01-01 00:00:00,2.36688342e-08
2025-02-01 00:00:00,1.483114e-08
2025-03-01 00:00:00,2.04324573e-08
2025-04-01 00:00:00,1.61775276e-08
2025-05-01 00:00:00,2.67157122e-08
