Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"113.677,22.234,114.6521,22.8515"
Data Bounding Box:,"113.75,22.5,114.375,22.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=113.677,22.234,114.6521,22.8515&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,4.4775361e-08
2014-02-01 00:00:00,3.1390258e-08
2014-03-01 00:00:00,3.62433067e-08
2014-04-01 00:00:00,3.82161364e-08
2014-05-01 00:00:00,2.44220528e-08
2014-06-01 00:00:00,2.47005985e-08
2014-07-01 00:00:00,2.68684583e-08
2014-08-01 00:00:00,1.98050683e-08
2014-09-01 00:00:00,2.74871467e-08
2014-10-01 00:00:00,3.69303432e-08
2014-11-01 00:00:00,3.22681058e-08
2014-12-01 00:00:00,3.47201504e-08
2015-01-01 00:00:00,3.477845e-08
2015-02-01 00:00:00,3.49745286e-08
2015-03-01 00:00:00,3.29048535e-08
2015-04-01 00:00:00,3.19228361e-08
2015-05-01 00:00:00,2.45793717e-08
2015-06-01 00:00:00,2.14385465e-08
2015-07-01 00:00:00,3.05521526e-08
2015-08-01 00:00:00,2.59164387e-08
2015-09-01 00:00:00,2.62943444e-08
2015-10-01 00:00:00,3.42606499e-08
2015-11-01 00:00:00,2.59555654e-08
2015-12-01 00:00:00,3.03981058e-08
2016-01-01 00:00:00,3.15973305e-08
2016-02-01 00:00:00,3.64621657e-08
2016-03-01 00:00:00,3.53726759e-08
2016-04-01 00:00:00,2.23950133e-08
2016-05-01 00:00:00,2.66691947e-08
2016-06-01 00:00:00,2.31963175e-08
2016-07-01 00:00:00,2.34924562e-08
2016-08-01 00:00:00,3.60356296e-08
2016-09-01 00:00:00,2.84881779e-08
2016-10-01 00:00:00,2.47046227e-08
2016-11-01 00:00:00,2.83970954e-08
2016-12-01 00:00:00,3.07841324e-08
2017-01-01 00:00:00,3.13055554e-08
2017-02-01 00:00:00,3.19813889e-08
2017-03-01 00:00:00,3.41453794e-08
2017-04-01 00:00:00,3.3423369e-08
2017-05-01 00:00:00,3.4304653e-08
2017-06-01 00:00:00,2.40674704e-08
2017-07-01 00:00:00,2.0828841e-08
2017-08-01 00:00:00,2.51755899e-08
2017-09-01 00:00:00,2.75955701e-08
2017-10-01 00:00:00,3.29036898e-08
2017-11-01 00:00:00,3.11504346e-08
2017-12-01 00:00:00,3.61514986e-08
2018-01-01 00:00:00,3.52351986e-08
2018-02-01 00:00:00,3.57193195e-08
2018-03-01 00:00:00,2.90275745e-08
2018-04-01 00:00:00,3.44523472e-08
2018-05-01 00:00:00,2.18171916e-08
2018-06-01 00:00:00,2.59444907e-08
2018-07-01 00:00:00,1.98095688e-08
2018-08-01 00:00:00,3.08094779e-08
2018-09-01 00:00:00,3.12304375e-08
2018-10-01 00:00:00,3.39323632e-08
2018-11-01 00:00:00,2.99130848e-08
2018-12-01 00:00:00,3.01715284e-08
2019-01-01 00:00:00,3.28719771e-08
2019-02-01 00:00:00,3.26835432e-08
2019-03-01 00:00:00,4.12711736e-08
2019-04-01 00:00:00,3.42364523e-08
2019-05-01 00:00:00,3.32804055e-08
2019-06-01 00:00:00,1.98735034e-08
2019-07-01 00:00:00,2.80926543e-08
2019-08-01 00:00:00,3.03036706e-08
2019-09-01 00:00:00,3.37679884e-08
2019-10-01 00:00:00,3.88435597e-08
2019-11-01 00:00:00,3.10826184e-08
2019-12-01 00:00:00,3.33651286e-08
2020-01-01 00:00:00,2.83480302e-08
2020-02-01 00:00:00,2.65264898e-08
2020-03-01 00:00:00,3.45487932e-08
2020-04-01 00:00:00,4.00397709e-08
2020-05-01 00:00:00,2.76925608e-08
2020-06-01 00:00:00,1.7500771e-08
2020-07-01 00:00:00,1.74052841e-08
2020-08-01 00:00:00,2.48907633e-08
2020-09-01 00:00:00,2.77730473e-08
2020-10-01 00:00:00,2.88258947e-08
2020-11-01 00:00:00,2.68180483e-08
2020-12-01 00:00:00,3.10940625e-08
2021-01-01 00:00:00,3.07541013e-08
2021-02-01 00:00:00,3.02589898e-08
2021-03-01 00:00:00,3.35664611e-08
2021-04-01 00:00:00,3.13850931e-08
2021-05-01 00:00:00,1.90531711e-08
2021-06-01 00:00:00,2.40918556e-08
2021-07-01 00:00:00,2.13058162e-08
2021-08-01 00:00:00,2.19115104e-08
2021-09-01 00:00:00,2.75545182e-08
2021-10-01 00:00:00,2.75571795e-08
2021-11-01 00:00:00,2.32151385e-08
2021-12-01 00:00:00,2.69970761e-08
2022-01-01 00:00:00,3.0425245e-08
2022-02-01 00:00:00,3.01420111e-08
2022-03-01 00:00:00,3.40074487e-08
2022-04-01 00:00:00,3.24760276e-08
2022-05-01 00:00:00,2.91795088e-08
2022-06-01 00:00:00,2.11159232e-08
2022-07-01 00:00:00,2.69207593e-08
2022-08-01 00:00:00,2.29901339e-08
2022-09-01 00:00:00,3.65580117e-08
2022-10-01 00:00:00,2.43014265e-08
2022-11-01 00:00:00,2.71774143e-08
2022-12-01 00:00:00,2.98700623e-08
2023-01-01 00:00:00,2.9067705e-08
2023-02-01 00:00:00,3.07744999e-08
2023-03-01 00:00:00,3.82577592e-08
2023-04-01 00:00:00,3.61991179e-08
2023-05-01 00:00:00,3.17372338e-08
2023-06-01 00:00:00,2.100542e-08
2023-07-01 00:00:00,1.92171243e-08
2023-08-01 00:00:00,2.37705298e-08
2023-09-01 00:00:00,2.35441091e-08
2023-10-01 00:00:00,3.29590608e-08
2023-11-01 00:00:00,2.9326006e-08
2023-12-01 00:00:00,2.72938294e-08
2024-01-01 00:00:00,3.07968547e-08
2024-02-01 00:00:00,3.14444953e-08
2024-03-01 00:00:00,3.32450056e-08
2024-04-01 00:00:00,2.86426284e-08
2024-05-01 00:00:00,3.15212841e-08
2024-06-01 00:00:00,2.4507881e-08
2024-07-01 00:00:00,2.00817948e-08
2024-08-01 00:00:00,2.68259425e-08
2024-09-01 00:00:00,3.06546292e-08
2024-10-01 00:00:00,2.58423956e-08
2024-11-01 00:00:00,2.3180553e-08
2024-12-01 00:00:00,3.33309422e-08
2025-01-01 00:00:00,3.05515381e-08
2025-02-01 00:00:00,3.3732331e-08
2025-03-01 00:00:00,3.68836084e-08
2025-04-01 00:00:00,3.33356549e-08
2025-05-01 00:00:00,2.43104187e-08
