Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"102.9941,30.0883,104.8978,31.4347"
Data Bounding Box:,"103.125,30.5,104.375,31"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=102.9941,30.0883,104.8978,31.4347&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,5.66971455e-08
2014-02-01 00:00:00,5.46268072e-08
2014-03-01 00:00:00,4.40408039e-08
2014-04-01 00:00:00,4.12834323e-08
2014-05-01 00:00:00,4.54862048e-08
2014-06-01 00:00:00,3.45189334e-08
2014-07-01 00:00:00,2.71143945e-08
2014-08-01 00:00:00,3.30815251e-08
2014-09-01 00:00:00,3.10062742e-08
2014-10-01 00:00:00,4.59345556e-08
2014-11-01 00:00:00,4.04626289e-08
2014-12-01 00:00:00,5.02214105e-08
2015-01-01 00:00:00,4.94266962e-08
2015-02-01 00:00:00,4.90624775e-08
2015-03-01 00:00:00,4.43332549e-08
2015-04-01 00:00:00,4.12554194e-08
2015-05-01 00:00:00,3.59146853e-08
2015-06-01 00:00:00,2.91328968e-08
2015-07-01 00:00:00,3.42138584e-08
2015-08-01 00:00:00,3.36160504e-08
2015-09-01 00:00:00,3.28060118e-08
2015-10-01 00:00:00,4.12761575e-08
2015-11-01 00:00:00,3.90878146e-08
2015-12-01 00:00:00,4.50854106e-08
2016-01-01 00:00:00,4.64304548e-08
2016-02-01 00:00:00,4.80568609e-08
2016-03-01 00:00:00,4.62445596e-08
2016-04-01 00:00:00,3.92581438e-08
2016-05-01 00:00:00,4.2536175e-08
2016-06-01 00:00:00,2.96343934e-08
2016-07-01 00:00:00,2.95490662e-08
2016-08-01 00:00:00,3.0681983e-08
2016-09-01 00:00:00,3.24540392e-08
2016-10-01 00:00:00,4.19941582e-08
2016-11-01 00:00:00,4.38183375e-08
2016-12-01 00:00:00,5.20881399e-08
2017-01-01 00:00:00,5.00440289e-08
2017-02-01 00:00:00,4.38214444e-08
2017-03-01 00:00:00,4.14974037e-08
2017-04-01 00:00:00,3.72428178e-08
2017-05-01 00:00:00,3.64986015e-08
2017-06-01 00:00:00,2.9551889e-08
2017-07-01 00:00:00,2.79131572e-08
2017-08-01 00:00:00,3.01782721e-08
2017-09-01 00:00:00,3.09174999e-08
2017-10-01 00:00:00,4.26440442e-08
2017-11-01 00:00:00,4.70824293e-08
2017-12-01 00:00:00,5.87319294e-08
2018-01-01 00:00:00,5.60232698e-08
2018-02-01 00:00:00,4.89028105e-08
2018-03-01 00:00:00,4.61680558e-08
2018-04-01 00:00:00,4.26771807e-08
2018-05-01 00:00:00,4.51367399e-08
2018-06-01 00:00:00,2.74829635e-08
2018-07-01 00:00:00,2.93952281e-08
2018-08-01 00:00:00,2.76321435e-08
2018-09-01 00:00:00,3.11488466e-08
2018-10-01 00:00:00,3.71825631e-08
2018-11-01 00:00:00,4.99890625e-08
2018-12-01 00:00:00,5.18356839e-08
2019-01-01 00:00:00,4.69768452e-08
2019-02-01 00:00:00,4.4342449e-08
2019-03-01 00:00:00,4.01208114e-08
2019-04-01 00:00:00,3.81454107e-08
2019-05-01 00:00:00,3.72212575e-08
2019-06-01 00:00:00,2.65116762e-08
2019-07-01 00:00:00,2.78013184e-08
2019-08-01 00:00:00,3.2520823e-08
2019-09-01 00:00:00,3.69124449e-08
2019-10-01 00:00:00,3.81269579e-08
2019-11-01 00:00:00,4.32908421e-08
2019-12-01 00:00:00,5.08387545e-08
2020-01-01 00:00:00,4.55705331e-08
2020-02-01 00:00:00,4.12464054e-08
2020-03-01 00:00:00,4.07771551e-08
2020-04-01 00:00:00,3.72288048e-08
2020-05-01 00:00:00,3.32106594e-08
2020-06-01 00:00:00,2.91406311e-08
2020-07-01 00:00:00,2.70942264e-08
2020-08-01 00:00:00,2.96436879e-08
2020-09-01 00:00:00,2.72043072e-08
2020-10-01 00:00:00,3.61947817e-08
2020-11-01 00:00:00,4.81496229e-08
2020-12-01 00:00:00,4.5935341e-08
2021-01-01 00:00:00,4.71634089e-08
2021-02-01 00:00:00,4.70008021e-08
2021-03-01 00:00:00,4.64418145e-08
2021-04-01 00:00:00,3.76174728e-08
2021-05-01 00:00:00,3.43740938e-08
2021-06-01 00:00:00,3.12541943e-08
2021-07-01 00:00:00,2.54235633e-08
2021-08-01 00:00:00,2.67891643e-08
2021-09-01 00:00:00,2.94394061e-08
2021-10-01 00:00:00,3.54923754e-08
2021-11-01 00:00:00,4.15468914e-08
2021-12-01 00:00:00,5.27590613e-08
2022-01-01 00:00:00,4.78444479e-08
2022-02-01 00:00:00,4.26622412e-08
2022-03-01 00:00:00,4.49598815e-08
2022-04-01 00:00:00,4.11761847e-08
2022-05-01 00:00:00,3.23887248e-08
2022-06-01 00:00:00,2.95155047e-08
2022-07-01 00:00:00,3.08591477e-08
2022-08-01 00:00:00,2.87537373e-08
2022-09-01 00:00:00,3.65975169e-08
2022-10-01 00:00:00,4.04879708e-08
2022-11-01 00:00:00,4.26216888e-08
2022-12-01 00:00:00,4.93658145e-08
2023-01-01 00:00:00,5.41503446e-08
2023-02-01 00:00:00,5.03985827e-08
2023-03-01 00:00:00,4.01859586e-08
2023-04-01 00:00:00,3.80120728e-08
2023-05-01 00:00:00,3.32480689e-08
2023-06-01 00:00:00,3.28804612e-08
2023-07-01 00:00:00,2.88012657e-08
2023-08-01 00:00:00,2.79714034e-08
2023-09-01 00:00:00,3.07441908e-08
2023-10-01 00:00:00,3.18166021e-08
2023-11-01 00:00:00,4.13267631e-08
2023-12-01 00:00:00,5.36519836e-08
2024-01-01 00:00:00,5.13127761e-08
2024-02-01 00:00:00,4.94091853e-08
2024-03-01 00:00:00,3.86304307e-08
2024-04-01 00:00:00,3.90135891e-08
2024-05-01 00:00:00,3.41283302e-08
2024-06-01 00:00:00,2.58835058e-08
2024-07-01 00:00:00,2.83648733e-08
2024-08-01 00:00:00,3.16834874e-08
2024-09-01 00:00:00,3.01372741e-08
2024-10-01 00:00:00,3.71704774e-08
2024-11-01 00:00:00,3.85970358e-08
2024-12-01 00:00:00,4.57557911e-08
2025-01-01 00:00:00,5.09346026e-08
2025-02-01 00:00:00,4.41439691e-08
2025-03-01 00:00:00,3.92058619e-08
2025-04-01 00:00:00,3.90026441e-08
2025-05-01 00:00:00,3.75065113e-08
