Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"109.2548,40.2477,111.446,42.7368"
Data Bounding Box:,"109.375,40.5,111.25,42.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=109.2548,40.2477,111.446,42.7368&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,2.28426505e-08
2014-02-01 00:00:00,1.75136283e-08
2014-03-01 00:00:00,1.42290841e-08
2014-04-01 00:00:00,2.18501928e-08
2014-05-01 00:00:00,2.38923764e-08
2014-06-01 00:00:00,1.51972366e-08
2014-07-01 00:00:00,1.30239398e-08
2014-08-01 00:00:00,1.21683185e-08
2014-09-01 00:00:00,1.56648363e-08
2014-10-01 00:00:00,2.70696679e-08
2014-11-01 00:00:00,1.92437189e-08
2014-12-01 00:00:00,2.5101158e-08
2015-01-01 00:00:00,2.08647359e-08
2015-02-01 00:00:00,2.01580974e-08
2015-03-01 00:00:00,1.92372606e-08
2015-04-01 00:00:00,1.51246854e-08
2015-05-01 00:00:00,1.55215917e-08
2015-06-01 00:00:00,1.62476294e-08
2015-07-01 00:00:00,1.95559136e-08
2015-08-01 00:00:00,1.32454134e-08
2015-09-01 00:00:00,1.92243012e-08
2015-10-01 00:00:00,1.67672972e-08
2015-11-01 00:00:00,2.29341603e-08
2015-12-01 00:00:00,2.47514399e-08
2016-01-01 00:00:00,1.33068164e-08
2016-02-01 00:00:00,1.50993428e-08
2016-03-01 00:00:00,1.85035864e-08
2016-04-01 00:00:00,1.42147721e-08
2016-05-01 00:00:00,1.86337445e-08
2016-06-01 00:00:00,1.75180767e-08
2016-07-01 00:00:00,1.60835291e-08
2016-08-01 00:00:00,1.19238115e-08
2016-09-01 00:00:00,1.15309076e-08
2016-10-01 00:00:00,1.93770859e-08
2016-11-01 00:00:00,2.97263103e-08
2016-12-01 00:00:00,1.99549391e-08
2017-01-01 00:00:00,1.99188601e-08
2017-02-01 00:00:00,1.37795783e-08
2017-03-01 00:00:00,1.44200524e-08
2017-04-01 00:00:00,1.22248324e-08
2017-05-01 00:00:00,1.99652204e-08
2017-06-01 00:00:00,1.45543327e-08
2017-07-01 00:00:00,1.49125871e-08
2017-08-01 00:00:00,1.2918698e-08
2017-09-01 00:00:00,1.5819042e-08
2017-10-01 00:00:00,1.93949718e-08
2017-11-01 00:00:00,2.28711956e-08
2017-12-01 00:00:00,2.30990161e-08
2018-01-01 00:00:00,2.4049169e-08
2018-02-01 00:00:00,1.71575487e-08
2018-03-01 00:00:00,2.29355639e-08
2018-04-01 00:00:00,2.30952186e-08
2018-05-01 00:00:00,2.02648658e-08
2018-06-01 00:00:00,1.13291854e-08
2018-07-01 00:00:00,1.81254577e-08
2018-08-01 00:00:00,1.18600749e-08
2018-09-01 00:00:00,1.50825431e-08
2018-10-01 00:00:00,1.86743993e-08
2018-11-01 00:00:00,2.70382298e-08
2018-12-01 00:00:00,2.67981365e-08
2019-01-01 00:00:00,1.64546148e-08
2019-02-01 00:00:00,1.69809481e-08
2019-03-01 00:00:00,1.46047405e-08
2019-04-01 00:00:00,1.41126231e-08
2019-05-01 00:00:00,1.97593951e-08
2019-06-01 00:00:00,1.72509975e-08
2019-07-01 00:00:00,1.59650815e-08
2019-08-01 00:00:00,1.08761451e-08
2019-09-01 00:00:00,1.48268571e-08
2019-10-01 00:00:00,2.1645979e-08
2019-11-01 00:00:00,2.77391638e-08
2019-12-01 00:00:00,3.34675581e-08
2020-01-01 00:00:00,2.0151757e-08
2020-02-01 00:00:00,2.11537775e-08
2020-03-01 00:00:00,1.65836235e-08
2020-04-01 00:00:00,1.00673926e-08
2020-05-01 00:00:00,1.43294628e-08
2020-06-01 00:00:00,1.62463168e-08
2020-07-01 00:00:00,1.43321641e-08
2020-08-01 00:00:00,1.55309773e-08
2020-09-01 00:00:00,1.41789036e-08
2020-10-01 00:00:00,1.85672722e-08
2020-11-01 00:00:00,2.22871022e-08
2020-12-01 00:00:00,2.5753608e-08
2021-01-01 00:00:00,5.00499117e-08
2021-02-01 00:00:00,2.81945269e-08
2021-03-01 00:00:00,2.25611983e-08
2021-04-01 00:00:00,1.79521753e-08
2021-05-01 00:00:00,1.7084772e-08
2021-06-01 00:00:00,1.58219708e-08
2021-07-01 00:00:00,1.3270922e-08
2021-08-01 00:00:00,2.12785641e-08
2021-09-01 00:00:00,1.4136252e-08
2021-10-01 00:00:00,1.35818969e-08
2021-11-01 00:00:00,3.55471992e-08
2021-12-01 00:00:00,3.55077857e-08
2022-01-01 00:00:00,1.78846707e-08
2022-02-01 00:00:00,1.10263488e-08
2022-03-01 00:00:00,2.18505128e-08
2022-04-01 00:00:00,1.83451966e-08
2022-05-01 00:00:00,1.41605858e-08
2022-06-01 00:00:00,1.24931989e-08
2022-07-01 00:00:00,1.72882292e-08
2022-08-01 00:00:00,1.26592812e-08
2022-09-01 00:00:00,1.35415839e-08
2022-10-01 00:00:00,1.74445872e-08
2022-11-01 00:00:00,2.43157085e-08
2022-12-01 00:00:00,2.3667103e-08
2023-01-01 00:00:00,4.01001402e-08
2023-02-01 00:00:00,1.48244238e-08
2023-03-01 00:00:00,1.85979357e-08
2023-04-01 00:00:00,2.17624663e-08
2023-05-01 00:00:00,2.32297465e-08
2023-06-01 00:00:00,9.34823449e-09
2023-07-01 00:00:00,1.53077609e-08
2023-08-01 00:00:00,1.1740759e-08
2023-09-01 00:00:00,1.74028349e-08
2023-10-01 00:00:00,1.78955663e-08
2023-11-01 00:00:00,2.54831191e-08
2023-12-01 00:00:00,3.19944498e-08
2024-01-01 00:00:00,2.07981618e-08
2024-02-01 00:00:00,2.02289265e-08
2024-03-01 00:00:00,1.75733442e-08
2024-04-01 00:00:00,1.98308379e-08
2024-05-01 00:00:00,1.27525395e-08
2024-06-01 00:00:00,1.52825126e-08
2024-07-01 00:00:00,1.58597051e-08
2024-08-01 00:00:00,1.13313728e-08
2024-09-01 00:00:00,1.63223593e-08
2024-10-01 00:00:00,1.42298741e-08
2024-11-01 00:00:00,1.64409493e-08
2024-12-01 00:00:00,2.01981951e-08
2025-01-01 00:00:00,2.56574028e-08
2025-02-01 00:00:00,1.4551946e-08
2025-03-01 00:00:00,2.01528054e-08
2025-04-01 00:00:00,1.70785028e-08
2025-05-01 00:00:00,2.14693071e-08
