Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"120.8559,30.6704,122.3172,31.8675"
Data Bounding Box:,"121.25,31,121.875,31.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=120.8559,30.6704,122.3172,31.8675&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,3.74127804e-08
2014-02-01 00:00:00,3.2117631e-08
2014-03-01 00:00:00,3.40800391e-08
2014-04-01 00:00:00,3.05068474e-08
2014-05-01 00:00:00,4.40993913e-08
2014-06-01 00:00:00,2.99175287e-08
2014-07-01 00:00:00,3.55246876e-08
2014-08-01 00:00:00,2.81149941e-08
2014-09-01 00:00:00,2.6874151e-08
2014-10-01 00:00:00,2.71581207e-08
2014-11-01 00:00:00,2.97043249e-08
2014-12-01 00:00:00,4.13219944e-08
2015-01-01 00:00:00,5.63053685e-08
2015-02-01 00:00:00,3.89812181e-08
2015-03-01 00:00:00,3.25841591e-08
2015-04-01 00:00:00,3.88203521e-08
2015-05-01 00:00:00,2.75294335e-08
2015-06-01 00:00:00,4.55696546e-08
2015-07-01 00:00:00,3.62687964e-08
2015-08-01 00:00:00,2.99936092e-08
2015-09-01 00:00:00,2.28103241e-08
2015-10-01 00:00:00,3.43588724e-08
2015-11-01 00:00:00,2.93973016e-08
2015-12-01 00:00:00,4.37040572e-08
2016-01-01 00:00:00,3.66262812e-08
2016-02-01 00:00:00,3.96713942e-08
2016-03-01 00:00:00,3.10906772e-08
2016-04-01 00:00:00,3.62230302e-08
2016-05-01 00:00:00,3.75396848e-08
2016-06-01 00:00:00,3.19680924e-08
2016-07-01 00:00:00,3.30218802e-08
2016-08-01 00:00:00,1.82998766e-08
2016-09-01 00:00:00,2.40845283e-08
2016-10-01 00:00:00,2.18939091e-08
2016-11-01 00:00:00,3.47664685e-08
2016-12-01 00:00:00,3.42525759e-08
2017-01-01 00:00:00,2.9002703e-08
2017-02-01 00:00:00,3.85212315e-08
2017-03-01 00:00:00,3.51151694e-08
2017-04-01 00:00:00,3.84350787e-08
2017-05-01 00:00:00,2.79695304e-08
2017-06-01 00:00:00,3.24781999e-08
2017-07-01 00:00:00,3.39357244e-08
2017-08-01 00:00:00,3.80018965e-08
2017-09-01 00:00:00,2.70647743e-08
2017-10-01 00:00:00,2.42040635e-08
2017-11-01 00:00:00,3.29968215e-08
2017-12-01 00:00:00,4.21508267e-08
2018-01-01 00:00:00,3.17767939e-08
2018-02-01 00:00:00,3.33743437e-08
2018-03-01 00:00:00,2.88636204e-08
2018-04-01 00:00:00,3.09854732e-08
2018-05-01 00:00:00,3.54308906e-08
2018-06-01 00:00:00,2.73338768e-08
2018-07-01 00:00:00,2.43261287e-08
2018-08-01 00:00:00,2.56906555e-08
2018-09-01 00:00:00,2.51261105e-08
2018-10-01 00:00:00,2.62687285e-08
2018-11-01 00:00:00,2.98745457e-08
2018-12-01 00:00:00,2.74470669e-08
2019-01-01 00:00:00,3.73679894e-08
2019-02-01 00:00:00,3.04382939e-08
2019-03-01 00:00:00,3.71954804e-08
2019-04-01 00:00:00,2.77415652e-08
2019-05-01 00:00:00,2.65253974e-08
2019-06-01 00:00:00,2.53397472e-08
2019-07-01 00:00:00,2.73374745e-08
2019-08-01 00:00:00,3.36146322e-08
2019-09-01 00:00:00,1.97285436e-08
2019-10-01 00:00:00,3.11670329e-08
2019-11-01 00:00:00,2.72848404e-08
2019-12-01 00:00:00,3.60682635e-08
2020-01-01 00:00:00,3.45773448e-08
2020-02-01 00:00:00,3.21522654e-08
2020-03-01 00:00:00,2.60734938e-08
2020-04-01 00:00:00,3.37235341e-08
2020-05-01 00:00:00,3.42300563e-08
2020-06-01 00:00:00,3.21032943e-08
2020-07-01 00:00:00,3.48379997e-08
2020-08-01 00:00:00,2.54299732e-08
2020-09-01 00:00:00,2.46449638e-08
2020-10-01 00:00:00,1.90242243e-08
2020-11-01 00:00:00,2.3952417e-08
2020-12-01 00:00:00,2.787456e-08
2021-01-01 00:00:00,3.47997227e-08
2021-02-01 00:00:00,3.28361423e-08
2021-03-01 00:00:00,3.03151236e-08
2021-04-01 00:00:00,2.56758445e-08
2021-05-01 00:00:00,3.1245192e-08
2021-06-01 00:00:00,2.30093041e-08
2021-07-01 00:00:00,3.19861937e-08
2021-08-01 00:00:00,2.66195813e-08
2021-09-01 00:00:00,2.96583234e-08
2021-10-01 00:00:00,1.90941724e-08
2021-11-01 00:00:00,3.11678958e-08
2021-12-01 00:00:00,3.54887322e-08
2022-01-01 00:00:00,3.23251144e-08
2022-02-01 00:00:00,2.59657682e-08
2022-03-01 00:00:00,3.0734393e-08
2022-04-01 00:00:00,2.75531499e-08
2022-05-01 00:00:00,2.79480362e-08
2022-06-01 00:00:00,2.89331388e-08
2022-07-01 00:00:00,3.53671452e-08
2022-08-01 00:00:00,3.18198705e-08
2022-09-01 00:00:00,2.58958191e-08
2022-10-01 00:00:00,1.660795e-08
2022-11-01 00:00:00,2.1721836e-08
2022-12-01 00:00:00,3.43470461e-08
2023-01-01 00:00:00,3.89615076e-08
2023-02-01 00:00:00,2.48272272e-08
2023-03-01 00:00:00,2.76470309e-08
2023-04-01 00:00:00,3.19750584e-08
2023-05-01 00:00:00,2.80915388e-08
2023-06-01 00:00:00,3.10453558e-08
2023-07-01 00:00:00,3.18800353e-08
2023-08-01 00:00:00,2.353203e-08
2023-09-01 00:00:00,2.39622605e-08
2023-10-01 00:00:00,2.44741133e-08
2023-11-01 00:00:00,3.58506765e-08
2023-12-01 00:00:00,3.87290134e-08
2024-01-01 00:00:00,4.10173541e-08
2024-02-01 00:00:00,3.76555016e-08
2024-03-01 00:00:00,3.36749017e-08
2024-04-01 00:00:00,2.66089188e-08
2024-05-01 00:00:00,2.62677315e-08
2024-06-01 00:00:00,2.95078039e-08
2024-07-01 00:00:00,3.59182804e-08
2024-08-01 00:00:00,2.93935563e-08
2024-09-01 00:00:00,2.57299521e-08
2024-10-01 00:00:00,2.37918569e-08
2024-11-01 00:00:00,2.33125008e-08
2024-12-01 00:00:00,3.27111341e-08
2025-01-01 00:00:00,4.25424832e-08
2025-02-01 00:00:00,3.06108073e-08
2025-03-01 00:00:00,3.28014129e-08
2025-04-01 00:00:00,3.48838001e-08
2025-05-01 00:00:00,3.26850325e-08
