Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"113.7004,29.9666,115.0808,31.3612"
Data Bounding Box:,"113.75,30,115,31"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=113.7004,29.9666,115.0808,31.3612&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,6.9988398e-08
2014-02-01 00:00:00,4.32022448e-08
2014-03-01 00:00:00,4.72832793e-08
2014-04-01 00:00:00,4.75188349e-08
2014-05-01 00:00:00,5.14463171e-08
2014-06-01 00:00:00,5.8642852e-08
2014-07-01 00:00:00,3.94492549e-08
2014-08-01 00:00:00,3.89330755e-08
2014-09-01 00:00:00,3.87301946e-08
2014-10-01 00:00:00,5.06479811e-08
2014-11-01 00:00:00,4.68605562e-08
2014-12-01 00:00:00,4.7080663e-08
2015-01-01 00:00:00,5.36908145e-08
2015-02-01 00:00:00,5.1261388e-08
2015-03-01 00:00:00,4.23002629e-08
2015-04-01 00:00:00,4.59283467e-08
2015-05-01 00:00:00,5.38313417e-08
2015-06-01 00:00:00,3.71652857e-08
2015-07-01 00:00:00,3.52198507e-08
2015-08-01 00:00:00,3.58139588e-08
2015-09-01 00:00:00,3.73552742e-08
2015-10-01 00:00:00,4.70985963e-08
2015-11-01 00:00:00,3.99223389e-08
2015-12-01 00:00:00,4.82169915e-08
2016-01-01 00:00:00,4.23022686e-08
2016-02-01 00:00:00,4.58344943e-08
2016-03-01 00:00:00,4.46566059e-08
2016-04-01 00:00:00,4.67916155e-08
2016-05-01 00:00:00,4.87888792e-08
2016-06-01 00:00:00,3.42610676e-08
2016-07-01 00:00:00,2.91923345e-08
2016-08-01 00:00:00,3.34443975e-08
2016-09-01 00:00:00,3.60534872e-08
2016-10-01 00:00:00,3.43143961e-08
2016-11-01 00:00:00,5.19487397e-08
2016-12-01 00:00:00,5.31806107e-08
2017-01-01 00:00:00,4.67358904e-08
2017-02-01 00:00:00,4.1573127e-08
2017-03-01 00:00:00,4.29115941e-08
2017-04-01 00:00:00,4.3492606e-08
2017-05-01 00:00:00,4.76187543e-08
2017-06-01 00:00:00,3.77562469e-08
2017-07-01 00:00:00,2.64935932e-08
2017-08-01 00:00:00,3.344183e-08
2017-09-01 00:00:00,3.52399456e-08
2017-10-01 00:00:00,3.76618744e-08
2017-11-01 00:00:00,5.0043266e-08
2017-12-01 00:00:00,5.29956075e-08
2018-01-01 00:00:00,4.3214917e-08
2018-02-01 00:00:00,4.41200178e-08
2018-03-01 00:00:00,4.06869221e-08
2018-04-01 00:00:00,4.48694031e-08
2018-05-01 00:00:00,4.39748856e-08
2018-06-01 00:00:00,3.19385448e-08
2018-07-01 00:00:00,2.46304084e-08
2018-08-01 00:00:00,2.51350083e-08
2018-09-01 00:00:00,3.11910039e-08
2018-10-01 00:00:00,3.9770822e-08
2018-11-01 00:00:00,5.00135173e-08
2018-12-01 00:00:00,4.62486954e-08
2019-01-01 00:00:00,5.42856646e-08
2019-02-01 00:00:00,4.4900256e-08
2019-03-01 00:00:00,4.10409898e-08
2019-04-01 00:00:00,4.1833626e-08
2019-05-01 00:00:00,3.8066245e-08
2019-06-01 00:00:00,3.307892e-08
2019-07-01 00:00:00,2.85786861e-08
2019-08-01 00:00:00,3.00175499e-08
2019-09-01 00:00:00,3.66476384e-08
2019-10-01 00:00:00,4.15301133e-08
2019-11-01 00:00:00,4.48458725e-08
2019-12-01 00:00:00,5.04731774e-08
2020-01-01 00:00:00,5.01303168e-08
2020-02-01 00:00:00,3.76201395e-08
2020-03-01 00:00:00,4.287804e-08
2020-04-01 00:00:00,4.07990651e-08
2020-05-01 00:00:00,3.85124462e-08
2020-06-01 00:00:00,2.92014339e-08
2020-07-01 00:00:00,3.72321351e-08
2020-08-01 00:00:00,2.55898735e-08
2020-09-01 00:00:00,3.40420136e-08
2020-10-01 00:00:00,4.04318852e-08
2020-11-01 00:00:00,3.96085074e-08
2020-12-01 00:00:00,5.44868817e-08
2021-01-01 00:00:00,4.71341024e-08
2021-02-01 00:00:00,4.12773996e-08
2021-03-01 00:00:00,4.2285402e-08
2021-04-01 00:00:00,3.79840673e-08
2021-05-01 00:00:00,3.95818591e-08
2021-06-01 00:00:00,3.03069913e-08
2021-07-01 00:00:00,2.52205181e-08
2021-08-01 00:00:00,3.12816021e-08
2021-09-01 00:00:00,2.88710877e-08
2021-10-01 00:00:00,3.43443192e-08
2021-11-01 00:00:00,4.07131567e-08
2021-12-01 00:00:00,4.65656135e-08
2022-01-01 00:00:00,4.80081666e-08
2022-02-01 00:00:00,3.82934761e-08
2022-03-01 00:00:00,4.06278367e-08
2022-04-01 00:00:00,3.84857923e-08
2022-05-01 00:00:00,3.73441341e-08
2022-06-01 00:00:00,2.55910752e-08
2022-07-01 00:00:00,2.5477929e-08
2022-08-01 00:00:00,2.50708176e-08
2022-09-01 00:00:00,3.0477787e-08
2022-10-01 00:00:00,3.19070023e-08
2022-11-01 00:00:00,3.23234686e-08
2022-12-01 00:00:00,4.07469788e-08
2023-01-01 00:00:00,5.22365351e-08
2023-02-01 00:00:00,4.1529711e-08
2023-03-01 00:00:00,4.1649023e-08
2023-04-01 00:00:00,4.28892544e-08
2023-05-01 00:00:00,3.50983239e-08
2023-06-01 00:00:00,3.49133525e-08
2023-07-01 00:00:00,2.77420909e-08
2023-08-01 00:00:00,3.00379031e-08
2023-09-01 00:00:00,2.71264361e-08
2023-10-01 00:00:00,3.80264328e-08
2023-11-01 00:00:00,3.75399171e-08
2023-12-01 00:00:00,4.10998868e-08
2024-01-01 00:00:00,4.72696148e-08
2024-02-01 00:00:00,4.06361681e-08
2024-03-01 00:00:00,3.84430652e-08
2024-04-01 00:00:00,3.86758289e-08
2024-05-01 00:00:00,3.444673e-08
2024-06-01 00:00:00,2.90729204e-08
2024-07-01 00:00:00,2.34146287e-08
2024-08-01 00:00:00,2.69886038e-08
2024-09-01 00:00:00,2.98741145e-08
2024-10-01 00:00:00,3.78095563e-08
2024-11-01 00:00:00,3.34227097e-08
2024-12-01 00:00:00,4.07791522e-08
2025-01-01 00:00:00,4.58008019e-08
2025-02-01 00:00:00,3.39627581e-08
2025-03-01 00:00:00,3.86713486e-08
2025-04-01 00:00:00,4.31880472e-08
2025-05-01 00:00:00,4.20795505e-08
