Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"102.1687,24.3852,103.6736,26.5427"
Data Bounding Box:,"102.5,24.5,103.125,26.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=102.1687,24.3852,103.6736,26.5427&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,1.21391298e-08
2014-02-01 00:00:00,1.18935549e-08
2014-03-01 00:00:00,2.47603484e-08
2014-04-01 00:00:00,3.05873506e-08
2014-05-01 00:00:00,1.67684937e-08
2014-06-01 00:00:00,1.03832527e-08
2014-07-01 00:00:00,8.45455606e-09
2014-08-01 00:00:00,1.01608362e-08
2014-09-01 00:00:00,9.30078287e-09
2014-10-01 00:00:00,1.37795032e-08
2014-11-01 00:00:00,1.1033996e-08
2014-12-01 00:00:00,1.70699597e-08
2015-01-01 00:00:00,1.40763135e-08
2015-02-01 00:00:00,1.51944247e-08
2015-03-01 00:00:00,2.2074396e-08
2015-04-01 00:00:00,2.07898285e-08
2015-05-01 00:00:00,1.45801723e-08
2015-06-01 00:00:00,8.39787003e-09
2015-07-01 00:00:00,1.18805872e-08
2015-08-01 00:00:00,1.07584423e-08
2015-09-01 00:00:00,9.02581797e-09
2015-10-01 00:00:00,1.18019719e-08
2015-11-01 00:00:00,8.67172261e-09
2015-12-01 00:00:00,1.47747021e-08
2016-01-01 00:00:00,1.1988389e-08
2016-02-01 00:00:00,2.44329415e-08
2016-03-01 00:00:00,2.89810546e-08
2016-04-01 00:00:00,2.41843967e-08
2016-05-01 00:00:00,1.38565435e-08
2016-06-01 00:00:00,7.30641383e-09
2016-07-01 00:00:00,6.11423859e-09
2016-08-01 00:00:00,1.14358804e-08
2016-09-01 00:00:00,1.330667e-08
2016-10-01 00:00:00,1.27419719e-08
2016-11-01 00:00:00,1.29832069e-08
2016-12-01 00:00:00,1.35317001e-08
2017-01-01 00:00:00,8.89988982e-09
2017-02-01 00:00:00,1.73541895e-08
2017-03-01 00:00:00,2.27300999e-08
2017-04-01 00:00:00,2.44924247e-08
2017-05-01 00:00:00,1.61249768e-08
2017-06-01 00:00:00,9.04331447e-09
2017-07-01 00:00:00,7.95684272e-09
2017-08-01 00:00:00,8.58712108e-09
2017-09-01 00:00:00,7.9340041e-09
2017-10-01 00:00:00,1.28604725e-08
2017-11-01 00:00:00,1.32891234e-08
2017-12-01 00:00:00,1.72104578e-08
2018-01-01 00:00:00,1.1116052e-08
2018-02-01 00:00:00,2.14386242e-08
2018-03-01 00:00:00,2.63504085e-08
2018-04-01 00:00:00,2.4329146e-08
2018-05-01 00:00:00,1.65799371e-08
2018-06-01 00:00:00,1.2796648e-08
2018-07-01 00:00:00,7.6545688e-09
2018-08-01 00:00:00,1.14128135e-08
2018-09-01 00:00:00,1.07519645e-08
2018-10-01 00:00:00,1.23621518e-08
2018-11-01 00:00:00,8.73615441e-09
2018-12-01 00:00:00,1.09133615e-08
2019-01-01 00:00:00,9.55238888e-09
2019-02-01 00:00:00,1.0999483e-08
2019-03-01 00:00:00,2.51567222e-08
2019-04-01 00:00:00,2.48152318e-08
2019-05-01 00:00:00,2.04083765e-08
2019-06-01 00:00:00,7.97795447e-09
2019-07-01 00:00:00,9.0821242e-09
2019-08-01 00:00:00,1.09988994e-08
2019-09-01 00:00:00,1.09859718e-08
2019-10-01 00:00:00,9.08262421e-09
2019-11-01 00:00:00,1.36427556e-08
2019-12-01 00:00:00,1.1957913e-08
2020-01-01 00:00:00,1.01912443e-08
2020-02-01 00:00:00,2.05295279e-08
2020-03-01 00:00:00,2.5590274e-08
2020-04-01 00:00:00,2.8917202e-08
2020-05-01 00:00:00,1.43421041e-08
2020-06-01 00:00:00,6.19024366e-09
2020-07-01 00:00:00,5.71102562e-09
2020-08-01 00:00:00,7.36797772e-09
2020-09-01 00:00:00,8.71231057e-09
2020-10-01 00:00:00,1.30129881e-08
2020-11-01 00:00:00,1.18223262e-08
2020-12-01 00:00:00,1.3747052e-08
2021-01-01 00:00:00,1.71381697e-08
2021-02-01 00:00:00,1.71127395e-08
2021-03-01 00:00:00,4.07485028e-08
2021-04-01 00:00:00,2.84220366e-08
2021-05-01 00:00:00,1.23991643e-08
2021-06-01 00:00:00,1.01795918e-08
2021-07-01 00:00:00,7.37235003e-09
2021-08-01 00:00:00,8.55661862e-09
2021-09-01 00:00:00,8.02642036e-09
2021-10-01 00:00:00,1.31047452e-08
2021-11-01 00:00:00,1.52579722e-08
2021-12-01 00:00:00,1.61285463e-08
2022-01-01 00:00:00,9.36944201e-09
2022-02-01 00:00:00,1.5567084e-08
2022-03-01 00:00:00,2.36957744e-08
2022-04-01 00:00:00,2.61303169e-08
2022-05-01 00:00:00,1.48745076e-08
2022-06-01 00:00:00,1.05568392e-08
2022-07-01 00:00:00,8.00973051e-09
2022-08-01 00:00:00,7.67189376e-09
2022-09-01 00:00:00,1.18559592e-08
2022-10-01 00:00:00,1.34375155e-08
2022-11-01 00:00:00,8.23546932e-09
2022-12-01 00:00:00,1.86339888e-08
2023-01-01 00:00:00,1.57655822e-08
2023-02-01 00:00:00,2.25647701e-08
2023-03-01 00:00:00,2.66854091e-08
2023-04-01 00:00:00,2.70979905e-08
2023-05-01 00:00:00,1.38892286e-08
2023-06-01 00:00:00,1.30874048e-08
2023-07-01 00:00:00,8.00599094e-09
2023-08-01 00:00:00,1.08032044e-08
2023-09-01 00:00:00,9.01301866e-09
2023-10-01 00:00:00,1.04558081e-08
2023-11-01 00:00:00,1.18728143e-08
2023-12-01 00:00:00,1.37623811e-08
2024-01-01 00:00:00,1.23072968e-08
2024-02-01 00:00:00,1.6225639e-08
2024-03-01 00:00:00,2.06326386e-08
2024-04-01 00:00:00,2.46052716e-08
2024-05-01 00:00:00,1.67292316e-08
2024-06-01 00:00:00,1.02115312e-08
2024-07-01 00:00:00,6.39107398e-09
2024-08-01 00:00:00,1.00292773e-08
2024-09-01 00:00:00,1.10833267e-08
2024-10-01 00:00:00,1.29824466e-08
2024-11-01 00:00:00,1.47597631e-08
2024-12-01 00:00:00,1.24539089e-08
2025-01-01 00:00:00,1.8322376e-08
2025-02-01 00:00:00,1.92942755e-08
2025-03-01 00:00:00,3.72742307e-08
2025-04-01 00:00:00,2.5454284e-08
2025-05-01 00:00:00,1.30980249e-08
