Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"115.4239,39.4396,117.5067,41.0608"
Data Bounding Box:,"115.625,39.5,117.5,41"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=115.4239,39.4396,117.5067,41.0608&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,3.21686323e-08
2014-02-01 00:00:00,4.54136142e-08
2014-03-01 00:00:00,3.4281438e-08
2014-04-01 00:00:00,4.02312371e-08
2014-05-01 00:00:00,3.4063977e-08
2014-06-01 00:00:00,4.20903302e-08
2014-07-01 00:00:00,4.50261082e-08
2014-08-01 00:00:00,4.40999434e-08
2014-09-01 00:00:00,3.96921168e-08
2014-10-01 00:00:00,4.638745e-08
2014-11-01 00:00:00,3.19101622e-08
2014-12-01 00:00:00,2.31815013e-08
2015-01-01 00:00:00,3.10684758e-08
2015-02-01 00:00:00,2.61522394e-08
2015-03-01 00:00:00,3.25151282e-08
2015-04-01 00:00:00,3.25453311e-08
2015-05-01 00:00:00,3.31368349e-08
2015-06-01 00:00:00,3.58576599e-08
2015-07-01 00:00:00,4.66990743e-08
2015-08-01 00:00:00,3.63914146e-08
2015-09-01 00:00:00,3.50234495e-08
2015-10-01 00:00:00,3.20734054e-08
2015-11-01 00:00:00,4.1013621e-08
2015-12-01 00:00:00,4.08818994e-08
2016-01-01 00:00:00,2.15872978e-08
2016-02-01 00:00:00,2.06764971e-08
2016-03-01 00:00:00,2.74874042e-08
2016-04-01 00:00:00,2.71713288e-08
2016-05-01 00:00:00,2.98746078e-08
2016-06-01 00:00:00,3.80152926e-08
2016-07-01 00:00:00,4.68496801e-08
2016-08-01 00:00:00,2.99552814e-08
2016-09-01 00:00:00,3.17539434e-08
2016-10-01 00:00:00,3.82965708e-08
2016-11-01 00:00:00,3.62065368e-08
2016-12-01 00:00:00,3.56989096e-08
2017-01-01 00:00:00,3.24034984e-08
2017-02-01 00:00:00,2.49037593e-08
2017-03-01 00:00:00,2.96103959e-08
2017-04-01 00:00:00,2.31512149e-08
2017-05-01 00:00:00,2.96473876e-08
2017-06-01 00:00:00,3.58022966e-08
2017-07-01 00:00:00,4.62130763e-08
2017-08-01 00:00:00,3.2367597e-08
2017-09-01 00:00:00,3.55721643e-08
2017-10-01 00:00:00,3.66071668e-08
2017-11-01 00:00:00,2.65442818e-08
2017-12-01 00:00:00,2.52102807e-08
2018-01-01 00:00:00,2.14054885e-08
2018-02-01 00:00:00,2.18468846e-08
2018-03-01 00:00:00,3.47097487e-08
2018-04-01 00:00:00,3.13229735e-08
2018-05-01 00:00:00,3.07057671e-08
2018-06-01 00:00:00,3.35449742e-08
2018-07-01 00:00:00,4.13802044e-08
2018-08-01 00:00:00,3.13727893e-08
2018-09-01 00:00:00,2.72003291e-08
2018-10-01 00:00:00,2.93824568e-08
2018-11-01 00:00:00,4.17959887e-08
2018-12-01 00:00:00,2.68102994e-08
2019-01-01 00:00:00,2.50163263e-08
2019-02-01 00:00:00,2.67934016e-08
2019-03-01 00:00:00,2.51148235e-08
2019-04-01 00:00:00,2.79045817e-08
2019-05-01 00:00:00,2.71647335e-08
2019-06-01 00:00:00,3.46550623e-08
2019-07-01 00:00:00,4.26642335e-08
2019-08-01 00:00:00,2.77066735e-08
2019-09-01 00:00:00,3.5572291e-08
2019-10-01 00:00:00,3.38260604e-08
2019-11-01 00:00:00,3.52011057e-08
2019-12-01 00:00:00,3.3871727e-08
2020-01-01 00:00:00,3.19962065e-08
2020-02-01 00:00:00,3.24791774e-08
2020-03-01 00:00:00,2.46588124e-08
2020-04-01 00:00:00,2.62890261e-08
2020-05-01 00:00:00,2.58450504e-08
2020-06-01 00:00:00,3.35218372e-08
2020-07-01 00:00:00,4.00252618e-08
2020-08-01 00:00:00,3.27722685e-08
2020-09-01 00:00:00,2.63928061e-08
2020-10-01 00:00:00,3.25570605e-08
2020-11-01 00:00:00,3.06357371e-08
2020-12-01 00:00:00,2.47755551e-08
2021-01-01 00:00:00,3.49499003e-08
2021-02-01 00:00:00,3.25634081e-08
2021-03-01 00:00:00,4.0042858e-08
2021-04-01 00:00:00,2.64944613e-08
2021-05-01 00:00:00,2.35017574e-08
2021-06-01 00:00:00,3.01836341e-08
2021-07-01 00:00:00,3.18726202e-08
2021-08-01 00:00:00,3.94517905e-08
2021-09-01 00:00:00,2.98405379e-08
2021-10-01 00:00:00,2.54581459e-08
2021-11-01 00:00:00,3.33659376e-08
2021-12-01 00:00:00,2.68515631e-08
2022-01-01 00:00:00,2.80037863e-08
2022-02-01 00:00:00,2.04843555e-08
2022-03-01 00:00:00,2.80471826e-08
2022-04-01 00:00:00,2.86909939e-08
2022-05-01 00:00:00,2.1572001e-08
2022-06-01 00:00:00,3.04759269e-08
2022-07-01 00:00:00,3.09180875e-08
2022-08-01 00:00:00,2.85066199e-08
2022-09-01 00:00:00,3.1830154e-08
2022-10-01 00:00:00,3.41563416e-08
2022-11-01 00:00:00,3.4561929e-08
2022-12-01 00:00:00,1.82295819e-08
2023-01-01 00:00:00,3.15990253e-08
2023-02-01 00:00:00,3.02008185e-08
2023-03-01 00:00:00,2.93277882e-08
2023-04-01 00:00:00,2.66589512e-08
2023-05-01 00:00:00,3.08497066e-08
2023-06-01 00:00:00,2.40646129e-08
2023-07-01 00:00:00,3.10743953e-08
2023-08-01 00:00:00,3.22504529e-08
2023-09-01 00:00:00,3.66496758e-08
2023-10-01 00:00:00,3.02809853e-08
2023-11-01 00:00:00,2.49883508e-08
2023-12-01 00:00:00,2.93874162e-08
2024-01-01 00:00:00,2.46479502e-08
2024-02-01 00:00:00,2.70890365e-08
2024-03-01 00:00:00,2.45935438e-08
2024-04-01 00:00:00,3.11497069e-08
2024-05-01 00:00:00,2.9159936e-08
2024-06-01 00:00:00,3.12827685e-08
2024-07-01 00:00:00,4.15476262e-08
2024-08-01 00:00:00,3.2940077e-08
2024-09-01 00:00:00,2.6859638e-08
2024-10-01 00:00:00,3.94009768e-08
2024-11-01 00:00:00,2.89229324e-08
2024-12-01 00:00:00,1.95754684e-08
2025-01-01 00:00:00,2.14351145e-08
2025-02-01 00:00:00,1.95747878e-08
2025-03-01 00:00:00,2.3600558e-08
2025-04-01 00:00:00,2.21526815e-08
2025-05-01 00:00:00,3.74099352e-08
