Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM 2.5 monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-31T23:59:59Z
User Bounding Box:,"101.1382,26.0818,102.2463,27.3428"
Data Bounding Box:,"101.25,26.5,101.875,27"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-31T23:59:59Z&bbox=101.1382,26.0818,102.2463,27.3428&data=M2TMNXAER_5_12_4_TOTSMASS25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2TMNXAER_5_12_4_TOTSMASS25
2014-01-01 00:00:00,1.02948277e-08
2014-02-01 00:00:00,1.09124921e-08
2014-03-01 00:00:00,1.78716967e-08
2014-04-01 00:00:00,2.31247042e-08
2014-05-01 00:00:00,1.55046408e-08
2014-06-01 00:00:00,1.06265754e-08
2014-07-01 00:00:00,8.90022329e-09
2014-08-01 00:00:00,9.36705098e-09
2014-09-01 00:00:00,8.73978924e-09
2014-10-01 00:00:00,1.14641527e-08
2014-11-01 00:00:00,8.73096418e-09
2014-12-01 00:00:00,1.30207828e-08
2015-01-01 00:00:00,1.03064897e-08
2015-02-01 00:00:00,1.16100452e-08
2015-03-01 00:00:00,1.96717953e-08
2015-04-01 00:00:00,1.62046557e-08
2015-05-01 00:00:00,1.22154598e-08
2015-06-01 00:00:00,8.24896528e-09
2015-07-01 00:00:00,1.041963e-08
2015-08-01 00:00:00,1.03509935e-08
2015-09-01 00:00:00,8.91295981e-09
2015-10-01 00:00:00,1.12379509e-08
2015-11-01 00:00:00,8.88539599e-09
2015-12-01 00:00:00,1.22592214e-08
2016-01-01 00:00:00,1.04990849e-08
2016-02-01 00:00:00,2.4770988e-08
2016-03-01 00:00:00,2.08894501e-08
2016-04-01 00:00:00,2.18652422e-08
2016-05-01 00:00:00,1.27662413e-08
2016-06-01 00:00:00,7.27664858e-09
2016-07-01 00:00:00,6.82963794e-09
2016-08-01 00:00:00,1.07747653e-08
2016-09-01 00:00:00,1.15239478e-08
2016-10-01 00:00:00,1.06651102e-08
2016-11-01 00:00:00,1.11352077e-08
2016-12-01 00:00:00,9.93991064e-09
2017-01-01 00:00:00,7.0583157e-09
2017-02-01 00:00:00,1.40132491e-08
2017-03-01 00:00:00,1.73109896e-08
2017-04-01 00:00:00,2.05457965e-08
2017-05-01 00:00:00,1.44537381e-08
2017-06-01 00:00:00,9.59958917e-09
2017-07-01 00:00:00,8.16832072e-09
2017-08-01 00:00:00,9.32368606e-09
2017-09-01 00:00:00,7.94397503e-09
2017-10-01 00:00:00,1.31322186e-08
2017-11-01 00:00:00,1.03515719e-08
2017-12-01 00:00:00,1.1970555e-08
2018-01-01 00:00:00,1.00607186e-08
2018-02-01 00:00:00,1.97642859e-08
2018-03-01 00:00:00,1.88805134e-08
2018-04-01 00:00:00,1.91718498e-08
2018-05-01 00:00:00,1.5807395e-08
2018-06-01 00:00:00,1.26723696e-08
2018-07-01 00:00:00,7.86364403e-09
2018-08-01 00:00:00,1.0484556e-08
2018-09-01 00:00:00,1.11592986e-08
2018-10-01 00:00:00,1.11080788e-08
2018-11-01 00:00:00,8.81686622e-09
2018-12-01 00:00:00,6.55279614e-09
2019-01-01 00:00:00,7.89921756e-09
2019-02-01 00:00:00,1.02102457e-08
2019-03-01 00:00:00,1.96396242e-08
2019-04-01 00:00:00,1.64988612e-08
2019-05-01 00:00:00,1.61560367e-08
2019-06-01 00:00:00,7.89210245e-09
2019-07-01 00:00:00,1.0065824e-08
2019-08-01 00:00:00,1.09373527e-08
2019-09-01 00:00:00,1.08008278e-08
2019-10-01 00:00:00,7.63817494e-09
2019-11-01 00:00:00,9.99080884e-09
2019-12-01 00:00:00,1.01077186e-08
2020-01-01 00:00:00,8.01085836e-09
2020-02-01 00:00:00,1.47298148e-08
2020-03-01 00:00:00,1.57630937e-08
2020-04-01 00:00:00,2.07130513e-08
2020-05-01 00:00:00,1.28650646e-08
2020-06-01 00:00:00,6.18513053e-09
2020-07-01 00:00:00,5.93208169e-09
2020-08-01 00:00:00,7.59394786e-09
2020-09-01 00:00:00,8.49336009e-09
2020-10-01 00:00:00,1.20764858e-08
2020-11-01 00:00:00,1.02042108e-08
2020-12-01 00:00:00,1.02631914e-08
2021-01-01 00:00:00,1.35599218e-08
2021-02-01 00:00:00,1.38507809e-08
2021-03-01 00:00:00,3.34005348e-08
2021-04-01 00:00:00,2.46462235e-08
2021-05-01 00:00:00,1.23439757e-08
2021-06-01 00:00:00,1.04021977e-08
2021-07-01 00:00:00,7.17628224e-09
2021-08-01 00:00:00,8.93998617e-09
2021-09-01 00:00:00,8.13534862e-09
2021-10-01 00:00:00,1.15611091e-08
2021-11-01 00:00:00,1.25491365e-08
2021-12-01 00:00:00,1.07981668e-08
2022-01-01 00:00:00,8.34473757e-09
2022-02-01 00:00:00,1.36816703e-08
2022-03-01 00:00:00,2.12693303e-08
2022-04-01 00:00:00,2.32890999e-08
2022-05-01 00:00:00,1.45240743e-08
2022-06-01 00:00:00,1.06210873e-08
2022-07-01 00:00:00,7.99146502e-09
2022-08-01 00:00:00,8.37214157e-09
2022-09-01 00:00:00,1.35229462e-08
2022-10-01 00:00:00,1.20718002e-08
2022-11-01 00:00:00,6.82111785e-09
2022-12-01 00:00:00,1.36537813e-08
2023-01-01 00:00:00,1.22547619e-08
2023-02-01 00:00:00,1.70149147e-08
2023-03-01 00:00:00,1.78842642e-08
2023-04-01 00:00:00,1.96976846e-08
2023-05-01 00:00:00,1.15151861e-08
2023-06-01 00:00:00,1.25991155e-08
2023-07-01 00:00:00,7.33510189e-09
2023-08-01 00:00:00,1.19353975e-08
2023-09-01 00:00:00,8.71327959e-09
2023-10-01 00:00:00,1.00326607e-08
2023-11-01 00:00:00,9.54305379e-09
2023-12-01 00:00:00,1.08770384e-08
2024-01-01 00:00:00,9.74765375e-09
2024-02-01 00:00:00,1.33158177e-08
2024-03-01 00:00:00,1.50258512e-08
2024-04-01 00:00:00,2.08367376e-08
2024-05-01 00:00:00,1.62826758e-08
2024-06-01 00:00:00,1.14179604e-08
2024-07-01 00:00:00,6.60122812e-09
2024-08-01 00:00:00,9.63553307e-09
2024-09-01 00:00:00,1.03617898e-08
2024-10-01 00:00:00,1.24167299e-08
2024-11-01 00:00:00,1.26497323e-08
2024-12-01 00:00:00,7.71378232e-09
2025-01-01 00:00:00,1.59786678e-08
2025-02-01 00:00:00,1.4362981e-08
2025-03-01 00:00:00,3.02646524e-08
2025-04-01 00:00:00,2.03753054e-08
2025-05-01 00:00:00,1.26404202e-08
