Title:,"Time Series, Area-Averaged of Bias corrected surface total PM2.5 mass concentration - all quality levels hourly 0.5 x 0.625 (hourly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-01T23:59:59Z
User Bounding Box:,"109.2548,40.2477,111.446,42.7368"
Data Bounding Box:,"109.375,40.5,111.25,42.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-01T23:59:59Z&bbox=109.2548,40.2477,111.446,42.7368&data=MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25):, -999

time, mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25
2014-01-01 00:30:00,35.4436569
2014-01-01 01:30:00,36.4603577
2014-01-01 02:30:00,40.4211502
2014-01-01 03:30:00,42.232933
2014-01-01 04:30:00,38.6082458
2014-01-01 05:30:00,35.8388138
2014-01-01 06:30:00,33.0063362
2014-01-01 07:30:00,34.9386787
2014-01-01 08:30:00,44.8726387
2014-01-01 09:30:00,45.9066772
2014-01-01 10:30:00,45.8604202
2014-01-01 11:30:00,46.3301315
2014-01-01 12:30:00,47.8483276
2014-01-01 13:30:00,48.7311325
2014-01-01 14:30:00,50.8447227
2014-01-01 15:30:00,51.7213593
2014-01-01 16:30:00,52.1978722
2014-01-01 17:30:00,50.8896141
2014-01-01 18:30:00,51.1945114
2014-01-01 19:30:00,51.0751114
2014-01-01 20:30:00,48.6766891
2014-01-01 21:30:00,44.7518463
2014-01-01 22:30:00,42.3689537
2014-01-01 23:30:00,40.2852135
2014-01-02 00:30:00,39.2523155
2014-01-02 01:30:00,39.570816
2014-01-02 02:30:00,42.6125259
2014-01-02 03:30:00,30.2785492
2014-01-02 04:30:00,27.1646862
2014-01-02 05:30:00,27.762661
2014-01-02 06:30:00,26.6806698
2014-01-02 07:30:00,27.1778011
2014-01-02 08:30:00,32.0791321
2014-01-02 09:30:00,43.0110664
2014-01-02 10:30:00,46.2086449
2014-01-02 11:30:00,45.3714142
2014-01-02 12:30:00,40.6917839
2014-01-02 13:30:00,37.2656593
2014-01-02 14:30:00,36.1250305
2014-01-02 15:30:00,34.6086426
2014-01-02 16:30:00,33.6228065
2014-01-02 17:30:00,34.1176071
2014-01-02 18:30:00,36.4977074
2014-01-02 19:30:00,38.7165413
2014-01-02 20:30:00,39.4169769
2014-01-02 21:30:00,40.3615837
2014-01-02 22:30:00,41.1028976
2014-01-02 23:30:00,39.8754997
2014-01-03 00:30:00,37.7009163
2014-01-03 01:30:00,37.5427513
2014-01-03 02:30:00,39.454937
2014-01-03 03:30:00,39.9144096
2014-01-03 04:30:00,33.6746521
2014-01-03 05:30:00,30.4868221
2014-01-03 06:30:00,26.9202919
2014-01-03 07:30:00,31.1367455
2014-01-03 08:30:00,38.4197769
2014-01-03 09:30:00,40.2014618
2014-01-03 10:30:00,41.5554008
2014-01-03 11:30:00,43.6979294
2014-01-03 12:30:00,42.4836464
2014-01-03 13:30:00,42.6227531
2014-01-03 14:30:00,45.3939285
2014-01-03 15:30:00,48.1989517
2014-01-03 16:30:00,46.352417
2014-01-03 17:30:00,46.077076
2014-01-03 18:30:00,45.945652
2014-01-03 19:30:00,44.8714333
2014-01-03 20:30:00,42.2973518
2014-01-03 21:30:00,39.3614273
2014-01-03 22:30:00,34.817543
2014-01-03 23:30:00,30.991127
2014-01-04 00:30:00,32.2353401
2014-01-04 01:30:00,35.9912758
2014-01-04 02:30:00,42.1695213
2014-01-04 03:30:00,32.1999969
2014-01-04 04:30:00,31.3644714
2014-01-04 05:30:00,28.6703739
2014-01-04 06:30:00,23.8218269
2014-01-04 07:30:00,22.7993126
2014-01-04 08:30:00,27.2408619
2014-01-04 09:30:00,35.6550064
2014-01-04 10:30:00,39.6933594
2014-01-04 11:30:00,45.9705925
2014-01-04 12:30:00,52.2083397
2014-01-04 13:30:00,59.5671501
2014-01-04 14:30:00,63.6091042
2014-01-04 15:30:00,64.1963348
2014-01-04 16:30:00,65.9779053
2014-01-04 17:30:00,69.8870468
2014-01-04 18:30:00,72.6486053
2014-01-04 19:30:00,72.0002213
2014-01-04 20:30:00,65.3229446
2014-01-04 21:30:00,57.1522255
2014-01-04 22:30:00,45.8885689
2014-01-04 23:30:00,36.6381073
2014-01-05 00:30:00,44.2186737
2014-01-05 01:30:00,43.6759109
2014-01-05 02:30:00,47.3474083
2014-01-05 03:30:00,41.6422348
2014-01-05 04:30:00,36.0984268
2014-01-05 05:30:00,34.5071602
2014-01-05 06:30:00,23.6782494
2014-01-05 07:30:00,23.3347416
2014-01-05 08:30:00,26.3220882
2014-01-05 09:30:00,25.7263012
2014-01-05 10:30:00,28.5163956
2014-01-05 11:30:00,33.9006767
2014-01-05 12:30:00,39.670681
2014-01-05 13:30:00,44.016346
2014-01-05 14:30:00,46.6904945
2014-01-05 15:30:00,47.6788635
2014-01-05 16:30:00,49.0152855
2014-01-05 17:30:00,50.1235352
2014-01-05 18:30:00,51.0559464
2014-01-05 19:30:00,51.7179222
2014-01-05 20:30:00,50.2108383
2014-01-05 21:30:00,49.4728966
2014-01-05 22:30:00,47.6550484
2014-01-05 23:30:00,45.5450706
2014-01-06 00:30:00,44.420929
2014-01-06 01:30:00,47.8726578
2014-01-06 02:30:00,50.8300896
2014-01-06 03:30:00,46.8980789
2014-01-06 04:30:00,43.7456093
2014-01-06 05:30:00,46.1224823
2014-01-06 06:30:00,45.1662598
2014-01-06 07:30:00,43.9050865
2014-01-06 08:30:00,43.7951393
2014-01-06 09:30:00,40.9824333
2014-01-06 10:30:00,38.6159248
2014-01-06 11:30:00,37.0811157
2014-01-06 12:30:00,37.6003304
2014-01-06 13:30:00,37.4222946
2014-01-06 14:30:00,36.6899796
2014-01-06 15:30:00,38.9430656
2014-01-06 16:30:00,41.5608521
2014-01-06 17:30:00,44.576622
2014-01-06 18:30:00,43.8999176
2014-01-06 19:30:00,44.3651276
2014-01-06 20:30:00,41.7369576
2014-01-06 21:30:00,31.3780956
2014-01-06 22:30:00,24.4880047
2014-01-06 23:30:00,19.4589443
2014-01-07 00:30:00,17.0396061
2014-01-07 01:30:00,15.9572763
2014-01-07 02:30:00,13.2139692
2014-01-07 03:30:00,13.1069689
2014-01-07 04:30:00,11.6832314
2014-01-07 05:30:00,10.6822805
2014-01-07 06:30:00,7.28677177
2014-01-07 07:30:00,6.02085304
2014-01-07 08:30:00,7.57451248
2014-01-07 09:30:00,13.8643255
2014-01-07 10:30:00,13.3007717
2014-01-07 11:30:00,14.3764868
2014-01-07 12:30:00,15.5040874
2014-01-07 13:30:00,14.9291525
2014-01-07 14:30:00,15.1668453
2014-01-07 15:30:00,16.2074127
2014-01-07 16:30:00,18.0874081
2014-01-07 17:30:00,19.5725365
2014-01-07 18:30:00,22.0211277
2014-01-07 19:30:00,22.7653713
2014-01-07 20:30:00,21.2139683
2014-01-07 21:30:00,16.6396599
2014-01-07 22:30:00,12.5240078
2014-01-07 23:30:00,12.317441
2014-01-08 00:30:00,13.1934862
2014-01-08 01:30:00,14.1529408
2014-01-08 02:30:00,16.0643349
2014-01-08 03:30:00,13.4244556
2014-01-08 04:30:00,10.7548695
2014-01-08 05:30:00,8.91336632
2014-01-08 06:30:00,7.88844109
2014-01-08 07:30:00,6.25069761
2014-01-08 08:30:00,3.49594045
2014-01-08 09:30:00,4.65743113
2014-01-08 10:30:00,6.58657408
2014-01-08 11:30:00,11.0256491
2014-01-08 12:30:00,15.8807964
2014-01-08 13:30:00,19.3362637
2014-01-08 14:30:00,22.3023605
2014-01-08 15:30:00,23.4774895
2014-01-08 16:30:00,23.9792576
2014-01-08 17:30:00,22.0928497
2014-01-08 18:30:00,20.7773418
2014-01-08 19:30:00,22.3875065
2014-01-08 20:30:00,21.5467262
2014-01-08 21:30:00,21.0922642
2014-01-08 22:30:00,20.3808899
2014-01-08 23:30:00,21.8663731
2014-01-09 00:30:00,22.4975071
2014-01-09 01:30:00,23.6539021
2014-01-09 02:30:00,20.5655842
2014-01-09 03:30:00,13.196908
2014-01-09 04:30:00,11.058198
2014-01-09 05:30:00,10.0919981
2014-01-09 06:30:00,10.1140699
2014-01-09 07:30:00,10.1450109
2014-01-09 08:30:00,18.8054256
2014-01-09 09:30:00,22.3914757
2014-01-09 10:30:00,22.99683
2014-01-09 11:30:00,22.8921375
2014-01-09 12:30:00,21.1137581
2014-01-09 13:30:00,20.5184574
2014-01-09 14:30:00,19.0280609
2014-01-09 15:30:00,18.7780647
2014-01-09 16:30:00,21.4150944
2014-01-09 17:30:00,24.8165398
2014-01-09 18:30:00,26.8533897
2014-01-09 19:30:00,27.4658146
2014-01-09 20:30:00,27.566782
2014-01-09 21:30:00,26.2080555
2014-01-09 22:30:00,24.0945396
2014-01-09 23:30:00,23.2076626
2014-01-10 00:30:00,22.9335308
2014-01-10 01:30:00,20.5635509
2014-01-10 02:30:00,19.5849953
2014-01-10 03:30:00,14.6734571
2014-01-10 04:30:00,11.3371801
2014-01-10 05:30:00,9.92368603
2014-01-10 06:30:00,9.66748047
2014-01-10 07:30:00,9.5423851
2014-01-10 08:30:00,20.5949917
2014-01-10 09:30:00,22.9525852
2014-01-10 10:30:00,24.7649117
2014-01-10 11:30:00,28.585825
2014-01-10 12:30:00,31.3619766
2014-01-10 13:30:00,33.0401688
2014-01-10 14:30:00,31.8470955
2014-01-10 15:30:00,33.919239
2014-01-10 16:30:00,37.927166
2014-01-10 17:30:00,42.2226982
2014-01-10 18:30:00,43.5255318
2014-01-10 19:30:00,42.1329689
2014-01-10 20:30:00,40.0819893
2014-01-10 21:30:00,36.4878235
2014-01-10 22:30:00,32.1986008
2014-01-10 23:30:00,28.0649204
2014-01-11 00:30:00,27.7328587
2014-01-11 01:30:00,31.719965
2014-01-11 02:30:00,30.2230072
2014-01-11 03:30:00,18.077282
2014-01-11 04:30:00,19.2946911
2014-01-11 05:30:00,17.9498272
2014-01-11 06:30:00,13.8509302
2014-01-11 07:30:00,13.53722
2014-01-11 08:30:00,11.5350742
2014-01-11 09:30:00,14.3508472
2014-01-11 10:30:00,13.2652445
2014-01-11 11:30:00,14.3970823
2014-01-11 12:30:00,18.27351
2014-01-11 13:30:00,21.0775852
2014-01-11 14:30:00,20.3547268
2014-01-11 15:30:00,21.7255363
2014-01-11 16:30:00,20.8858852
2014-01-11 17:30:00,19.9424229
2014-01-11 18:30:00,19.8478546
2014-01-11 19:30:00,19.8999119
2014-01-11 20:30:00,19.0868855
2014-01-11 21:30:00,18.4980679
2014-01-11 22:30:00,17.234169
2014-01-11 23:30:00,15.1472845
2014-01-12 00:30:00,14.4710999
2014-01-12 01:30:00,15.4040842
2014-01-12 02:30:00,18.2257481
2014-01-12 03:30:00,20.8447323
2014-01-12 04:30:00,17.0079041
2014-01-12 05:30:00,15.4021692
2014-01-12 06:30:00,13.267416
2014-01-12 07:30:00,12.1213884
2014-01-12 08:30:00,16.2867832
2014-01-12 09:30:00,28.1787338
2014-01-12 10:30:00,29.2738419
2014-01-12 11:30:00,34.3896675
2014-01-12 12:30:00,40.5658607
2014-01-12 13:30:00,43.7163582
2014-01-12 14:30:00,46.343235
2014-01-12 15:30:00,47.7990761
2014-01-12 16:30:00,46.6877251
2014-01-12 17:30:00,45.1123848
2014-01-12 18:30:00,45.9007721
2014-01-12 19:30:00,44.7824135
