Title:,"Time Series, Area-Averaged of Bias corrected surface total PM2.5 mass concentration - all quality levels hourly 0.5 x 0.625 (hourly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-01T23:59:59Z
User Bounding Box:,"115.4239,39.4396,117.5067,41.0608"
Data Bounding Box:,"115.625,39.5,117.5,41"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-01T23:59:59Z&bbox=115.4239,39.4396,117.5067,41.0608&data=MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25):, -999

time, mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25
2014-01-01 00:30:00,48.9574127
2014-01-01 01:30:00,59.9477882
2014-01-01 02:30:00,68.2189178
2014-01-01 03:30:00,48.0625114
2014-01-01 04:30:00,43.3305244
2014-01-01 05:30:00,38.192379
2014-01-01 06:30:00,38.8448219
2014-01-01 07:30:00,28.1221962
2014-01-01 08:30:00,27.5547237
2014-01-01 09:30:00,29.1372433
2014-01-01 10:30:00,41.9188614
2014-01-01 11:30:00,54.7125015
2014-01-01 12:30:00,67.0533295
2014-01-01 13:30:00,75.5891342
2014-01-01 14:30:00,83.0667801
2014-01-01 15:30:00,84.0191956
2014-01-01 16:30:00,80.4166489
2014-01-01 17:30:00,75.1954346
2014-01-01 18:30:00,70.3191757
2014-01-01 19:30:00,66.3304749
2014-01-01 20:30:00,62.0681038
2014-01-01 21:30:00,58.6931915
2014-01-01 22:30:00,56.8338165
2014-01-01 23:30:00,56.7776184
2014-01-02 00:30:00,57.3941345
2014-01-02 01:30:00,61.3868446
2014-01-02 02:30:00,70.5591049
2014-01-02 03:30:00,79.6699829
2014-01-02 04:30:00,79.3121338
2014-01-02 05:30:00,77.4912186
2014-01-02 06:30:00,73.4256973
2014-01-02 07:30:00,76.802269
2014-01-02 08:30:00,80.0057602
2014-01-02 09:30:00,85.7521744
2014-01-02 10:30:00,90.4752121
2014-01-02 11:30:00,91.4913177
2014-01-02 12:30:00,91.9768219
2014-01-02 13:30:00,90.0311508
2014-01-02 14:30:00,84.1669617
2014-01-02 15:30:00,78.5708771
2014-01-02 16:30:00,72.6515884
2014-01-02 17:30:00,69.8263092
2014-01-02 18:30:00,67.1392059
2014-01-02 19:30:00,65.2523041
2014-01-02 20:30:00,59.964962
2014-01-02 21:30:00,58.6044846
2014-01-02 22:30:00,55.2290382
2014-01-02 23:30:00,52.3599625
2014-01-03 00:30:00,54.2998238
2014-01-03 01:30:00,61.1746025
2014-01-03 02:30:00,70.1507721
2014-01-03 03:30:00,68.39814
2014-01-03 04:30:00,59.296978
2014-01-03 05:30:00,49.3928032
2014-01-03 06:30:00,56.0919228
2014-01-03 07:30:00,52.6841545
2014-01-03 08:30:00,61.2414818
2014-01-03 09:30:00,65.2989044
2014-01-03 10:30:00,76.351059
2014-01-03 11:30:00,87.9385223
2014-01-03 12:30:00,93.9702377
2014-01-03 13:30:00,90.1137848
2014-01-03 14:30:00,86.4281845
2014-01-03 15:30:00,85.7487411
2014-01-03 16:30:00,88.3177185
2014-01-03 17:30:00,87.9747543
2014-01-03 18:30:00,90.5999069
2014-01-03 19:30:00,91.8507538
2014-01-03 20:30:00,89.5087357
2014-01-03 21:30:00,86.2970276
2014-01-03 22:30:00,81.1415558
2014-01-03 23:30:00,75.6082764
2014-01-04 00:30:00,77.0533829
2014-01-04 01:30:00,76.1440659
2014-01-04 02:30:00,70.8711243
2014-01-04 03:30:00,60.0773811
2014-01-04 04:30:00,65.0945282
2014-01-04 05:30:00,63.4729919
2014-01-04 06:30:00,60.6284485
2014-01-04 07:30:00,60.5254822
2014-01-04 08:30:00,54.59729
2014-01-04 09:30:00,54.6531868
2014-01-04 10:30:00,56.6450996
2014-01-04 11:30:00,60.3628616
2014-01-04 12:30:00,64.5293655
2014-01-04 13:30:00,65.340332
2014-01-04 14:30:00,64.2176743
2014-01-04 15:30:00,61.3130379
2014-01-04 16:30:00,57.8976135
2014-01-04 17:30:00,55.7191467
2014-01-04 18:30:00,51.6968079
2014-01-04 19:30:00,45.8111115
2014-01-04 20:30:00,40.2693291
2014-01-04 21:30:00,34.7097664
2014-01-04 22:30:00,36.5102806
2014-01-04 23:30:00,35.9725075
2014-01-05 00:30:00,42.369873
2014-01-05 01:30:00,52.7574501
2014-01-05 02:30:00,80.2007446
2014-01-05 03:30:00,93.4530945
2014-01-05 04:30:00,99.2898102
2014-01-05 05:30:00,94.812973
2014-01-05 06:30:00,88.5386734
2014-01-05 07:30:00,74.7102509
2014-01-05 08:30:00,93.4224014
2014-01-05 09:30:00,103.72197
2014-01-05 10:30:00,117.093964
2014-01-05 11:30:00,136.007889
2014-01-05 12:30:00,145.819473
2014-01-05 13:30:00,148.292175
2014-01-05 14:30:00,140.493362
2014-01-05 15:30:00,132.760498
2014-01-05 16:30:00,129.003586
2014-01-05 17:30:00,124.801132
2014-01-05 18:30:00,120.348183
2014-01-05 19:30:00,116.273026
2014-01-05 20:30:00,111.915489
2014-01-05 21:30:00,115.435425
2014-01-05 22:30:00,117.170532
2014-01-05 23:30:00,118.233276
2014-01-06 00:30:00,128.600739
2014-01-06 01:30:00,144.904907
2014-01-06 02:30:00,140.748505
2014-01-06 03:30:00,128.707932
2014-01-06 04:30:00,129.212738
2014-01-06 05:30:00,124.952614
2014-01-06 06:30:00,118.128387
2014-01-06 07:30:00,108.960083
2014-01-06 08:30:00,117.463806
2014-01-06 09:30:00,125.396912
2014-01-06 10:30:00,131.480301
2014-01-06 11:30:00,137.874832
2014-01-06 12:30:00,140.654007
2014-01-06 13:30:00,132.222153
2014-01-06 14:30:00,123.898117
2014-01-06 15:30:00,118.407654
2014-01-06 16:30:00,112.27182
2014-01-06 17:30:00,111.323135
2014-01-06 18:30:00,109.750702
2014-01-06 19:30:00,109.729576
2014-01-06 20:30:00,116.531891
2014-01-06 21:30:00,115.279648
2014-01-06 22:30:00,104.356209
2014-01-06 23:30:00,95.8978882
2014-01-07 00:30:00,89.6120529
2014-01-07 01:30:00,85.4273758
2014-01-07 02:30:00,78.7767258
2014-01-07 03:30:00,63.9136086
2014-01-07 04:30:00,52.3836098
2014-01-07 05:30:00,45.5795174
2014-01-07 06:30:00,40.74049
2014-01-07 07:30:00,38.0383453
2014-01-07 08:30:00,36.7500496
2014-01-07 09:30:00,44.4028931
2014-01-07 10:30:00,54.3840065
2014-01-07 11:30:00,57.430603
2014-01-07 12:30:00,57.0439339
2014-01-07 13:30:00,58.0551414
2014-01-07 14:30:00,55.951828
2014-01-07 15:30:00,53.5773048
2014-01-07 16:30:00,53.0259361
2014-01-07 17:30:00,53.8938828
2014-01-07 18:30:00,55.0182686
2014-01-07 19:30:00,55.8267403
2014-01-07 20:30:00,55.3807411
2014-01-07 21:30:00,51.1831779
2014-01-07 22:30:00,44.9846954
2014-01-07 23:30:00,42.3696747
2014-01-08 00:30:00,46.5870705
2014-01-08 01:30:00,45.9084549
2014-01-08 02:30:00,36.6377487
2014-01-08 03:30:00,34.1549034
2014-01-08 04:30:00,34.1687355
2014-01-08 05:30:00,31.8323708
2014-01-08 06:30:00,27.586092
2014-01-08 07:30:00,21.676506
2014-01-08 08:30:00,24.4145279
2014-01-08 09:30:00,27.1700764
2014-01-08 10:30:00,34.7291565
2014-01-08 11:30:00,43.1639633
2014-01-08 12:30:00,47.3540802
2014-01-08 13:30:00,50.0791893
2014-01-08 14:30:00,51.0861282
2014-01-08 15:30:00,50.9292564
2014-01-08 16:30:00,51.4542618
2014-01-08 17:30:00,50.7503929
2014-01-08 18:30:00,50.0166969
2014-01-08 19:30:00,49.486599
2014-01-08 20:30:00,47.3037682
2014-01-08 21:30:00,42.9961281
2014-01-08 22:30:00,39.0094566
2014-01-08 23:30:00,39.1865997
2014-01-09 00:30:00,52.8465462
2014-01-09 01:30:00,60.9644508
2014-01-09 02:30:00,44.7036514
2014-01-09 03:30:00,29.3786278
2014-01-09 04:30:00,27.9517212
2014-01-09 05:30:00,25.4157963
2014-01-09 06:30:00,17.7679939
2014-01-09 07:30:00,14.3610001
2014-01-09 08:30:00,21.9301338
2014-01-09 09:30:00,22.1676273
2014-01-09 10:30:00,26.9326229
2014-01-09 11:30:00,33.8770981
2014-01-09 12:30:00,39.8287926
2014-01-09 13:30:00,49.2083626
2014-01-09 14:30:00,59.2526398
2014-01-09 15:30:00,68.541832
2014-01-09 16:30:00,75.5646057
2014-01-09 17:30:00,82.0569611
2014-01-09 18:30:00,82.315918
2014-01-09 19:30:00,78.3651657
2014-01-09 20:30:00,71.7368622
2014-01-09 21:30:00,65.0305252
2014-01-09 22:30:00,59.1920547
2014-01-09 23:30:00,52.6866798
2014-01-10 00:30:00,53.7075691
2014-01-10 01:30:00,58.8248177
2014-01-10 02:30:00,60.8882942
2014-01-10 03:30:00,38.1281242
2014-01-10 04:30:00,33.7753143
2014-01-10 05:30:00,33.1810608
2014-01-10 06:30:00,27.0117073
2014-01-10 07:30:00,32.4213333
2014-01-10 08:30:00,34.4729919
2014-01-10 09:30:00,36.0584259
2014-01-10 10:30:00,48.0536003
2014-01-10 11:30:00,61.5945549
2014-01-10 12:30:00,70.1480179
2014-01-10 13:30:00,73.4329834
2014-01-10 14:30:00,74.4409637
2014-01-10 15:30:00,73.9367981
2014-01-10 16:30:00,68.9429092
2014-01-10 17:30:00,65.4503784
2014-01-10 18:30:00,60.1229668
2014-01-10 19:30:00,53.1076469
2014-01-10 20:30:00,45.5531006
2014-01-10 21:30:00,41.3692703
2014-01-10 22:30:00,35.971199
2014-01-10 23:30:00,34.5176888
2014-01-11 00:30:00,39.1942444
2014-01-11 01:30:00,44.5867348
2014-01-11 02:30:00,52.7856979
2014-01-11 03:30:00,48.8127251
2014-01-11 04:30:00,38.5264587
2014-01-11 05:30:00,35.9329987
2014-01-11 06:30:00,32.7569847
2014-01-11 07:30:00,37.5714798
2014-01-11 08:30:00,38.1591759
2014-01-11 09:30:00,39.4375381
2014-01-11 10:30:00,47.0281334
2014-01-11 11:30:00,52.0047798
2014-01-11 12:30:00,47.1845131
2014-01-11 13:30:00,42.3741493
2014-01-11 14:30:00,39.078495
2014-01-11 15:30:00,38.0910378
2014-01-11 16:30:00,38.1655655
2014-01-11 17:30:00,37.3665276
2014-01-11 18:30:00,34.5238533
2014-01-11 19:30:00,34.6872025
2014-01-11 20:30:00,34.792366
2014-01-11 21:30:00,27.9480858
2014-01-11 22:30:00,23.1851826
2014-01-11 23:30:00,23.5391026
2014-01-12 00:30:00,30.5945244
2014-01-12 01:30:00,42.3755798
2014-01-12 02:30:00,44.6293488
2014-01-12 03:30:00,44.0928612
2014-01-12 04:30:00,43.0092163
2014-01-12 05:30:00,39.127079
2014-01-12 06:30:00,28.0691185
2014-01-12 07:30:00,23.4556103
2014-01-12 08:30:00,27.5728855
2014-01-12 09:30:00,25.9948521
2014-01-12 10:30:00,33.4719276
2014-01-12 11:30:00,44.2639542
2014-01-12 12:30:00,53.8078995
2014-01-12 13:30:00,59.2725639
2014-01-12 14:30:00,63.3667336
2014-01-12 15:30:00,67.17939
2014-01-12 16:30:00,72.3014679
2014-01-12 17:30:00,80.9470291
2014-01-12 18:30:00,82.1085281
2014-01-12 19:30:00,76.5372925
2014-01-12 20:30:00,67.1524887
2014-01-12 21:30:00,66.2484207
