Title:,"Time Series, Area-Averaged of Bias corrected surface total PM2.5 mass concentration - all quality levels hourly 0.5 x 0.625 (hourly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-01T23:59:59Z
User Bounding Box:,"102.9941,30.0883,104.8978,31.4347"
Data Bounding Box:,"103.125,30.5,104.375,31"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-01T23:59:59Z&bbox=102.9941,30.0883,104.8978,31.4347&data=MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25):, -999

time, mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25
2014-01-01 00:30:00,80.6323318
2014-01-01 01:30:00,80.8583908
2014-01-01 02:30:00,64.159111
2014-01-01 03:30:00,60.935627
2014-01-01 04:30:00,61.1255684
2014-01-01 05:30:00,61.4145203
2014-01-01 06:30:00,64.4302673
2014-01-01 07:30:00,67.0395432
2014-01-01 08:30:00,66.0903397
2014-01-01 09:30:00,68.648735
2014-01-01 10:30:00,68.2782059
2014-01-01 11:30:00,71.4871826
2014-01-01 12:30:00,72.7856064
2014-01-01 13:30:00,72.9575043
2014-01-01 14:30:00,74.4564896
2014-01-01 15:30:00,76.289978
2014-01-01 16:30:00,76.8500214
2014-01-01 17:30:00,77.2029495
2014-01-01 18:30:00,77.3267365
2014-01-01 19:30:00,78.0489426
2014-01-01 20:30:00,79.0014038
2014-01-01 21:30:00,79.2087479
2014-01-01 22:30:00,83.3702698
2014-01-01 23:30:00,94.2040405
2014-01-02 00:30:00,106.011047
2014-01-02 01:30:00,119.084312
2014-01-02 02:30:00,125.174088
2014-01-02 03:30:00,93.2630463
2014-01-02 04:30:00,90.2746964
2014-01-02 05:30:00,84.6167908
2014-01-02 06:30:00,83.1462173
2014-01-02 07:30:00,82.6182709
2014-01-02 08:30:00,79.2710876
2014-01-02 09:30:00,77.3559189
2014-01-02 10:30:00,82.7450027
2014-01-02 11:30:00,86.0037994
2014-01-02 12:30:00,91.9377518
2014-01-02 13:30:00,99.0170288
2014-01-02 14:30:00,105.167496
2014-01-02 15:30:00,109.732765
2014-01-02 16:30:00,112.285088
2014-01-02 17:30:00,114.871826
2014-01-02 18:30:00,118.669693
2014-01-02 19:30:00,121.66021
2014-01-02 20:30:00,119.806374
2014-01-02 21:30:00,120.262917
2014-01-02 22:30:00,119.817764
2014-01-02 23:30:00,112.310982
2014-01-03 00:30:00,107.623924
2014-01-03 01:30:00,109.916733
2014-01-03 02:30:00,117.379898
2014-01-03 03:30:00,117.688248
2014-01-03 04:30:00,95.5415955
2014-01-03 05:30:00,88.0107269
2014-01-03 06:30:00,98.5033646
2014-01-03 07:30:00,93.2354813
2014-01-03 08:30:00,81.7154541
2014-01-03 09:30:00,71.3863678
2014-01-03 10:30:00,76.9853287
2014-01-03 11:30:00,91.8888092
2014-01-03 12:30:00,109.515869
2014-01-03 13:30:00,122.95359
2014-01-03 14:30:00,124.957329
2014-01-03 15:30:00,118.04232
2014-01-03 16:30:00,117.797729
2014-01-03 17:30:00,118.511772
2014-01-03 18:30:00,117.813019
2014-01-03 19:30:00,112.060425
2014-01-03 20:30:00,104.957733
2014-01-03 21:30:00,101.961586
2014-01-03 22:30:00,99.1565247
2014-01-03 23:30:00,94.284935
2014-01-04 00:30:00,92.2076492
2014-01-04 01:30:00,94.6851578
2014-01-04 02:30:00,100.791161
2014-01-04 03:30:00,104.473259
2014-01-04 04:30:00,103.357765
2014-01-04 05:30:00,98.1697845
2014-01-04 06:30:00,105.602806
2014-01-04 07:30:00,107.411629
2014-01-04 08:30:00,104.656204
2014-01-04 09:30:00,100.526848
2014-01-04 10:30:00,103.006142
2014-01-04 11:30:00,101.652718
2014-01-04 12:30:00,97.4545135
2014-01-04 13:30:00,94.0540009
2014-01-04 14:30:00,88.3986664
2014-01-04 15:30:00,84.9132233
2014-01-04 16:30:00,85.0712738
2014-01-04 17:30:00,90.9417191
2014-01-04 18:30:00,95.6872635
2014-01-04 19:30:00,94.8217926
2014-01-04 20:30:00,92.1655121
2014-01-04 21:30:00,89.8455963
2014-01-04 22:30:00,88.0237579
2014-01-04 23:30:00,87.1540146
2014-01-05 00:30:00,84.7687302
2014-01-05 01:30:00,87.071373
2014-01-05 02:30:00,112.298615
2014-01-05 03:30:00,100.455757
2014-01-05 04:30:00,99.9527817
2014-01-05 05:30:00,96.995842
2014-01-05 06:30:00,96.3943481
2014-01-05 07:30:00,94.4690933
2014-01-05 08:30:00,92.073967
2014-01-05 09:30:00,83.8153534
2014-01-05 10:30:00,91.9247055
2014-01-05 11:30:00,96.0840607
2014-01-05 12:30:00,95.5274963
2014-01-05 13:30:00,92.9190521
2014-01-05 14:30:00,92.7015228
2014-01-05 15:30:00,94.3516769
2014-01-05 16:30:00,95.6786499
2014-01-05 17:30:00,99.0250702
2014-01-05 18:30:00,99.8320541
2014-01-05 19:30:00,99.3578339
2014-01-05 20:30:00,98.2102966
2014-01-05 21:30:00,98.1292953
2014-01-05 22:30:00,98.1048126
2014-01-05 23:30:00,96.1228867
2014-01-06 00:30:00,91.3295059
2014-01-06 01:30:00,95.4684067
2014-01-06 02:30:00,103.440964
2014-01-06 03:30:00,104.069504
2014-01-06 04:30:00,107.493805
2014-01-06 05:30:00,102.8769
2014-01-06 06:30:00,110.868179
2014-01-06 07:30:00,100.673645
2014-01-06 08:30:00,92.0759506
2014-01-06 09:30:00,92.2457886
2014-01-06 10:30:00,90.5010147
2014-01-06 11:30:00,89.9118729
2014-01-06 12:30:00,88.9956436
2014-01-06 13:30:00,88.1792679
2014-01-06 14:30:00,90.5848465
2014-01-06 15:30:00,98.9325409
2014-01-06 16:30:00,103.568733
2014-01-06 17:30:00,104.976219
2014-01-06 18:30:00,104.373703
2014-01-06 19:30:00,103.505501
2014-01-06 20:30:00,105.389046
2014-01-06 21:30:00,97.8301849
2014-01-06 22:30:00,89.3615799
2014-01-06 23:30:00,91.4457321
2014-01-07 00:30:00,94.6944046
2014-01-07 01:30:00,108.218933
2014-01-07 02:30:00,109.435783
2014-01-07 03:30:00,83.3323135
2014-01-07 04:30:00,81.1529465
2014-01-07 05:30:00,79.4479065
2014-01-07 06:30:00,74.3339462
2014-01-07 07:30:00,73.5280838
2014-01-07 08:30:00,67.1618881
2014-01-07 09:30:00,68.8324203
2014-01-07 10:30:00,74.0702515
2014-01-07 11:30:00,79.7228928
2014-01-07 12:30:00,89.1556549
2014-01-07 13:30:00,104.222321
2014-01-07 14:30:00,112.526321
2014-01-07 15:30:00,109.267601
2014-01-07 16:30:00,105.238968
2014-01-07 17:30:00,102.774864
2014-01-07 18:30:00,108.596367
2014-01-07 19:30:00,106.476677
2014-01-07 20:30:00,90.40905
2014-01-07 21:30:00,75.5491486
2014-01-07 22:30:00,59.507225
2014-01-07 23:30:00,44.8109741
2014-01-08 00:30:00,38.1101685
2014-01-08 01:30:00,52.1515427
2014-01-08 02:30:00,66.7708054
2014-01-08 03:30:00,68.6343536
2014-01-08 04:30:00,59.129425
2014-01-08 05:30:00,59.7165222
2014-01-08 06:30:00,67.3541336
2014-01-08 07:30:00,62.1883507
2014-01-08 08:30:00,54.5115395
2014-01-08 09:30:00,46.1681786
2014-01-08 10:30:00,58.4625702
2014-01-08 11:30:00,72.4256516
2014-01-08 12:30:00,87.2914734
2014-01-08 13:30:00,95.1628647
2014-01-08 14:30:00,106.41993
2014-01-08 15:30:00,121.107094
2014-01-08 16:30:00,121.381371
2014-01-08 17:30:00,119.869644
2014-01-08 18:30:00,120.157158
2014-01-08 19:30:00,114.213608
2014-01-08 20:30:00,93.8154678
2014-01-08 21:30:00,87.5637589
2014-01-08 22:30:00,81.9794235
2014-01-08 23:30:00,70.6496048
2014-01-09 00:30:00,65.6564789
2014-01-09 01:30:00,73.749176
2014-01-09 02:30:00,98.120697
2014-01-09 03:30:00,78.6126938
2014-01-09 04:30:00,69.6494293
2014-01-09 05:30:00,66.9668198
2014-01-09 06:30:00,65.1934814
2014-01-09 07:30:00,62.8980141
2014-01-09 08:30:00,59.6323166
2014-01-09 09:30:00,56.2526855
2014-01-09 10:30:00,59.7045479
2014-01-09 11:30:00,62.636364
2014-01-09 12:30:00,62.413456
2014-01-09 13:30:00,64.2626801
2014-01-09 14:30:00,64.0479889
2014-01-09 15:30:00,63.5017357
2014-01-09 16:30:00,63.5063782
2014-01-09 17:30:00,62.0423355
2014-01-09 18:30:00,64.9085693
2014-01-09 19:30:00,68.4843521
2014-01-09 20:30:00,71.1598053
2014-01-09 21:30:00,74.323082
2014-01-09 22:30:00,72.4285965
2014-01-09 23:30:00,68.1575165
2014-01-10 00:30:00,70.0308685
2014-01-10 01:30:00,71.425827
2014-01-10 02:30:00,71.3259583
2014-01-10 03:30:00,64.1138
2014-01-10 04:30:00,59.1840973
2014-01-10 05:30:00,56.6005821
2014-01-10 06:30:00,54.7056503
2014-01-10 07:30:00,53.0365944
2014-01-10 08:30:00,50.1347008
2014-01-10 09:30:00,49.6562119
2014-01-10 10:30:00,58.5832787
2014-01-10 11:30:00,62.731617
2014-01-10 12:30:00,65.2579651
2014-01-10 13:30:00,66.2814484
2014-01-10 14:30:00,65.097023
2014-01-10 15:30:00,58.9023552
2014-01-10 16:30:00,60.1313133
2014-01-10 17:30:00,64.2818756
2014-01-10 18:30:00,62.9183388
2014-01-10 19:30:00,61.4089584
2014-01-10 20:30:00,61.4302597
2014-01-10 21:30:00,61.9742432
2014-01-10 22:30:00,61.8276024
2014-01-10 23:30:00,62.5367775
2014-01-11 00:30:00,63.585598
2014-01-11 01:30:00,68.2081146
2014-01-11 02:30:00,65.8012772
2014-01-11 03:30:00,62.3910027
2014-01-11 04:30:00,62.1854057
2014-01-11 05:30:00,62.115406
2014-01-11 06:30:00,60.3863983
2014-01-11 07:30:00,56.474865
2014-01-11 08:30:00,55.9830132
2014-01-11 09:30:00,53.2810898
2014-01-11 10:30:00,60.2994385
2014-01-11 11:30:00,69.5746231
2014-01-11 12:30:00,77.1825409
2014-01-11 13:30:00,84.7190475
2014-01-11 14:30:00,89.6020355
2014-01-11 15:30:00,87.5202179
2014-01-11 16:30:00,86.2878647
2014-01-11 17:30:00,80.4741287
2014-01-11 18:30:00,77.3601913
2014-01-11 19:30:00,74.3368149
2014-01-11 20:30:00,81.4395447
2014-01-11 21:30:00,81.9681396
2014-01-11 22:30:00,82.6631546
2014-01-11 23:30:00,84.4395523
2014-01-12 00:30:00,79.0957413
2014-01-12 01:30:00,68.676384
2014-01-12 02:30:00,69.3454437
2014-01-12 03:30:00,63.6359787
2014-01-12 04:30:00,56.1687012
2014-01-12 05:30:00,54.4028206
2014-01-12 06:30:00,55.4305458
2014-01-12 07:30:00,53.6908112
2014-01-12 08:30:00,48.7053757
2014-01-12 09:30:00,51.0871429
2014-01-12 10:30:00,64.0999908
2014-01-12 11:30:00,75.0979385
2014-01-12 12:30:00,82.0664597
2014-01-12 13:30:00,85.2735291
2014-01-12 14:30:00,93.4464264
2014-01-12 15:30:00,101.369453
2014-01-12 16:30:00,107.266159
2014-01-12 17:30:00,113.573158
2014-01-12 18:30:00,115.897079
2014-01-12 19:30:00,111.161942
2014-01-12 20:30:00,112.297295
2014-01-12 21:30:00,115.646347
2014-01-12 22:30:00,113.904236
