Title:,"Time Series, Area-Averaged of Bias corrected surface total PM2.5 mass concentration - all quality levels hourly 0.5 x 0.625 (hourly)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-01T23:59:59Z
User Bounding Box:,"102.1687,24.3852,103.6736,26.5427"
Data Bounding Box:,"102.5,24.5,103.125,26.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-01T23:59:59Z&bbox=102.1687,24.3852,103.6736,26.5427&data=MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25&variableFacets=dataFieldMeasurement%3AParticulate%20Matter%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25):, -999

time, mean_MERRA2_CNN_HAQAST_PM25_1_MERRA2_CNN_Surface_PM25
2014-01-01 00:30:00,22.2857552
2014-01-01 01:30:00,24.0032291
2014-01-01 02:30:00,26.8292122
2014-01-01 03:30:00,23.4371986
2014-01-01 04:30:00,17.6285095
2014-01-01 05:30:00,13.9351101
2014-01-01 06:30:00,12.021759
2014-01-01 07:30:00,10.7884922
2014-01-01 08:30:00,10.0525913
2014-01-01 09:30:00,10.6435671
2014-01-01 10:30:00,15.8265734
2014-01-01 11:30:00,20.7960262
2014-01-01 12:30:00,25.0176296
2014-01-01 13:30:00,27.5746479
2014-01-01 14:30:00,28.6360168
2014-01-01 15:30:00,27.8820076
2014-01-01 16:30:00,28.5095139
2014-01-01 17:30:00,28.958931
2014-01-01 18:30:00,27.0138264
2014-01-01 19:30:00,24.8894997
2014-01-01 20:30:00,25.6297874
2014-01-01 21:30:00,22.2392788
2014-01-01 22:30:00,21.6877995
2014-01-01 23:30:00,22.8435078
2014-01-02 00:30:00,20.5580578
2014-01-02 01:30:00,23.7226486
2014-01-02 02:30:00,20.1259785
2014-01-02 03:30:00,11.7360926
2014-01-02 04:30:00,9.40948105
2014-01-02 05:30:00,8.97021675
2014-01-02 06:30:00,8.34337997
2014-01-02 07:30:00,8.17115498
2014-01-02 08:30:00,8.23659039
2014-01-02 09:30:00,7.6805377
2014-01-02 10:30:00,12.5487185
2014-01-02 11:30:00,17.7291012
2014-01-02 12:30:00,22.1666031
2014-01-02 13:30:00,24.6909523
2014-01-02 14:30:00,26.2845173
2014-01-02 15:30:00,27.3655243
2014-01-02 16:30:00,28.1870365
2014-01-02 17:30:00,28.4444962
2014-01-02 18:30:00,31.1442089
2014-01-02 19:30:00,33.9337311
2014-01-02 20:30:00,31.9875927
2014-01-02 21:30:00,30.727354
2014-01-02 22:30:00,28.8078327
2014-01-02 23:30:00,25.3335972
2014-01-03 00:30:00,23.1729145
2014-01-03 01:30:00,22.6481876
2014-01-03 02:30:00,23.0070095
2014-01-03 03:30:00,30.4982395
2014-01-03 04:30:00,34.892334
2014-01-03 05:30:00,33.1874924
2014-01-03 06:30:00,31.925478
2014-01-03 07:30:00,27.0700226
2014-01-03 08:30:00,21.2669334
2014-01-03 09:30:00,19.2692223
2014-01-03 10:30:00,21.6566792
2014-01-03 11:30:00,25.7303543
2014-01-03 12:30:00,30.5230846
2014-01-03 13:30:00,35.0260506
2014-01-03 14:30:00,37.123764
2014-01-03 15:30:00,36.6098862
2014-01-03 16:30:00,35.6822128
2014-01-03 17:30:00,36.6317596
2014-01-03 18:30:00,38.9992638
2014-01-03 19:30:00,36.4445038
2014-01-03 20:30:00,34.7170944
2014-01-03 21:30:00,32.86092
2014-01-03 22:30:00,27.3302269
2014-01-03 23:30:00,25.2617207
2014-01-04 00:30:00,24.1369591
2014-01-04 01:30:00,24.0676422
2014-01-04 02:30:00,26.311224
2014-01-04 03:30:00,31.2771206
2014-01-04 04:30:00,31.5637398
2014-01-04 05:30:00,32.1572151
2014-01-04 06:30:00,32.0727081
2014-01-04 07:30:00,31.4927044
2014-01-04 08:30:00,30.0158787
2014-01-04 09:30:00,29.0595856
2014-01-04 10:30:00,29.5677128
2014-01-04 11:30:00,31.1716633
2014-01-04 12:30:00,30.5365524
2014-01-04 13:30:00,27.6966324
2014-01-04 14:30:00,23.5822029
2014-01-04 15:30:00,20.2516594
2014-01-04 16:30:00,19.6198483
2014-01-04 17:30:00,21.3923531
2014-01-04 18:30:00,18.6464653
2014-01-04 19:30:00,17.956892
2014-01-04 20:30:00,19.144743
2014-01-04 21:30:00,16.9327755
2014-01-04 22:30:00,17.3712025
2014-01-04 23:30:00,17.1724892
2014-01-05 00:30:00,16.1658421
2014-01-05 01:30:00,18.1068954
2014-01-05 02:30:00,18.118597
2014-01-05 03:30:00,10.2795553
2014-01-05 04:30:00,10.2235031
2014-01-05 05:30:00,9.72517872
2014-01-05 06:30:00,7.99197197
2014-01-05 07:30:00,8.13869286
2014-01-05 08:30:00,9.01469135
2014-01-05 09:30:00,9.21759415
2014-01-05 10:30:00,14.0727806
2014-01-05 11:30:00,17.768671
2014-01-05 12:30:00,19.7318192
2014-01-05 13:30:00,21.4432259
2014-01-05 14:30:00,22.4330311
2014-01-05 15:30:00,23.0430908
2014-01-05 16:30:00,23.7263508
2014-01-05 17:30:00,24.3153801
2014-01-05 18:30:00,24.3099995
2014-01-05 19:30:00,24.7453613
2014-01-05 20:30:00,25.2671585
2014-01-05 21:30:00,24.2202473
2014-01-05 22:30:00,23.5591354
2014-01-05 23:30:00,23.1191673
2014-01-06 00:30:00,21.6620293
2014-01-06 01:30:00,25.1948013
2014-01-06 02:30:00,22.6947575
2014-01-06 03:30:00,9.12933159
2014-01-06 04:30:00,8.14333534
2014-01-06 05:30:00,6.72979307
2014-01-06 06:30:00,6.56809616
2014-01-06 07:30:00,6.2222333
2014-01-06 08:30:00,6.36022568
2014-01-06 09:30:00,5.74382639
2014-01-06 10:30:00,10.1372261
2014-01-06 11:30:00,15.2030487
2014-01-06 12:30:00,19.2956715
2014-01-06 13:30:00,22.9839382
2014-01-06 14:30:00,25.0268135
2014-01-06 15:30:00,25.2818222
2014-01-06 16:30:00,25.012125
2014-01-06 17:30:00,24.6790218
2014-01-06 18:30:00,23.4456997
2014-01-06 19:30:00,23.6702118
2014-01-06 20:30:00,23.4742374
2014-01-06 21:30:00,22.4587421
2014-01-06 22:30:00,22.4205017
2014-01-06 23:30:00,22.9994736
2014-01-07 00:30:00,24.9065933
2014-01-07 01:30:00,29.6529446
2014-01-07 02:30:00,19.9676266
2014-01-07 03:30:00,11.3615894
2014-01-07 04:30:00,9.53782463
2014-01-07 05:30:00,8.21985912
2014-01-07 06:30:00,6.38253641
2014-01-07 07:30:00,6.41157579
2014-01-07 08:30:00,6.05040646
2014-01-07 09:30:00,6.05096531
2014-01-07 10:30:00,8.85799408
2014-01-07 11:30:00,13.8530827
2014-01-07 12:30:00,19.3620415
2014-01-07 13:30:00,24.6850624
2014-01-07 14:30:00,29.0010967
2014-01-07 15:30:00,33.0841866
2014-01-07 16:30:00,34.7168503
2014-01-07 17:30:00,35.7943153
2014-01-07 18:30:00,39.6761131
2014-01-07 19:30:00,41.4910583
2014-01-07 20:30:00,40.4344254
2014-01-07 21:30:00,39.1133118
2014-01-07 22:30:00,37.2359314
2014-01-07 23:30:00,35.3771095
2014-01-08 00:30:00,35.6354218
2014-01-08 01:30:00,38.263237
2014-01-08 02:30:00,38.1341286
2014-01-08 03:30:00,43.6654892
2014-01-08 04:30:00,36.6154213
2014-01-08 05:30:00,32.2531395
2014-01-08 06:30:00,23.2163601
2014-01-08 07:30:00,16.9034901
2014-01-08 08:30:00,11.5155334
2014-01-08 09:30:00,12.0785065
2014-01-08 10:30:00,15.1917915
2014-01-08 11:30:00,17.763382
2014-01-08 12:30:00,22.0977287
2014-01-08 13:30:00,25.8457642
2014-01-08 14:30:00,28.2922173
2014-01-08 15:30:00,28.5127583
2014-01-08 16:30:00,29.4456902
2014-01-08 17:30:00,32.1026268
2014-01-08 18:30:00,34.0405693
2014-01-08 19:30:00,35.4034042
2014-01-08 20:30:00,35.6674156
2014-01-08 21:30:00,30.8831425
2014-01-08 22:30:00,30.2954082
2014-01-08 23:30:00,31.18433
2014-01-09 00:30:00,28.938261
2014-01-09 01:30:00,28.7756023
2014-01-09 02:30:00,25.7254944
2014-01-09 03:30:00,21.0593987
2014-01-09 04:30:00,19.2781811
2014-01-09 05:30:00,16.6035099
2014-01-09 06:30:00,12.3735275
2014-01-09 07:30:00,11.5990429
2014-01-09 08:30:00,10.3103333
2014-01-09 09:30:00,12.0424967
2014-01-09 10:30:00,18.4767056
2014-01-09 11:30:00,23.1489468
2014-01-09 12:30:00,28.0780373
2014-01-09 13:30:00,31.900507
2014-01-09 14:30:00,33.2454529
2014-01-09 15:30:00,32.217411
2014-01-09 16:30:00,30.4704304
2014-01-09 17:30:00,29.5777779
2014-01-09 18:30:00,26.7270203
2014-01-09 19:30:00,24.7478619
2014-01-09 20:30:00,24.3963795
2014-01-09 21:30:00,21.1218166
2014-01-09 22:30:00,20.0101471
2014-01-09 23:30:00,20.4190636
2014-01-10 00:30:00,20.6979561
2014-01-10 01:30:00,19.8745823
2014-01-10 02:30:00,17.8735695
2014-01-10 03:30:00,15.7406559
2014-01-10 04:30:00,12.1149149
2014-01-10 05:30:00,9.40983963
2014-01-10 06:30:00,7.58176184
2014-01-10 07:30:00,7.07622051
2014-01-10 08:30:00,6.81456947
2014-01-10 09:30:00,7.64037704
2014-01-10 10:30:00,13.7679739
2014-01-10 11:30:00,19.0203743
2014-01-10 12:30:00,24.1269245
2014-01-10 13:30:00,29.2917137
2014-01-10 14:30:00,32.5940895
2014-01-10 15:30:00,34.7431602
2014-01-10 16:30:00,35.8649216
2014-01-10 17:30:00,36.7941628
2014-01-10 18:30:00,37.3042793
2014-01-10 19:30:00,37.9145432
2014-01-10 20:30:00,37.2217026
2014-01-10 21:30:00,35.8224907
2014-01-10 22:30:00,33.0903893
2014-01-10 23:30:00,30.7561054
2014-01-11 00:30:00,30.1340389
2014-01-11 01:30:00,32.4904709
2014-01-11 02:30:00,24.5092621
2014-01-11 03:30:00,17.9873581
2014-01-11 04:30:00,15.6564655
2014-01-11 05:30:00,13.4740705
2014-01-11 06:30:00,11.5982113
2014-01-11 07:30:00,10.3662224
2014-01-11 08:30:00,9.25448513
2014-01-11 09:30:00,9.9136591
2014-01-11 10:30:00,15.2002687
2014-01-11 11:30:00,18.0271378
2014-01-11 12:30:00,22.154295
2014-01-11 13:30:00,25.9249496
2014-01-11 14:30:00,28.4301491
2014-01-11 15:30:00,28.7598248
2014-01-11 16:30:00,28.6779385
2014-01-11 17:30:00,26.8100929
2014-01-11 18:30:00,25.8721848
2014-01-11 19:30:00,29.9705372
2014-01-11 20:30:00,31.6028576
2014-01-11 21:30:00,33.8391113
2014-01-11 22:30:00,33.4226723
2014-01-11 23:30:00,36.7788811
2014-01-12 00:30:00,36.0599022
2014-01-12 01:30:00,34.681324
2014-01-12 02:30:00,35.7864685
2014-01-12 03:30:00,39.4981995
2014-01-12 04:30:00,34.4967995
2014-01-12 05:30:00,31.9386902
2014-01-12 06:30:00,31.1411896
2014-01-12 07:30:00,30.6237202
2014-01-12 08:30:00,29.1917248
2014-01-12 09:30:00,31.1667271
2014-01-12 10:30:00,32.3961105
2014-01-12 11:30:00,37.3647728
2014-01-12 12:30:00,43.6822662
2014-01-12 13:30:00,46.6747284
2014-01-12 14:30:00,53.4256668
2014-01-12 15:30:00,57.8824615
2014-01-12 16:30:00,61.810791
2014-01-12 17:30:00,67.4653473
2014-01-12 18:30:00,64.9556656
