date,NO2_reading
2014-01-01,4154365370000000.0
2014-01-02,5950620280000000.0
2014-01-03,2647649770000000.0
2014-01-04,6302218110000000.0
2014-01-06,2289249510000000.0
2014-01-07,5713485470000000.0
2014-01-08,4307980510000000.0
2014-01-09,5883839980000000.0
2014-01-10,3813885060000000.0
2014-01-11,6640408670000000.0
2014-01-13,7059866450000000.0
2014-01-15,1.63749816e+16
2014-01-16,6589548740000000.0
2014-01-17,3595836010000000.0
2014-01-18,7803308650000000.0
2014-01-20,3644162710000000.0
2014-01-22,7323554360000000.0
2014-01-23,1.04023625e+16
2014-01-24,2303528400000000.0
2014-01-25,6084377370000000.0
2014-01-26,7654026320000000.0
2014-01-27,2672858540000000.0
2014-01-29,3174161220000000.0
2014-01-31,6314349790000000.0
2014-02-01,6626623970000000.0
2014-02-02,3382889650000000.0
2014-02-03,3812556300000000.0
2014-02-04,2892661550000000.0
2014-02-05,6477515590000000.0
2014-02-08,2945395160000000.0
2014-02-09,5028278200000000.0
2014-02-10,7384975610000000.0
2014-02-11,3136010640000000.0
2014-02-12,8032043040000000.0
2014-02-14,6148479220000000.0
2014-02-16,2952034640000000.0
2014-02-17,6193441090000000.0
2014-02-18,1.51083592e+16
2014-02-19,7367057540000000.0
2014-02-21,8294076310000000.0
2014-02-23,6979260650000000.0
2014-02-24,2384041320000000.0
2014-02-25,4417331990000000.0
2014-02-26,2413600090000000.0
2014-02-27,3402649190000000.0
2014-02-28,7961000520000000.0
2014-03-02,4858920660000000.0
2014-03-04,4566584790000000.0
2014-03-05,5393565170000000.0
2014-03-06,5689667190000000.0
2014-03-07,3593548130000000.0
2014-03-08,3310875670000000.0
2014-03-09,6463739490000000.0
2014-03-11,5671738390000000.0
2014-03-12,5293983130000000.0
2014-03-13,4102812610000000.0
2014-03-14,5517949030000000.0
2014-03-15,4306193800000000.0
2014-03-16,7422719780000000.0
2014-03-18,6328463590000000.0
2014-03-20,4344162390000000.0
2014-03-21,5679890770000000.0
2014-03-22,4789400170000000.0
2014-03-23,8784324270000000.0
2014-03-24,2917165950000000.0
