date,NO2_reading
2014-01-01,1.15963988e+16
2014-01-03,8523611170000000.0
2014-01-04,5.15744397e+16
2014-01-05,1.11985367e+16
2014-01-06,3.17022037e+16
2014-01-08,7297252520000000.0
2014-01-10,2.0635748e+16
2014-01-11,3.92024171e+16
2014-01-12,8615096120000000.0
2014-01-13,2.53534862e+16
2014-01-14,1.11196725e+16
2014-01-15,2.6163852e+16
2014-01-17,1.91599887e+16
2014-01-19,2.87540566e+16
2014-01-20,5227891640000000.0
2014-01-21,1.03544865e+16
2014-01-22,2.78169269e+16
2014-01-26,2.65216722e+16
2014-01-27,2.77642599e+16
2014-01-28,1.54578085e+16
2014-01-29,5.10694074e+16
2014-01-31,2.49758189e+16
2014-02-02,7406526150000000.0
2014-02-04,5845606720000000.0
2014-02-05,2.47314783e+16
2014-02-06,4.88512329e+16
2014-02-09,7466705080000000.0
2014-02-11,2.25621397e+16
2014-02-12,2.60518564e+16
2014-02-14,2.10305801e+16
2014-02-16,1.5913352e+16
2014-02-18,2.07104633e+16
2014-02-20,1.36186348e+16
2014-02-21,1.58947699e+16
2014-02-25,9278937540000000.0
2014-02-27,7553185860000000.0
2014-02-28,2.70465e+16
2014-03-01,9084547320000000.0
2014-03-02,2.81237315e+16
2014-03-04,7067027770000000.0
2014-03-06,8675654620000000.0
2014-03-08,2.67526362e+16
2014-03-09,2.36988736e+16
2014-03-10,1.82939622e+16
2014-03-11,3.05799911e+16
2014-03-13,1.45773509e+16
2014-03-15,1.91219911e+16
2014-03-16,4.05957861e+16
2014-03-17,7514597720000000.0
2014-03-18,1.1039072e+16
2014-03-20,6327876250000000.0
2014-03-22,9681458650000000.0
2014-03-24,1.54879398e+16
2014-03-25,1.91801364e+16
2014-03-26,1.99551095e+16
2014-03-29,1.03715257e+16
2014-04-01,1.71069879e+16
2014-04-02,1.32839591e+16
2014-04-03,5250198620000000.0
2014-04-05,7093051520000000.0
2014-04-07,1.59566324e+16
2014-04-09,9613263160000000.0
2014-04-10,2.08133686e+16
2014-04-11,1.33988849e+16
2014-04-12,3.59965139e+16
2014-04-13,1.97123451e+16
2014-04-14,1.45157332e+16
2014-04-16,2.64365867e+16
2014-04-17,1.1598163e+16
2014-04-18,8897668460000000.0
2014-04-19,2844190960000000.0
2014-04-20,1.22931284e+16
2014-04-21,1.65805119e+16
2014-04-23,1.44881853e+16
2014-04-25,2.92236125e+16
2014-04-26,9278335170000000.0
2014-04-27,1.52743468e+16
2014-04-28,1.69513458e+16
2014-04-29,1.97735677e+16
2014-04-30,1.4964146e+16
2014-05-02,8693222650000000.0
2014-05-03,6582152270000000.0
2014-05-04,1.043982e+16
2014-05-05,1.05770216e+16
2014-05-07,8200727340000000.0
2014-05-09,1.32170757e+16
2014-05-12,8436159730000000.0
2014-05-13,1.53343829e+16
2014-05-14,6478024010000000.0
2014-05-15,1.93726647e+16
2014-05-16,8701107140000000.0
2014-05-18,1.68793793e+16
2014-05-19,1.91498418e+16
2014-05-20,9405756110000000.0
2014-05-21,1.70693199e+16
2014-05-22,1.42774581e+16
2014-05-23,1.5132876e+16
2014-05-25,1.29903487e+16
2014-05-27,1.13220782e+16
