date,NO2_reading
2014-01-01,4849514150000000.0
2014-01-02,1.25067762e+16
2014-01-03,1.47005156e+16
2014-01-04,1.08220023e+16
2014-01-05,6268064530000000.0
2014-01-07,2423416510000000.0
2014-01-09,3199801640000000.0
2014-01-10,3208991260000000.0
2014-01-11,7744418200000000.0
2014-01-12,1.12669737e+16
2014-01-14,2555320590000000.0
2014-01-16,2597555420000000.0
2014-01-17,6373063060000000.0
2014-01-18,3124041640000000.0
2014-01-19,7785658480000000.0
2014-01-20,1.62285726e+16
2014-01-21,1.20400969e+16
2014-01-23,6076248070000000.0
2014-01-25,7576721740000000.0
2014-01-26,1.07937349e+16
2014-01-27,2370003220000000.0
2014-01-28,2296506670000000.0
2014-02-01,4422012160000000.0
2014-02-02,4363392300000000.0
2014-02-03,4899414690000000.0
2014-02-04,2407156030000000.0
2014-02-06,2732188420000000.0
2014-02-08,2842864090000000.0
2014-02-10,2812112390000000.0
2014-02-11,2448120350000000.0
2014-02-12,2635273550000000.0
2014-02-13,3016618060000000.0
2014-02-15,2745468190000000.0
2014-02-17,1952398990000000.0
2014-02-18,4173598500000000.0
2014-02-19,3014051010000000.0
2014-02-20,2126637760000000.0
2014-02-22,2127389640000000.0
2014-02-24,2591472400000000.0
2014-02-26,2729448760000000.0
2014-02-27,2842185750000000.0
2014-03-01,2819106740000000.0
2014-03-05,2616010090000000.0
2014-03-06,2356261200000000.0
2014-03-08,5362697780000000.0
2014-03-10,3330031760000000.0
2014-03-12,6606538560000000.0
2014-03-14,5109915330000000.0
2014-03-15,9727568350000000.0
2014-03-16,6845352160000000.0
2014-03-17,4876502110000000.0
2014-03-18,9650149420000000.0
2014-03-19,5113070520000000.0
2014-03-21,2676996740000000.0
2014-03-22,2722827270000000.0
2014-03-24,2123285000000000.0
2014-03-25,2836887910000000.0
2014-03-26,4468119170000000.0
2014-03-27,1.03367332e+16
2014-03-28,9175397690000000.0
2014-03-30,2755273060000000.0
2014-03-31,2907888010000000.0
2014-04-01,4480705040000000.0
2014-04-02,6030800340000000.0
2014-04-03,3536647600000000.0
2014-04-06,4515808610000000.0
2014-04-07,3071067780000000.0
2014-04-08,3484753120000000.0
2014-04-09,7256199070000000.0
2014-04-10,3046542440000000.0
2014-04-11,4766521420000000.0
2014-04-12,4837043170000000.0
2014-04-13,5010155050000000.0
2014-04-15,3038136650000000.0
2014-04-16,6335151390000000.0
2014-04-17,6177092830000000.0
2014-04-18,5789600880000000.0
2014-04-19,7134935500000000.0
2014-04-20,3378398190000000.0
2014-04-22,6293025810000000.0
2014-04-23,2961664220000000.0
2014-04-24,3075758960000000.0
2014-04-25,3461990060000000.0
2014-04-26,1.03817896e+16
2014-04-28,6787859730000000.0
2014-04-29,6250252230000000.0
2014-05-01,4231794500000000.0
2014-05-02,2986966410000000.0
2014-05-04,7700023810000000.0
2014-05-05,7614442830000000.0
2014-05-09,2558068290000000.0
2014-05-10,6046929550000000.0
2014-05-11,7051277050000000.0
2014-05-12,6297170450000000.0
2014-05-13,7031055810000000.0
2014-05-14,3045266570000000.0
2014-05-15,3458572340000000.0
2014-05-17,6014733940000000.0
2014-05-18,5938998100000000.0
2014-05-19,7622507700000000.0
2014-05-20,5372042550000000.0
2014-05-21,5685455980000000.0
2014-05-24,4514392340000000.0
2014-05-26,9201505720000000.0
2014-05-28,9496254300000000.0
2014-05-29,9498122610000000.0
2014-05-30,6845931980000000.0
2014-05-31,6642308660000000.0
2014-06-02,6192079050000000.0
2014-06-03,5356639190000000.0
2014-06-05,8563962390000000.0
2014-06-06,7512557620000000.0
2014-06-15,3105265920000000.0
2014-06-16,5873252890000000.0
2014-06-18,7191128170000000.0
2014-06-19,7088993310000000.0
2014-06-21,8341091170000000.0
2014-06-22,4667045680000000.0
2014-06-25,8501596240000000.0
2014-06-26,5926965210000000.0
2014-07-01,6462992160000000.0
2014-07-02,3421764740000000.0
2014-07-04,6155696380000000.0
2014-07-05,4880611320000000.0
2014-07-08,4674963990000000.0
2014-07-11,5711696620000000.0
2014-07-12,4456150440000000.0
2014-07-13,5281710800000000.0
2014-07-14,4602496080000000.0
2014-07-15,6056751610000000.0
2014-07-16,6314151140000000.0
2014-07-17,5648275520000000.0
2014-07-18,6755977650000000.0
2014-07-21,6096141830000000.0
2014-07-22,6149817640000000.0
2014-07-23,6419527090000000.0
2014-07-24,5796164670000000.0
2014-07-25,6370636940000000.0
2014-07-27,5645347430000000.0
2014-07-28,4002269840000000.0
2014-07-29,5272509910000000.0
2014-07-30,5479714700000000.0
2014-08-01,4945099720000000.0
2014-08-02,6067643640000000.0
2014-08-03,6228364540000000.0
2014-08-05,6344060220000000.0
2014-08-06,5383553060000000.0
2014-08-07,4710976220000000.0
2014-08-13,8028976430000000.0
2014-08-14,5509978650000000.0
2014-08-15,5347527420000000.0
2014-08-18,5717349870000000.0
2014-08-19,6377265150000000.0
2014-08-23,5562078210000000.0
2014-08-24,6254335670000000.0
2014-08-28,3285076600000000.0
2014-08-29,4062848470000000.0
2014-08-31,5730256250000000.0
2014-09-04,6317223120000000.0
2014-09-07,2293847010000000.0
2014-09-09,4478003770000000.0
2014-09-10,5682628820000000.0
2014-09-16,2034627480000000.0
2014-09-18,5453698470000000.0
2014-09-20,3211917740000000.0
2014-09-24,7402969910000000.0
2014-09-25,4425470680000000.0
2014-09-29,5573413700000000.0
2014-10-01,4658709150000000.0
2014-10-02,5819835840000000.0
2014-10-04,8078414720000000.0
2014-10-06,6120614010000000.0
2014-10-09,3288684380000000.0
2014-10-15,4521560110000000.0
2014-10-18,3162850420000000.0
2014-10-20,6375448380000000.0
2014-10-25,4439257800000000.0
2014-10-31,2778798210000000.0
2014-11-02,8935431420000000.0
2014-11-03,1.24118273e+16
2014-11-05,1.06025477e+16
2014-11-09,2164623250000000.0
2014-11-10,2922383530000000.0
2014-11-11,1.03239331e+16
2014-11-12,8988774920000000.0
2014-11-16,2351462920000000.0
2014-11-19,1871473750000000.0
2014-11-21,2330316110000000.0
2014-11-23,2246276220000000.0
2014-11-25,3341835400000000.0
2014-11-26,2804748670000000.0
2014-11-28,2632774690000000.0
2014-11-30,7162545700000000.0
2014-12-02,2834954900000000.0
2014-12-03,962520223000000.0
2014-12-04,5724247590000000.0
2014-12-05,1.9360933e+16
2014-12-07,1.07485175e+16
2014-12-09,1867650690000000.0
2014-12-11,5410439020000000.0
2014-12-12,1.54975498e+16
2014-12-13,9126109720000000.0
2014-12-14,1868646850000000.0
2014-12-18,1.0134582e+16
2014-12-19,7427715900000000.0
2014-12-21,1.15862724e+16
2014-12-23,1.2531411e+16
2014-12-25,2538995420000000.0
2014-12-27,9763593460000000.0
2014-12-28,1.51152913e+16
2014-12-30,8662027230000000.0
2015-01-01,1828592120000000.0
2015-01-03,4133161110000000.0
2015-01-04,465767494000000.0
2015-01-06,7017724770000000.0
2015-01-08,2849703020000000.0
2015-01-10,2434756290000000.0
2015-01-12,2503783930000000.0
2015-01-13,2478563350000000.0
2015-01-15,1938480880000000.0
2015-01-19,2283917580000000.0
2015-01-21,9736151840000000.0
2015-01-22,4469575970000000.0
2015-01-24,2501918040000000.0
2015-01-26,2987827820000000.0
2015-01-28,1595782620000000.0
2015-01-29,7512355210000000.0
2015-01-31,2280720780000000.0
2015-02-02,2132789220000000.0
2015-02-04,6173113540000000.0
2015-02-05,979221338000000.0
2015-02-06,3663198810000000.0
2015-02-07,7279679120000000.0
2015-02-09,2449763980000000.0
2015-02-11,6006786100000000.0
2015-02-13,4091211900000000.0
2015-02-14,8796263750000000.0
2015-02-15,4014330370000000.0
2015-02-16,5920436320000000.0
2015-02-20,3378922980000000.0
2015-02-21,-145040559000000.0
2015-02-23,3594569800000000.0
2015-02-25,4214568190000000.0
2015-02-27,2524628480000000.0
2015-03-01,5209130680000000.0
2015-03-02,2109051210000000.0
2015-03-03,7707074000000000.0
2015-03-04,2857560930000000.0
2015-03-06,2287808280000000.0
2015-03-08,6474271820000000.0
2015-03-09,2801580860000000.0
2015-03-11,5468785080000000.0
2015-03-13,6144361960000000.0
2015-03-15,3290944870000000.0
2015-03-17,6228900880000000.0
2015-03-18,6123726250000000.0
2015-03-20,5003586430000000.0
2015-03-24,2290282180000000.0
2015-03-25,3261665810000000.0
2015-03-26,7327442910000000.0
2015-03-27,2084009670000000.0
2015-03-29,6213436850000000.0
2015-03-31,2400093760000000.0
2015-04-02,6312133580000000.0
2015-04-03,5384693910000000.0
2015-04-04,3796757530000000.0
2015-04-05,6213929160000000.0
2015-04-10,2657070510000000.0
2015-04-12,7824037230000000.0
2015-04-13,5876950850000000.0
2015-04-14,6199150710000000.0
2015-04-15,5010632330000000.0
2015-04-16,6574096520000000.0
2015-04-18,2039030220000000.0
2015-04-19,6752104660000000.0
2015-04-21,2626264050000000.0
2015-04-25,2831724010000000.0
2015-04-26,3671315230000000.0
2015-04-27,6633604910000000.0
2015-04-28,8248774070000000.0
2015-04-29,7118771390000000.0
2015-04-30,6254923550000000.0
2015-05-01,5233002650000000.0
2015-05-02,7589128830000000.0
2015-05-04,5399663490000000.0
2015-05-05,4064225010000000.0
2015-05-06,3593697920000000.0
2015-05-07,5477855510000000.0
2015-05-08,5300281700000000.0
2015-05-09,8719043990000000.0
2015-05-11,6889931780000000.0
2015-05-12,7051289940000000.0
2015-05-13,7457993280000000.0
2015-05-14,8285054190000000.0
2015-05-15,7471740390000000.0
2015-05-16,3701940760000000.0
2015-05-17,8507684890000000.0
2015-05-18,7229178890000000.0
2015-05-20,5904078940000000.0
2015-05-22,3791109650000000.0
2015-05-23,7483495180000000.0
2015-05-27,4759697250000000.0
2015-05-29,6576926910000000.0
2015-05-30,7339824230000000.0
2015-05-31,6197155160000000.0
2015-06-01,6900259020000000.0
2015-06-03,6959444210000000.0
2015-06-05,6273857370000000.0
2015-06-06,4623916160000000.0
2015-06-07,5947028610000000.0
2015-06-08,7836531830000000.0
2015-06-09,6333477420000000.0
2015-06-10,6863212780000000.0
2015-06-13,5362116880000000.0
2015-06-14,5831579360000000.0
2015-06-15,4841636100000000.0
2015-06-16,3524374730000000.0
2015-06-17,7519718400000000.0
2015-06-18,4938163340000000.0
2015-06-21,6026160700000000.0
2015-06-25,7511013040000000.0
2015-06-28,3735850060000000.0
