date,NO2_reading
2014-01-02,7628775670000000.0
2014-01-03,1.54206495e+16
2014-01-04,6466219290000000.0
2014-01-05,3919810220000000.0
2014-01-12,7266280970000000.0
2014-01-13,6782471690000000.0
2014-01-14,7081492690000000.0
2014-01-15,2104425390000000.0
2014-01-16,6500860350000000.0
2014-01-18,5594821430000000.0
2014-01-19,7617128260000000.0
2014-01-20,8037787020000000.0
2014-01-21,7537772830000000.0
2014-01-22,5814400560000000.0
2014-01-23,7646247600000000.0
2014-01-24,6067705920000000.0
2014-01-25,6588434730000000.0
2014-01-26,9853768450000000.0
2014-01-27,6383071950000000.0
2014-01-29,5864938900000000.0
2014-01-31,3230203030000000.0
2014-02-01,4155832900000000.0
2014-02-03,4626541460000000.0
2014-02-04,5336699800000000.0
2014-02-13,6805937250000000.0
2014-02-14,6034679770000000.0
2014-02-19,5136295020000000.0
2014-02-20,1.18022523e+16
2014-03-04,6855019060000000.0
2014-03-08,4390831500000000.0
2014-03-09,5663171540000000.0
2014-03-10,7053099190000000.0
2014-03-11,4970281110000000.0
2014-03-12,5708827580000000.0
2014-03-14,5093059730000000.0
2014-03-15,6142546260000000.0
2014-03-16,6741578770000000.0
2014-03-17,8347767690000000.0
2014-03-18,1.08710819e+16
2014-03-19,6508574110000000.0
2014-03-21,5347931680000000.0
2014-03-22,3884406000000000.0
2014-03-25,5860748630000000.0
2014-03-26,6478185610000000.0
2014-03-27,6179463650000000.0
2014-03-28,5934247330000000.0
2014-03-29,4861909420000000.0
2014-03-31,2587765850000000.0
2014-04-01,4628651900000000.0
2014-04-02,5575232090000000.0
2014-04-03,5155045770000000.0
2014-04-06,6077710510000000.0
2014-04-07,4339706360000000.0
2014-04-08,5905399110000000.0
2014-04-09,1.14613586e+16
2014-04-11,5518768300000000.0
2014-04-12,5905072150000000.0
2014-04-13,6008859500000000.0
2014-04-14,5838321920000000.0
2014-04-15,9459302540000000.0
2014-04-16,5600426360000000.0
2014-04-17,7001202030000000.0
2014-04-18,5863109250000000.0
2014-04-19,6142106030000000.0
2014-04-22,5490320580000000.0
2014-04-23,4677328370000000.0
2014-04-24,5547777580000000.0
2014-04-25,3361667410000000.0
2014-04-26,7146795520000000.0
2014-04-27,4057813430000000.0
2014-04-28,4785369880000000.0
2014-04-29,4681097740000000.0
2014-04-30,5173314410000000.0
2014-05-01,5393283310000000.0
2014-05-04,4429070670000000.0
2014-05-05,7986097090000000.0
2014-05-07,6190145770000000.0
2014-05-08,5193656990000000.0
2014-05-10,4936674060000000.0
2014-05-11,6431062840000000.0
2014-05-12,6199914140000000.0
2014-05-13,4836173980000000.0
2014-05-14,5435863080000000.0
2014-05-15,5439257720000000.0
2014-05-17,5656637290000000.0
2014-05-18,6084999610000000.0
2014-05-19,7792358630000000.0
2014-05-20,6046621930000000.0
2014-05-21,8413486060000000.0
2014-05-22,4371740910000000.0
2014-05-24,5084351680000000.0
2014-05-26,7105198760000000.0
2014-05-27,9085712330000000.0
2014-05-28,7837411220000000.0
2014-05-29,6429888700000000.0
2014-05-30,9008355670000000.0
2014-05-31,6676690940000000.0
2014-06-01,6399865270000000.0
2014-06-02,6270472400000000.0
2014-06-03,6761760290000000.0
2014-06-05,-63940725800000.0
2014-06-06,6777988820000000.0
2014-06-08,5300105070000000.0
2014-06-10,4457765620000000.0
2014-06-11,5512206660000000.0
2014-06-14,4402048880000000.0
2014-06-15,3105265920000000.0
2014-06-16,5486925410000000.0
2014-06-17,5843198320000000.0
2014-06-18,6495412720000000.0
2014-06-19,6199621010000000.0
2014-06-21,5046072250000000.0
2014-06-22,4240332630000000.0
2014-06-24,3599402170000000.0
2014-06-25,4650758090000000.0
2014-06-27,5050918580000000.0
2014-06-29,5107478470000000.0
2014-06-30,3793132310000000.0
2014-07-01,5234090350000000.0
2014-07-02,4513179020000000.0
2014-07-03,4796177090000000.0
2014-07-04,5918238370000000.0
2014-07-05,4521927860000000.0
2014-07-06,5227054120000000.0
2014-07-07,4363181850000000.0
2014-07-08,4751471850000000.0
2014-07-10,4427132030000000.0
2014-07-11,4645456490000000.0
2014-07-13,5389066190000000.0
2014-07-14,5051947230000000.0
2014-07-15,5783346870000000.0
2014-07-16,4285018000000000.0
2014-07-17,6440337280000000.0
2014-07-18,5357972240000000.0
2014-07-19,4134213650000000.0
2014-07-20,4736817960000000.0
2014-07-21,5011218050000000.0
2014-07-22,5944350160000000.0
2014-07-23,5485643360000000.0
2014-07-24,6348114670000000.0
2014-07-25,4695140670000000.0
2014-07-26,5365116920000000.0
2014-07-27,5023650910000000.0
2014-07-28,4074830090000000.0
2014-07-29,5152719510000000.0
2014-07-30,5752339890000000.0
2014-07-31,4913967110000000.0
2014-08-01,4464136930000000.0
2014-08-02,6374545900000000.0
2014-08-03,6193776630000000.0
2014-08-04,5153657420000000.0
2014-08-05,5771310760000000.0
2014-08-06,6373260090000000.0
2014-08-07,5600536420000000.0
2014-08-08,4704641140000000.0
2014-08-09,3504996650000000.0
2014-08-11,2270098790000000.0
2014-08-13,4351010180000000.0
2014-08-14,5173015380000000.0
2014-08-15,4640139860000000.0
2014-08-17,4535747460000000.0
2014-08-18,5924339380000000.0
2014-08-19,5429925290000000.0
2014-08-20,5251391550000000.0
2014-08-21,5816563610000000.0
2014-08-23,5301861180000000.0
2014-08-24,3941952660000000.0
2014-08-25,5570985970000000.0
2014-08-27,4680308000000000.0
2014-08-28,3733957860000000.0
2014-08-29,2661296490000000.0
2014-08-30,4339891040000000.0
2014-08-31,4191550390000000.0
2014-09-01,4504441440000000.0
2014-09-02,3869875590000000.0
2014-09-03,4436340170000000.0
2014-09-04,5112406950000000.0
2014-09-05,5219179830000000.0
2014-09-06,5129375830000000.0
2014-09-07,6272053490000000.0
2014-09-08,5362949570000000.0
2014-09-09,5656473540000000.0
2014-09-10,6011661970000000.0
2014-09-12,5568482010000000.0
2014-09-18,2994595620000000.0
2014-09-19,5166545010000000.0
2014-09-20,5867605540000000.0
2014-09-22,5367394320000000.0
2014-09-24,6308446350000000.0
2014-09-25,4324068650000000.0
2014-09-26,3608173030000000.0
2014-09-27,3401676910000000.0
2014-09-29,5119752410000000.0
2014-10-01,4727617610000000.0
2014-10-02,6540655370000000.0
2014-10-03,5144114540000000.0
2014-10-04,7173416800000000.0
2014-10-05,4945967300000000.0
2014-10-06,6170209610000000.0
2014-10-08,6631568550000000.0
2014-10-10,6467376790000000.0
2014-10-11,7629155240000000.0
2014-10-12,5812769010000000.0
2014-10-15,2313483870000000.0
2014-10-20,3983944550000000.0
2014-10-21,5158100570000000.0
2014-10-22,5643061430000000.0
2014-10-24,6191403130000000.0
2014-10-25,4328242820000000.0
2014-10-26,6416620470000000.0
2014-11-02,5486433100000000.0
2014-11-03,1.1122767e+16
2014-11-04,5048809220000000.0
2014-11-05,6619730010000000.0
2014-11-06,3564458050000000.0
2014-11-11,5445534810000000.0
2014-11-12,6069043800000000.0
2014-11-13,4151741950000000.0
2014-11-18,4509218520000000.0
2014-11-19,1.12404158e+16
2014-11-20,4009148500000000.0
2014-11-25,5149607810000000.0
2014-11-27,7026622870000000.0
2014-11-30,1978422860000000.0
2014-12-02,8154635900000000.0
2014-12-04,3034204610000000.0
2014-12-05,1.25754312e+16
