date,NO2_reading
2014-01-01,5755517630000000.0
2014-01-02,7235877430000000.0
2014-01-03,9107269850000000.0
2014-01-04,1.27138881e+16
2014-01-06,5862485400000000.0
2014-01-11,8048201780000000.0
2014-01-15,5179812160000000.0
2014-01-16,5604237610000000.0
2014-01-17,6456215780000000.0
2014-01-18,7195829010000000.0
2014-01-19,5207951720000000.0
2014-01-20,1.11177129e+16
2014-01-22,5884771990000000.0
2014-01-23,3703269250000000.0
2014-01-24,4891471140000000.0
2014-01-25,5542187680000000.0
2014-01-27,8530685520000000.0
2014-01-29,6299642740000000.0
2014-01-31,6351993560000000.0
2014-02-01,6018273530000000.0
2014-02-02,6408188920000000.0
2014-02-03,5209742180000000.0
2014-02-05,6341745240000000.0
2014-02-17,6770686840000000.0
2014-02-20,5116689570000000.0
2014-02-21,5602633980000000.0
2014-02-23,8132240870000000.0
2014-02-24,3023138360000000.0
2014-02-27,4828429080000000.0
2014-03-10,5244368210000000.0
2014-03-13,7289353530000000.0
2014-03-14,7392092370000000.0
2014-03-17,6010371330000000.0
2014-03-18,5207651070000000.0
2014-03-21,6248509010000000.0
2014-03-22,6359340640000000.0
2014-03-23,7141081060000000.0
2014-03-24,6886273540000000.0
2014-03-25,7183649020000000.0
2014-03-26,7375171810000000.0
2014-03-27,8505476210000000.0
2014-03-29,6086866310000000.0
2014-03-31,1.14543417e+16
2014-04-02,5278075650000000.0
2014-04-03,5866060430000000.0
2014-04-05,7583438530000000.0
2014-04-09,6862076770000000.0
2014-04-10,7592900350000000.0
2014-04-11,5067569640000000.0
2014-04-12,6195114510000000.0
2014-04-13,6855693910000000.0
2014-04-14,6974167360000000.0
2014-04-15,5542779310000000.0
2014-04-16,6643190200000000.0
2014-04-17,6015747550000000.0
2014-04-18,6315615190000000.0
2014-04-19,6309120130000000.0
2014-04-28,6629215450000000.0
2014-04-30,5741851580000000.0
2014-05-01,3658525620000000.0
2014-05-02,5078266250000000.0
2014-05-03,5389317980000000.0
2014-05-08,4254349250000000.0
2014-05-12,4707858610000000.0
2014-05-14,5110392610000000.0
2014-05-16,4606196200000000.0
2014-05-18,6847062630000000.0
2014-05-19,4904017820000000.0
2014-05-20,5011048940000000.0
2014-05-24,3849239080000000.0
2014-05-27,5013817580000000.0
2014-05-28,5709172790000000.0
2014-05-30,5496847860000000.0
2014-05-31,3797750210000000.0
2014-06-01,5450038620000000.0
2014-06-02,5673740920000000.0
2014-06-03,6419104580000000.0
2014-06-04,4025395280000000.0
2014-06-05,5069648940000000.0
2014-06-08,4355245550000000.0
2014-06-09,4865345930000000.0
2014-06-10,4479090660000000.0
2014-06-11,5144063000000000.0
2014-06-12,6003651320000000.0
2014-06-13,6717597290000000.0
2014-06-14,4451722860000000.0
2014-06-15,5067664660000000.0
2014-06-16,4671682640000000.0
2014-06-17,5219879380000000.0
2014-06-18,5250622750000000.0
2014-06-25,4158556990000000.0
2014-06-26,5775769480000000.0
2014-06-27,5236534720000000.0
2014-06-28,5991598030000000.0
2014-06-29,4818728890000000.0
2014-06-30,4226659060000000.0
2014-07-01,4206347890000000.0
2014-07-02,3804915820000000.0
2014-07-03,4645665870000000.0
2014-07-04,4493984000000000.0
2014-07-05,4692337130000000.0
2014-07-06,4770661770000000.0
2014-07-07,5250075680000000.0
2014-07-08,4669746140000000.0
2014-07-10,5283326240000000.0
2014-07-11,3217675680000000.0
2014-07-12,5056651290000000.0
2014-07-13,4558358310000000.0
2014-07-14,5047015530000000.0
2014-07-15,4749276590000000.0
2014-07-16,4077018380000000.0
2014-07-17,4144313530000000.0
2014-07-18,5223844170000000.0
2014-07-19,4715677600000000.0
2014-07-20,4548603370000000.0
2014-07-21,5234974580000000.0
2014-07-22,5101164870000000.0
2014-07-23,3769451470000000.0
2014-07-24,4748691400000000.0
2014-07-26,4641138440000000.0
2014-07-27,4243818260000000.0
2014-07-28,4732962160000000.0
2014-07-29,4497719010000000.0
2014-07-30,5318070380000000.0
2014-07-31,4441319650000000.0
2014-08-01,4610553440000000.0
2014-08-02,5953530120000000.0
2014-08-03,4196394040000000.0
2014-08-04,4590113690000000.0
2014-08-05,4622068250000000.0
2014-08-06,4562315050000000.0
2014-08-07,5001699870000000.0
2014-08-08,4694544750000000.0
2014-08-09,4533157590000000.0
2014-08-11,4409113030000000.0
2014-08-12,5006643910000000.0
2014-08-15,5083513630000000.0
2014-08-16,4562166880000000.0
2014-08-17,3219320650000000.0
2014-08-18,4515898800000000.0
2014-08-21,3982839410000000.0
2014-08-22,4736160300000000.0
