date,NO2_reading
2014-01-01,2.16377768e+16
2014-01-02,2.58005364e+16
2014-01-04,1.80690799e+16
2014-01-06,1.18115874e+16
2014-01-11,2.82734218e+16
2014-01-14,1.71292906e+16
2014-01-15,1.58429361e+16
2014-01-16,2.35761557e+16
2014-01-17,1.66027952e+16
2014-01-18,1.57528298e+16
2014-01-20,1.80741093e+16
2014-01-22,1.21067322e+16
2014-01-23,2.54956668e+16
2014-01-24,1.10520622e+16
2014-01-25,3.29221978e+16
2014-01-27,2.45953364e+16
2014-01-29,1.12557725e+16
2014-01-31,1.39335922e+16
2014-02-01,1.13250342e+16
2014-02-02,9677400980000000.0
2014-02-03,1.44236051e+16
2014-02-05,9829501880000000.0
2014-02-14,1.20807412e+16
2014-02-17,4.56442581e+16
2014-02-23,1.7089109e+16
2014-02-24,1.76393523e+16
2014-02-26,1.1331671e+16
2014-02-27,2.0901555e+16
2014-03-19,3.36630947e+16
2014-03-20,2.13334182e+16
2014-03-22,1.68876675e+16
2014-03-23,2.773913e+16
2014-03-24,9557322290000000.0
2014-03-25,1.82588766e+16
2014-03-27,1.52456736e+16
2014-03-28,3.14980382e+16
2014-03-31,8714529450000000.0
2014-04-03,9296615630000000.0
2014-04-05,1.35273592e+16
2014-04-09,7787665840000000.0
2014-04-12,8911451550000000.0
2014-04-13,1.9277164e+16
2014-04-15,1.65398353e+16
2014-04-17,1.4932418e+16
2014-04-19,9129947270000000.0
2014-04-20,5799297850000000.0
2014-04-28,9831508710000000.0
2014-04-29,8404787140000000.0
2014-05-02,5463771240000000.0
2014-05-03,6525162890000000.0
2014-05-15,7229039840000000.0
2014-05-16,4998584940000000.0
2014-05-17,6247573780000000.0
2014-05-19,6376128060000000.0
2014-05-24,7844443700000000.0
2014-05-25,7348674550000000.0
2014-05-26,7198298620000000.0
2014-05-27,7086058240000000.0
2014-05-28,7761873490000000.0
2014-05-30,6536040430000000.0
2014-05-31,8717101590000000.0
2014-06-01,8275635330000000.0
2014-06-02,7995570170000000.0
2014-06-03,1.26886477e+16
2014-06-04,8477938490000000.0
2014-06-08,9683937920000000.0
2014-06-09,9402765740000000.0
2014-06-10,1.07809993e+16
2014-06-12,4932688340000000.0
2014-06-13,9431189840000000.0
2014-06-15,3832609230000000.0
2014-06-16,1.00220324e+16
2014-06-18,9405261120000000.0
2014-06-19,1.07412161e+16
2014-06-23,6462221750000000.0
2014-06-26,7661553250000000.0
2014-06-27,8368194560000000.0
2014-06-28,6472637050000000.0
2014-06-29,9822855420000000.0
2014-07-02,8035447870000000.0
2014-07-03,9188467280000000.0
2014-07-04,8966484580000000.0
2014-07-05,9113189380000000.0
2014-07-06,7565525840000000.0
2014-07-08,7902380120000000.0
2014-07-10,7601881120000000.0
2014-07-11,1.56075106e+16
2014-07-12,8068629720000000.0
2014-07-13,8927157170000000.0
2014-07-14,6035321870000000.0
2014-07-15,7818033410000000.0
2014-07-17,6219770310000000.0
2014-07-18,6803229270000000.0
2014-07-19,8009215820000000.0
2014-07-20,8469629340000000.0
