date,NO2_reading
2014-01-01,3724646370000000.0
2014-01-02,2927957320000000.0
2014-01-03,5317436340000000.0
2014-01-05,3515515830000000.0
2014-01-07,3566605540000000.0
2014-01-08,6075044410000000.0
2014-01-09,5555762460000000.0
2014-01-10,3990118570000000.0
2014-01-11,6579548450000000.0
2014-01-14,5062225090000000.0
2014-01-15,2803737200000000.0
2014-01-16,4191869290000000.0
2014-01-17,5091227930000000.0
2014-01-18,4519539860000000.0
2014-01-19,6676301180000000.0
2014-01-21,4911069620000000.0
2014-01-23,4354715660000000.0
2014-01-24,3358292910000000.0
2014-01-25,5430750460000000.0
2014-01-26,4916235930000000.0
2014-01-27,3486885040000000.0
2014-01-28,3297654950000000.0
2014-01-31,2450540030000000.0
2014-02-01,3336648690000000.0
2014-02-02,3353185120000000.0
2014-02-03,4053452960000000.0
2014-02-04,3465216390000000.0
2014-02-06,3796387630000000.0
2014-02-08,3344915160000000.0
2014-02-09,3063084240000000.0
2014-02-10,2980539530000000.0
2014-02-11,3858430850000000.0
2014-02-13,3005128490000000.0
2014-02-15,3840409160000000.0
2014-02-16,2590813660000000.0
2014-02-17,2032942240000000.0
2014-02-18,1396012280000000.0
2014-02-19,4400032670000000.0
2014-02-20,3127208910000000.0
2014-02-22,4060092980000000.0
2014-02-24,4073671790000000.0
2014-02-25,3261191750000000.0
2014-02-26,4726892830000000.0
2014-02-27,4315349330000000.0
2014-02-28,4755349670000000.0
2014-03-01,4041136880000000.0
2014-03-04,2909404400000000.0
2014-03-05,3649519070000000.0
2014-03-06,3757072300000000.0
2014-03-07,4664591110000000.0
2014-03-08,4049451660000000.0
2014-03-09,4793246850000000.0
2014-03-10,4743164850000000.0
2014-03-12,5498845560000000.0
2014-03-13,4351542220000000.0
2014-03-15,5194300700000000.0
2014-03-16,5550344360000000.0
2014-03-17,5214287870000000.0
2014-03-19,5055697270000000.0
2014-03-20,4974873500000000.0
2014-03-21,6750288970000000.0
2014-03-22,5117003100000000.0
2014-03-23,4600471000000000.0
2014-03-24,5209529580000000.0
2014-03-25,4755066200000000.0
2014-03-26,4897474970000000.0
2014-03-28,4964340100000000.0
2014-03-29,4903174390000000.0
2014-03-30,5148975910000000.0
2014-03-31,4151345200000000.0
2014-04-01,4514246310000000.0
2014-04-02,3633830100000000.0
2014-04-06,3503533670000000.0
2014-04-07,4103010980000000.0
2014-04-09,5475737560000000.0
2014-04-10,5034893520000000.0
2014-04-11,4641100320000000.0
2014-04-13,4753198970000000.0
2014-04-14,3835634500000000.0
2014-04-15,4640430840000000.0
2014-04-16,3981178060000000.0
2014-04-17,4482727160000000.0
2014-04-18,4173265100000000.0
2014-04-20,4064718390000000.0
2014-04-21,2572586360000000.0
2014-04-22,4668419530000000.0
2014-04-23,3795341800000000.0
2014-04-24,4179287450000000.0
2014-04-25,4134250430000000.0
2014-04-26,3811786960000000.0
2014-04-27,3480482310000000.0
2014-04-30,4204345900000000.0
2014-05-01,4661482630000000.0
2014-05-03,4323166710000000.0
2014-05-04,4615823360000000.0
2014-05-07,3523449970000000.0
2014-05-08,4189475650000000.0
2014-05-09,3487438010000000.0
2014-05-10,4265258200000000.0
2014-05-11,4755531130000000.0
2014-05-12,4822484840000000.0
2014-05-13,4423604250000000.0
2014-05-15,4526687220000000.0
2014-05-16,4007218450000000.0
2014-05-17,4785349480000000.0
2014-05-18,4278963710000000.0
2014-05-19,3713877280000000.0
2014-05-20,4736642940000000.0
2014-05-22,4408383960000000.0
2014-05-23,4072172580000000.0
2014-05-24,4599212040000000.0
2014-05-25,3868922910000000.0
2014-05-26,4661071380000000.0
2014-05-27,4747252050000000.0
2014-05-28,4349922480000000.0
2014-05-29,3997116150000000.0
2014-05-31,4117788080000000.0
2014-06-01,3973715550000000.0
2014-06-02,4907334610000000.0
2014-06-03,4374927240000000.0
2014-06-04,5339568300000000.0
2014-06-05,3172638650000000.0
2014-06-08,3017987080000000.0
2014-06-09,4526563740000000.0
2014-06-14,3035863540000000.0
2014-06-17,5293419420000000.0
2014-06-19,3551382020000000.0
2014-06-20,6209749620000000.0
2014-06-23,3746498900000000.0
2014-06-24,3586009120000000.0
2014-06-25,4188236820000000.0
2014-06-26,4223548970000000.0
2014-06-27,4885949960000000.0
2014-06-28,4659155290000000.0
2014-06-30,3953738320000000.0
2014-07-03,4801753040000000.0
2014-07-04,4338104070000000.0
2014-07-05,4271504960000000.0
2014-07-07,4707106990000000.0
2014-07-10,3775384700000000.0
2014-07-11,4117090420000000.0
2014-07-12,3555823020000000.0
2014-07-16,3746312870000000.0
2014-07-18,3834654180000000.0
2014-07-19,3396160300000000.0
2014-07-23,3788714670000000.0
2014-07-25,3463126080000000.0
2014-07-27,3251926970000000.0
2014-07-28,4132500230000000.0
2014-07-29,5182311300000000.0
2014-07-30,4603934360000000.0
2014-07-31,4529944960000000.0
2014-08-03,4802518080000000.0
