date,NO2_reading
2014-01-01,5426070560000000.0
2014-01-02,4374604310000000.0
2014-01-03,4025953360000000.0
2014-01-05,4351091510000000.0
2014-01-07,3969097930000000.0
2014-01-08,4294852410000000.0
2014-01-09,3613928830000000.0
2014-01-10,4854275120000000.0
2014-01-14,4790789590000000.0
2014-01-15,6213916270000000.0
2014-01-16,3823223930000000.0
2014-01-17,4307801200000000.0
2014-01-18,4280969190000000.0
2014-01-19,4736614490000000.0
2014-01-21,3999912440000000.0
2014-01-23,5168669410000000.0
2014-01-24,4598562430000000.0
2014-01-25,3659423270000000.0
2014-01-26,5015543090000000.0
2014-01-28,4277905540000000.0
2014-01-31,5249896370000000.0
2014-02-01,4594956270000000.0
2014-02-02,4625359270000000.0
2014-02-03,3431870000000000.0
2014-02-04,4444225190000000.0
2014-02-06,3641759410000000.0
2014-02-08,3569591070000000.0
2014-02-09,3213158720000000.0
2014-02-10,3519405460000000.0
2014-02-11,4304474740000000.0
2014-02-13,3655795360000000.0
2014-02-15,3569306800000000.0
2014-02-16,1659865680000000.0
2014-02-18,3730035750000000.0
2014-02-20,4817905870000000.0
2014-02-22,3431713500000000.0
2014-02-24,3787108890000000.0
2014-02-25,3285294300000000.0
2014-02-26,3897583230000000.0
2014-02-27,5398662760000000.0
2014-03-01,3912176460000000.0
2014-03-04,3322742660000000.0
2014-03-05,3040782890000000.0
2014-03-06,3436518490000000.0
2014-03-07,3063602320000000.0
2014-03-08,4003822740000000.0
2014-03-10,4815445390000000.0
2014-03-12,5594094510000000.0
2014-03-13,4667709250000000.0
2014-03-14,5465564930000000.0
2014-03-15,4954942710000000.0
2014-03-16,4819255560000000.0
2014-03-17,5998675600000000.0
2014-03-19,5213114270000000.0
2014-03-20,5079239600000000.0
2014-03-22,4143040880000000.0
2014-03-23,6089219410000000.0
2014-03-24,5578179510000000.0
2014-03-26,5463434620000000.0
2014-03-28,4641512640000000.0
2014-03-29,2827309060000000.0
2014-03-30,3251999450000000.0
2014-03-31,5230799330000000.0
2014-04-01,3891173260000000.0
2014-04-02,3543768120000000.0
2014-04-05,3587243660000000.0
2014-04-06,4039808660000000.0
2014-04-07,3629858060000000.0
2014-04-08,3812255380000000.0
2014-04-09,5274731480000000.0
2014-04-11,4014457340000000.0
2014-04-13,4196602340000000.0
2014-04-14,4307978900000000.0
2014-04-15,3981111760000000.0
2014-04-16,3993328250000000.0
2014-04-17,4996752600000000.0
2014-04-18,3968824390000000.0
2014-04-20,3880298140000000.0
2014-04-21,3410886130000000.0
2014-04-22,4012165980000000.0
2014-04-23,3664462610000000.0
2014-04-24,4581451820000000.0
2014-04-25,4135723330000000.0
2014-04-27,3785709270000000.0
2014-04-30,4056836060000000.0
2014-05-01,4201457800000000.0
2014-05-02,5204874910000000.0
2014-05-03,4759116360000000.0
2014-05-07,4131206640000000.0
2014-05-09,2866619550000000.0
2014-05-10,4493020850000000.0
2014-05-11,4183869650000000.0
2014-05-13,4647027910000000.0
2014-05-15,4236994360000000.0
2014-05-16,4456936690000000.0
2014-05-17,4053356860000000.0
2014-05-18,4827785370000000.0
2014-05-19,4633266300000000.0
2014-05-20,4347621180000000.0
2014-05-22,4071154400000000.0
2014-05-23,3684765190000000.0
2014-05-24,4293937310000000.0
2014-05-25,3465057210000000.0
2014-05-26,4434305430000000.0
2014-05-27,4955968130000000.0
2014-05-29,4614176780000000.0
2014-05-31,4269775430000000.0
2014-06-01,3722884900000000.0
2014-06-02,4609677270000000.0
2014-06-03,4412461760000000.0
2014-06-04,4659569750000000.0
2014-06-05,4791718380000000.0
2014-06-08,4261158390000000.0
2014-06-17,4707864510000000.0
2014-06-18,3758290460000000.0
2014-06-19,4973433080000000.0
2014-06-20,1089242560000000.0
2014-06-23,3924113240000000.0
2014-06-24,4562641470000000.0
2014-06-25,3668145270000000.0
2014-06-26,4188738530000000.0
2014-06-27,5773615550000000.0
2014-07-03,3577829360000000.0
2014-07-04,3951726390000000.0
2014-07-05,4571345220000000.0
2014-07-10,4661012860000000.0
2014-07-11,3664792250000000.0
2014-07-18,3601528450000000.0
2014-07-19,3933220720000000.0
2014-07-20,3780057090000000.0
2014-07-23,4893088740000000.0
2014-07-25,4006605340000000.0
2014-07-26,4411640080000000.0
2014-07-27,3497370930000000.0
2014-07-28,3136789100000000.0
2014-07-29,4709138510000000.0
2014-07-30,5009123180000000.0
2014-08-04,4476861580000000.0
2014-08-06,4882649280000000.0
2014-08-07,4707022160000000.0
2014-08-08,3431858720000000.0
2014-08-13,3140565720000000.0
2014-08-14,4437763680000000.0
2014-08-17,4195723490000000.0
2014-08-19,3901379180000000.0
2014-08-20,4127630270000000.0
2014-08-21,2962909230000000.0
2014-08-22,3211097670000000.0
2014-08-23,3515495420000000.0
2014-08-29,3684886520000000.0
2014-08-30,2507605380000000.0
2014-08-31,4002996220000000.0
2014-09-02,5489628560000000.0
2014-09-04,3833209460000000.0
2014-09-05,3809694240000000.0
2014-09-06,3849165530000000.0
2014-09-07,5057144140000000.0
2014-09-08,4336105300000000.0
2014-09-09,4310740830000000.0
2014-09-12,4648379750000000.0
2014-09-13,3785995420000000.0
2014-09-14,3178126820000000.0
2014-09-15,4501459120000000.0
2014-09-16,4315137540000000.0
2014-09-21,3666219520000000.0
2014-09-27,3798262380000000.0
2014-09-28,2400104770000000.0
2014-09-29,4203088820000000.0
2014-09-30,3987077470000000.0
2014-10-02,4523991600000000.0
2014-10-04,4446522460000000.0
2014-10-06,4297088740000000.0
2014-10-07,4589347580000000.0
2014-10-08,3741701690000000.0
2014-10-09,4307544030000000.0
2014-10-11,4587494830000000.0
2014-10-15,2108247380000000.0
2014-10-16,4395486710000000.0
2014-10-18,4163216220000000.0
2014-10-20,3788075790000000.0
2014-10-22,3977498080000000.0
2014-10-23,4165828100000000.0
2014-10-24,3255619840000000.0
2014-10-25,4121564700000000.0
2014-10-29,3185814000000000.0
