date,NO2_reading
2014-01-01,7469071610000000.0
2014-01-02,5934146400000000.0
2014-01-03,1.46665585e+16
2014-01-04,1.41021643e+16
2014-01-06,9111511130000000.0
2014-01-08,9322838550000000.0
2014-01-11,6934278920000000.0
2014-01-12,8285340340000000.0
2014-01-15,7031537920000000.0
2014-01-17,6952945920000000.0
2014-01-18,8963846930000000.0
2014-01-19,6518484210000000.0
2014-01-20,1.08176858e+16
2014-01-22,8825599450000000.0
2014-01-24,5948172150000000.0
2014-01-25,1.35533889e+16
2014-01-26,9655257210000000.0
2014-01-27,5616070250000000.0
2014-01-28,6303355210000000.0
2014-01-29,7490853000000000.0
2014-01-31,6226706150000000.0
2014-02-02,5396651100000000.0
2014-02-03,6338783320000000.0
2014-02-07,5527607340000000.0
2014-02-11,5572576720000000.0
2014-02-14,5704362960000000.0
2014-02-20,7537833500000000.0
2014-02-21,7483555310000000.0
2014-02-23,8026229260000000.0
2014-02-25,8286614340000000.0
2014-02-27,6674582650000000.0
2014-02-28,8033991880000000.0
2014-03-02,7990402250000000.0
2014-03-09,5091221480000000.0
2014-03-13,8912607970000000.0
2014-03-15,1.01569072e+16
2014-03-16,2517923240000000.0
2014-03-17,1.10382335e+16
2014-03-18,1.53965011e+16
2014-03-19,8406647940000000.0
2014-03-22,7004116700000000.0
2014-03-23,8485456290000000.0
2014-03-24,9161212490000000.0
2014-03-25,9965311970000000.0
2014-03-26,9299283870000000.0
2014-03-27,6783341960000000.0
2014-03-29,7641170950000000.0
2014-04-01,5577888520000000.0
2014-04-05,9806448650000000.0
2014-04-08,1.0633887e+16
2014-04-09,1.13320629e+16
2014-04-10,8894801570000000.0
2014-04-11,8147974940000000.0
2014-04-12,8077506340000000.0
2014-04-14,4518392030000000.0
2014-04-15,8325431720000000.0
2014-04-16,7225479320000000.0
2014-04-17,7304155600000000.0
2014-04-18,1.07636175e+16
2014-04-19,9608291740000000.0
2014-04-21,7832182100000000.0
2014-04-24,3985670060000000.0
2014-04-27,1.23217619e+16
2014-04-28,6366534710000000.0
2014-05-01,3918902380000000.0
2014-05-02,5297824440000000.0
2014-05-03,5176647850000000.0
2014-05-11,2952971210000000.0
2014-05-12,2142498800000000.0
2014-05-13,4376809510000000.0
2014-05-14,6054687870000000.0
2014-05-19,5067759150000000.0
2014-05-20,6202358510000000.0
2014-05-25,5563088070000000.0
2014-05-26,3858681030000000.0
2014-05-27,6184163960000000.0
2014-05-28,5382187800000000.0
2014-05-30,4034935750000000.0
2014-06-01,5917058330000000.0
2014-06-02,6257959010000000.0
2014-06-03,6383456880000000.0
2014-06-04,5868495670000000.0
2014-06-05,6397097160000000.0
2014-06-08,5055348310000000.0
2014-06-10,5348034220000000.0
2014-06-11,5693738290000000.0
2014-06-12,6689384720000000.0
2014-06-13,5760788630000000.0
2014-06-14,5897576360000000.0
2014-06-17,5742952710000000.0
2014-06-18,7328785630000000.0
2014-06-19,5214599250000000.0
2014-06-20,5502263810000000.0
2014-06-21,5389900490000000.0
2014-06-22,6210391710000000.0
2014-06-23,4985926070000000.0
2014-06-24,6124564850000000.0
2014-06-26,4862928400000000.0
2014-06-27,5509220050000000.0
2014-06-28,6851634090000000.0
2014-06-29,4580107490000000.0
2014-06-30,5548905010000000.0
2014-07-01,4935111230000000.0
2014-07-03,6101598580000000.0
2014-07-04,4937864840000000.0
2014-07-05,5200065620000000.0
2014-07-06,5559846440000000.0
2014-07-07,6261784760000000.0
2014-07-08,6183526160000000.0
2014-07-10,5485145150000000.0
2014-07-12,5210155570000000.0
2014-07-13,5416570620000000.0
2014-07-14,6989768830000000.0
2014-07-15,6791382680000000.0
2014-07-16,5948645130000000.0
2014-07-17,5121859100000000.0
2014-07-19,6350594480000000.0
2014-07-20,5886140470000000.0
2014-07-21,6057045810000000.0
2014-07-22,4705604290000000.0
2014-07-25,5167627880000000.0
2014-07-26,5756602650000000.0
2014-07-28,5769347960000000.0
2014-07-29,4915519200000000.0
2014-07-30,5508121070000000.0
2014-07-31,5563877800000000.0
2014-08-01,6560454630000000.0
2014-08-02,6654620720000000.0
2014-08-04,5142201670000000.0
2014-08-05,5081406410000000.0
2014-08-06,5802160440000000.0
2014-08-07,5997807480000000.0
2014-08-08,6829032900000000.0
2014-08-09,6692447570000000.0
2014-08-11,5938710870000000.0
2014-08-14,4996389140000000.0
2014-08-15,5248026980000000.0
2014-08-16,5604500680000000.0
2014-08-17,6172414540000000.0
2014-08-18,4843763720000000.0
2014-08-20,5559770200000000.0
2014-08-21,6198238570000000.0
2014-08-22,5851926230000000.0
2014-08-23,5066377780000000.0
2014-08-24,5242545530000000.0
2014-08-25,6017962150000000.0
2014-08-26,4909992120000000.0
2014-08-27,4983874140000000.0
2014-08-29,7430591390000000.0
2014-08-30,5510716840000000.0
2014-08-31,4669916330000000.0
2014-09-01,6638113550000000.0
2014-09-02,7160164140000000.0
2014-09-03,7013188210000000.0
2014-09-05,6199831460000000.0
2014-09-06,5982101850000000.0
2014-09-07,5750893560000000.0
2014-09-08,5031274480000000.0
2014-09-09,5712418710000000.0
2014-09-10,6709398730000000.0
2014-09-12,5937289240000000.0
2014-09-14,4807623720000000.0
2014-09-15,4641904550000000.0
2014-09-16,3681388000000000.0
2014-09-17,5306749920000000.0
2014-09-18,5991673730000000.0
2014-09-19,4949569700000000.0
2014-09-23,5123158860000000.0
2014-09-24,5642503620000000.0
2014-09-25,7381745260000000.0
2014-09-26,5628922930000000.0
2014-09-27,4944635320000000.0
2014-09-28,5644751500000000.0
2014-09-30,4735919780000000.0
2014-10-01,6711951550000000.0
2014-10-02,7349556090000000.0
2014-10-03,5914463630000000.0
2014-10-05,5998085040000000.0
2014-10-07,6508218170000000.0
2014-10-09,5212464650000000.0
2014-10-10,5359623120000000.0
2014-10-12,7574413200000000.0
2014-10-14,6445547080000000.0
2014-10-16,6045742530000000.0
2014-10-17,5050257160000000.0
2014-10-18,6419148600000000.0
2014-10-19,5842568570000000.0
2014-10-21,7365846360000000.0
2014-10-23,6142820070000000.0
2014-10-25,5304874090000000.0
2014-10-26,3132617080000000.0
2014-10-28,6568537230000000.0
2014-10-30,4307206340000000.0
2014-11-01,4679873140000000.0
2014-11-02,6316054890000000.0
2014-11-03,5956685850000000.0
2014-11-04,7189513260000000.0
2014-11-06,8953497130000000.0
2014-11-10,3945510770000000.0
2014-11-11,1.00203004e+16
2014-11-18,7600734370000000.0
2014-11-19,8405985970000000.0
2014-11-20,7518430980000000.0
2014-11-22,6970923580000000.0
2014-11-24,8311725940000000.0
2014-11-26,8460901430000000.0
2014-11-27,3715217310000000.0
2014-11-29,2679360050000000.0
2014-12-04,7050515770000000.0
2014-12-05,8113518570000000.0
2014-12-06,9918859750000000.0
2014-12-08,6414568020000000.0
2014-12-10,3899787620000000.0
2014-12-12,8880047820000000.0
2014-12-13,1.21212986e+16
2014-12-17,8747135760000000.0
2014-12-20,6992644840000000.0
2014-12-21,8493930800000000.0
2014-12-22,8465869630000000.0
2014-12-24,1.25598351e+16
2014-12-29,5667194310000000.0
2014-12-31,8955574820000000.0
2015-01-02,8146947370000000.0
2015-01-04,6697079150000000.0
2015-01-06,1.267482e+16
2015-01-09,1.0487332e+16
2015-01-14,5352896660000000.0
2015-01-16,8513665640000000.0
2015-01-18,8232931000000000.0
2015-01-20,5946759640000000.0
2015-01-21,9176480020000000.0
2015-01-22,7629128930000000.0
2015-01-23,6784623470000000.0
2015-01-29,6149918570000000.0
2015-02-03,7589891190000000.0
2015-02-05,3806481870000000.0
2015-02-06,8120143020000000.0
2015-02-08,3398155040000000.0
2015-02-10,8305828950000000.0
2015-02-12,5268842000000000.0
2015-02-14,6150670730000000.0
2015-02-15,6360351030000000.0
2015-02-17,6365331050000000.0
2015-02-19,6748643460000000.0
2015-02-22,7807189150000000.0
2015-02-24,7572692530000000.0
2015-02-26,6484831000000000.0
2015-02-28,3849820510000000.0
2015-03-02,6842980270000000.0
2015-03-03,8105089690000000.0
2015-03-09,4537333910000000.0
2015-03-14,1.19187554e+16
2015-03-18,6078871760000000.0
2015-03-19,8186233440000000.0
2015-03-20,7915019670000000.0
2015-03-21,8151177910000000.0
2015-03-27,9982534790000000.0
2015-03-28,7810179520000000.0
2015-03-29,8832215310000000.0
2015-03-30,1.07716362e+16
2015-04-01,6002587770000000.0
2015-04-02,4655892190000000.0
2015-04-03,6442456850000000.0
2015-04-04,5845893410000000.0
2015-04-05,6477714770000000.0
2015-04-06,5338997610000000.0
2015-04-12,5623065140000000.0
2015-04-13,5809393700000000.0
2015-04-14,6574132490000000.0
2015-04-15,8526946750000000.0
2015-04-17,6192534310000000.0
2015-04-20,2314653440000000.0
2015-04-22,7981384970000000.0
2015-04-24,3775198410000000.0
2015-04-26,4331858110000000.0
2015-04-27,6484894880000000.0
2015-04-28,5807818520000000.0
2015-04-29,4836537980000000.0
2015-04-30,6897133360000000.0
2015-05-03,5744820480000000.0
2015-05-06,6184008270000000.0
2015-05-07,5245511200000000.0
2015-05-08,3682087540000000.0
2015-05-12,5456164320000000.0
2015-05-13,5092201270000000.0
2015-05-14,5660709450000000.0
2015-05-15,5939261170000000.0
2015-05-16,6108364770000000.0
2015-05-17,3828656250000000.0
2015-05-19,2861528400000000.0
2015-05-28,4516368030000000.0
2015-05-29,4840356200000000.0
2015-05-30,5149025840000000.0
2015-05-31,6012892470000000.0
2015-06-01,4995548400000000.0
2015-06-02,4211524400000000.0
2015-06-07,4401062920000000.0
2015-06-08,5910483810000000.0
2015-06-09,5253715130000000.0
2015-06-10,5775650830000000.0
2015-06-11,5153125920000000.0
2015-06-13,5216688750000000.0
2015-06-14,4915040850000000.0
2015-06-15,4433475430000000.0
2015-06-16,4754219560000000.0
2015-06-17,5997088610000000.0
2015-06-18,5945464170000000.0
2015-06-20,4789189720000000.0
2015-06-21,4883885160000000.0
2015-06-22,3877182410000000.0
2015-06-23,4086537900000000.0
2015-06-24,4424140580000000.0
2015-06-25,5313275590000000.0
2015-06-27,4682400730000000.0
2015-06-29,4456886490000000.0
2015-06-30,4635920050000000.0
2015-07-01,5906152870000000.0
2015-07-02,6725315340000000.0
2015-07-03,5458265630000000.0
2015-07-04,5345120090000000.0
2015-07-07,5415519430000000.0
2015-07-09,3796527210000000.0
2015-07-10,5216090140000000.0
2015-07-11,5381744880000000.0
2015-07-12,4492037840000000.0
2015-07-13,6627861460000000.0
2015-07-15,5667020370000000.0
2015-07-16,5535860660000000.0
2015-07-17,4634020600000000.0
2015-07-18,5588479380000000.0
2015-07-19,4771961530000000.0
2015-07-24,3820245630000000.0
2015-07-25,4620210670000000.0
2015-07-26,4269811400000000.0
2015-07-27,5339203770000000.0
2015-07-29,5154692510000000.0
2015-07-31,5240139270000000.0
2015-08-01,5620236360000000.0
2015-08-02,6036067580000000.0
2015-08-03,6955494990000000.0
2015-08-04,7116293730000000.0
2015-08-05,6453939980000000.0
2015-08-07,4591956770000000.0
2015-08-10,3701168200000000.0
2015-08-11,5182787500000000.0
2015-08-12,6218168290000000.0
2015-08-13,7570640610000000.0
2015-08-14,8947144340000000.0
2015-08-16,4883492710000000.0
2015-08-17,4804129760000000.0
2015-08-19,4275933070000000.0
2015-08-20,5084151430000000.0
2015-08-21,4804958160000000.0
2015-08-23,5242486470000000.0
2015-08-24,4288193860000000.0
2015-08-25,5719911280000000.0
2015-08-26,5232088360000000.0
2015-08-27,9623346670000000.0
2015-09-02,4202020180000000.0
2015-09-03,6373963400000000.0
2015-09-04,6702689450000000.0
2015-09-05,6535001580000000.0
2015-09-06,6853951760000000.0
2015-09-08,6189696410000000.0
2015-09-09,6206191770000000.0
2015-09-10,6384067840000000.0
2015-09-11,5607197920000000.0
2015-09-12,5422766650000000.0
2015-09-13,7651564230000000.0
2015-09-14,4952561690000000.0
2015-09-15,4664541180000000.0
2015-09-17,4987035240000000.0
2015-09-18,5343643150000000.0
2015-09-19,4568274860000000.0
2015-09-22,5855401390000000.0
2015-09-24,5910558970000000.0
2015-09-25,8067466850000000.0
