date,NO2_reading
2014-01-01,2.12533708e+16
2014-01-03,2.7039875e+16
2014-01-04,3.34284434e+16
2014-01-05,2.62234425e+16
2014-01-06,1.93232812e+16
2014-01-10,1.85613476e+16
2014-01-12,1.75870664e+16
2014-01-13,3.24117345e+16
2014-01-14,2.60682933e+16
2014-01-15,1.98918941e+16
2014-01-17,2.40798952e+16
2014-01-19,1.39984205e+16
2014-01-20,5.06155668e+16
2014-01-21,1.98614342e+16
2014-01-22,2.89905697e+16
2014-01-23,1.60033874e+16
2014-01-24,1.65415307e+16
2014-01-26,1.57822943e+16
2014-01-28,1.71208209e+16
2014-01-29,1.5491859e+16
2014-01-31,1.32799863e+16
2014-02-04,1.3978756e+16
2014-02-14,2.33287484e+16
2014-02-15,1.76197383e+16
2014-02-20,1.22498405e+16
2014-02-21,3.80699716e+16
2014-02-22,1.32963963e+16
2014-02-23,2.03813893e+16
2014-03-02,2.18148175e+16
2014-03-09,3.47499061e+16
2014-03-10,1.61947776e+16
2014-03-11,1.28603669e+16
2014-03-13,2.69821871e+16
2014-03-15,2.00596576e+16
2014-03-17,2.17991108e+16
2014-03-18,2.80585639e+16
2014-03-20,1.2491557e+16
2014-03-21,1.89138463e+16
2014-03-22,1.57957054e+16
2014-03-24,1.6026634e+16
2014-03-25,2.95895265e+16
2014-03-26,2.58705293e+16
2014-03-27,1.40256839e+16
2014-03-30,1.13391313e+16
2014-04-02,7715288660000000.0
2014-04-03,1.64292657e+16
2014-04-05,2.36862765e+16
2014-04-06,1.46876178e+16
2014-04-07,2.04308395e+16
2014-04-09,1.46267055e+16
2014-04-10,1.8661154e+16
2014-04-11,1.1592193e+16
2014-04-14,2.27534031e+16
2014-04-15,1.01605719e+16
2014-04-18,5068795850000000.0
2014-04-22,1.59902889e+16
2014-04-23,1.17642075e+16
2014-04-25,4885837760000000.0
2014-04-28,1.52131317e+16
2014-04-29,3.35087572e+16
2014-04-30,3.07592007e+16
2014-05-01,2.53059065e+16
2014-05-02,2.16254309e+16
2014-05-05,1.54298203e+16
2014-05-07,1.69872055e+16
2014-05-08,1.86107397e+16
2014-05-12,2.3192512e+16
2014-05-13,9897168020000000.0
2014-05-14,2.19446715e+16
2014-05-15,2.02429067e+16
2014-05-16,1.93709382e+16
2014-05-20,1.50750818e+16
2014-05-21,1.33717064e+16
2014-05-22,1.34413428e+16
2014-05-23,8786836830000000.0
2014-05-27,2.1725684e+16
2014-05-28,2.05025246e+16
2014-05-29,1.67711547e+16
2014-05-30,1.25052461e+16
2014-05-31,8096156700000000.0
2014-06-02,1.11434451e+16
2014-06-05,7915332130000000.0
2014-06-06,1.47323617e+16
2014-06-08,6840355500000000.0
2014-06-09,1.22372477e+16
2014-06-10,1.2232506e+16
2014-06-12,1.61303671e+16
2014-06-13,1.30037361e+16
2014-06-14,1.62788785e+16
2014-06-15,8732078680000000.0
2014-06-18,4866131370000000.0
2014-06-19,7180289820000000.0
2014-06-24,1.75541069e+16
2014-07-03,1.18018733e+16
2014-07-07,1.08933631e+16
2014-07-08,6928663250000000.0
2014-07-10,1.77707772e+16
2014-07-11,1.11574779e+16
2014-07-12,1.19480353e+16
2014-07-14,8240315130000000.0
