date,NO2_reading
2014-01-01,2.19580203e+16
2014-01-04,2.24019395e+16
2014-01-06,1.01260533e+16
2014-01-07,4703284470000000.0
2014-01-08,1.16804159e+16
2014-01-11,2.15617688e+16
2014-01-14,2.79184879e+16
2014-01-15,1.72584456e+16
2014-01-16,2.5750354e+16
2014-01-17,2.47155224e+16
2014-01-18,1.51887825e+16
2014-01-20,1.88720691e+16
2014-01-22,1.65255277e+16
2014-01-23,1.89265851e+16
2014-01-24,9559271130000000.0
2014-01-25,2.38233482e+16
2014-01-27,1.7559205e+16
2014-01-29,1.39590678e+16
2014-01-31,1.52718879e+16
2014-02-01,1.26135587e+16
2014-02-02,1.36498377e+16
2014-02-03,2.04371724e+16
2014-02-14,1.67963211e+16
2014-02-17,1.28063222e+16
2014-02-23,1.05695419e+16
2014-02-24,1.10247312e+16
2014-02-26,1.31460831e+16
2014-02-27,1.28745102e+16
2014-03-14,8637570070000000.0
2014-03-19,1.34144885e+16
2014-03-20,2.04057053e+16
2014-03-22,2.10398701e+16
2014-03-23,1.46003322e+16
2014-03-24,1.14509594e+16
2014-03-25,1.57257243e+16
2014-03-27,1.37128352e+16
2014-04-05,1.00775234e+16
2014-04-09,1.1147579e+16
2014-04-10,1.04022766e+16
2014-04-12,9931392460000000.0
2014-04-13,1.65864872e+16
2014-04-15,1.0189476e+16
2014-04-16,6278569490000000.0
2014-04-17,1.10404357e+16
2014-04-19,7152429980000000.0
2014-04-22,6349151370000000.0
2014-04-28,1.08329899e+16
2014-04-29,6278199050000000.0
2014-05-03,4620226780000000.0
2014-05-15,6456960420000000.0
2014-05-17,7325853780000000.0
2014-05-19,5891174710000000.0
2014-05-24,5948547420000000.0
2014-05-25,9194529620000000.0
2014-05-26,1.02182426e+16
2014-05-27,1.30540055e+16
2014-05-28,8397085190000000.0
2014-05-30,7397633420000000.0
2014-05-31,8464255260000000.0
2014-06-01,8807794120000000.0
2014-06-02,8546335310000000.0
2014-06-03,9259455570000000.0
2014-06-04,9955249930000000.0
2014-06-08,7975133650000000.0
2014-06-09,7426208370000000.0
2014-06-10,9137306700000000.0
2014-06-12,7763877090000000.0
2014-06-13,9239783540000000.0
2014-06-16,1.19147386e+16
2014-06-17,5839136350000000.0
2014-06-18,9305485810000000.0
2014-06-19,1.15677482e+16
2014-06-23,6597876150000000.0
2014-06-26,9597748670000000.0
2014-06-27,1.06421698e+16
2014-06-28,8215481090000000.0
2014-06-29,7348431880000000.0
2014-07-01,3571469320000000.0
2014-07-02,7213086190000000.0
2014-07-03,9604489620000000.0
2014-07-04,1.17469589e+16
2014-07-05,1.00928457e+16
2014-07-06,9315012040000000.0
2014-07-08,9951620690000000.0
2014-07-10,6799472780000000.0
2014-07-11,9759207230000000.0
2014-07-12,7637538480000000.0
2014-07-13,7707561480000000.0
2014-07-14,9238390900000000.0
2014-07-15,8041902130000000.0
2014-07-19,6251477370000000.0
2014-07-20,7003019870000000.0
2014-07-21,1.19048881e+16
2014-07-22,1.25023502e+16
2014-07-25,5049760550000000.0
2014-07-27,6225300620000000.0
2014-07-28,9516665050000000.0
2014-07-29,1.40478749e+16
2014-07-30,7177338640000000.0
2014-07-31,1.11496889e+16
2014-08-02,1.04840764e+16
2014-08-03,8607940710000000.0
2014-08-04,6957845410000000.0
2014-08-07,5616508870000000.0
2014-08-09,7367792520000000.0
2014-08-11,5180709810000000.0
2014-08-14,4284441940000000.0
2014-08-15,1.22230904e+16
2014-08-16,9550476110000000.0
2014-08-18,9838406420000000.0
2014-08-19,5781413600000000.0
2014-08-21,8498106580000000.0
2014-08-22,9557913920000000.0
2014-08-23,9110000370000000.0
2014-08-25,9319798790000000.0
2014-08-26,1.25912077e+16
2014-08-27,4056399580000000.0
2014-08-28,5373466330000000.0
2014-08-29,9341013780000000.0
2014-08-30,7685842370000000.0
2014-08-31,3725064600000000.0
2014-09-01,7580150740000000.0
2014-09-03,1.46848432e+16
2014-09-04,9906830620000000.0
2014-09-05,4035515570000000.0
2014-09-06,1.06197759e+16
2014-09-07,6521746780000000.0
2014-09-10,1.04541619e+16
2014-09-13,7159847380000000.0
2014-09-14,9822235870000000.0
2014-09-15,6153948330000000.0
2014-09-17,4320818170000000.0
2014-09-19,9622612230000000.0
2014-09-20,7047014300000000.0
2014-09-22,6753799570000000.0
2014-09-23,1.46054744e+16
2014-09-24,1.36145266e+16
2014-09-26,1.37499759e+16
2014-09-27,1.30510527e+16
2014-09-28,1.15172104e+16
2014-09-29,2.32890242e+16
2014-09-30,1.36841685e+16
2014-10-01,1.31945089e+16
2014-10-02,1.51870913e+16
2014-10-03,6613015910000000.0
2014-10-05,9944109860000000.0
2014-10-06,1.03563236e+16
2014-10-07,1.39336663e+16
2014-10-08,1.25207015e+16
2014-10-10,1.17404413e+16
2014-10-12,1.12669856e+16
2014-10-14,1.12060722e+16
2014-10-15,1.46506123e+16
2014-10-17,1.42604435e+16
2014-10-19,9683958330000000.0
2014-10-21,1.63260168e+16
2014-10-22,1.25734599e+16
2014-10-26,7539629330000000.0
2014-10-28,7591405700000000.0
2014-10-30,8104314450000000.0
2014-10-31,1.84847189e+16
2014-11-02,1.21210312e+16
2014-11-06,6449302490000000.0
2014-11-09,5870628660000000.0
2014-11-15,1.26278943e+16
2014-11-16,1.48754356e+16
2014-11-18,1.82170888e+16
2014-11-20,1.7071039e+16
2014-11-22,1.18488387e+16
2014-11-23,1.08782567e+16
2014-11-24,1.73268365e+16
2014-11-25,3.14523998e+16
2014-11-27,1.22386188e+16
2014-12-08,1.54769512e+16
2014-12-09,2.24993043e+16
2014-12-13,3.31689458e+16
2014-12-17,1.31785799e+16
2014-12-20,2.30049551e+16
2014-12-22,2.72735277e+16
