date,NO2_reading
2014-01-01,7747124030000000.0
2014-01-02,1.10183209e+16
2014-01-03,1.19643755e+16
2014-01-04,1.16601877e+16
2014-01-06,2.15559512e+16
2014-01-08,1.11570451e+16
2014-01-09,9506634160000000.0
2014-01-10,1.27982434e+16
2014-01-11,1.21870288e+16
2014-01-13,1.44769947e+16
2014-01-15,1.2480899e+16
2014-01-16,7744985140000000.0
2014-01-17,7468223890000000.0
2014-01-18,9981640360000000.0
2014-01-19,9188816240000000.0
2014-01-20,6422646850000000.0
2014-01-22,9034495920000000.0
2014-01-24,5188593220000000.0
2014-01-25,1.39511436e+16
2014-01-26,1.16123589e+16
2014-01-27,1.50813729e+16
2014-01-29,1.16365772e+16
2014-01-31,7959067780000000.0
2014-02-01,7350065040000000.0
2014-02-02,6750713630000000.0
2014-02-03,5410949050000000.0
2014-02-04,5514009470000000.0
2014-02-05,9755906540000000.0
2014-02-09,4179735200000000.0
2014-02-10,1.03193912e+16
2014-02-11,9093398170000000.0
2014-02-12,1.01435349e+16
2014-02-14,7810250930000000.0
2014-02-16,1.61865485e+16
2014-02-19,7327120790000000.0
2014-02-20,1.06248343e+16
2014-02-21,1.55064554e+16
2014-02-23,1.29232796e+16
2014-02-27,8873408880000000.0
2014-03-02,1.1008042e+16
2014-03-04,7256435830000000.0
2014-03-05,7218983180000000.0
2014-03-06,8291839700000000.0
2014-03-07,1.36485095e+16
2014-03-08,1.52138329e+16
2014-03-09,9959318340000000.0
2014-03-11,1.56719717e+16
2014-03-13,9118339050000000.0
2014-03-14,7006135340000000.0
2014-03-15,9242749220000000.0
2014-03-16,8234859980000000.0
2014-03-18,9667531150000000.0
2014-03-20,7182863040000000.0
2014-03-21,5766606160000000.0
2014-03-22,1.12239307e+16
2014-03-23,1.48677917e+16
2014-03-24,1.01037538e+16
2014-03-25,1.68764018e+16
2014-03-27,9832591040000000.0
2014-03-29,8206545410000000.0
2014-03-30,9746648740000000.0
2014-03-31,9036459790000000.0
2014-04-01,6155988970000000.0
2014-04-03,6440064020000000.0
2014-04-05,7664859300000000.0
2014-04-06,8549940930000000.0
2014-04-07,1.11415059e+16
2014-04-08,1.2416744e+16
2014-04-09,7929156560000000.0
2014-04-12,1.05063307e+16
2014-04-14,8251467550000000.0
2014-04-17,1.26718661e+16
2014-04-18,6332433210000000.0
2014-04-19,7060174080000000.0
2014-04-21,1.3054756e+16
2014-04-22,9669618500000000.0
2014-04-23,1.00726142e+16
2014-04-24,7976308320000000.0
2014-04-26,7864841570000000.0
2014-04-27,7747372070000000.0
2014-04-28,1.27107667e+16
2014-04-30,1.20042972e+16
2014-05-02,6721486380000000.0
2014-05-03,7724065430000000.0
2014-05-04,7378476790000000.0
2014-05-05,9833503720000000.0
2014-05-07,7201374890000000.0
2014-05-08,6621560740000000.0
