date,NO2_reading
2014-01-01,1.59701079e+16
2014-01-02,1.53006685e+16
2014-01-04,2.91925727e+16
2014-01-08,2.17499055e+16
2014-01-09,2.15194462e+16
2014-01-13,2.09823261e+16
2014-01-15,1.16386527e+16
2014-01-16,2.58499887e+16
2014-01-17,1.20373749e+16
2014-01-18,2.49432223e+16
2014-01-20,2.39201332e+16
2014-01-22,1.10702997e+16
2014-01-24,1.14198907e+16
2014-01-25,4.69109514e+16
2014-01-26,2.57652898e+16
2014-01-27,1.42379551e+16
2014-01-31,9216420000000000.0
2014-02-01,1.50075477e+16
2014-02-02,1.25068642e+16
2014-02-10,1.04822553e+16
2014-02-11,1.60297543e+16
2014-02-14,4353433610000000.0
2014-02-19,8399797460000000.0
2014-02-21,1.75126669e+16
2014-03-04,8966640270000000.0
2014-03-05,1.47416624e+16
2014-03-09,1.35389009e+16
2014-03-13,1.42357722e+16
2014-03-14,1.16263476e+16
2014-03-15,1.04650583e+16
2014-03-16,1.8094985e+16
2014-03-17,1.06869148e+16
2014-03-18,4613726880000000.0
2014-03-21,1.8244306e+16
2014-03-22,1.62072524e+16
2014-03-25,5018131340000000.0
2014-03-27,1.17442488e+16
2014-03-29,1.10464572e+16
2014-03-30,7973630940000000.0
2014-03-31,5475693000000000.0
2014-04-01,2.2569673e+16
2014-04-02,1.25715379e+16
2014-04-03,1.04322018e+16
2014-04-05,1.69942385e+16
2014-04-08,1.67253672e+16
2014-04-09,1.32248056e+16
2014-04-10,1.32977857e+16
2014-04-14,9137545070000000.0
2014-04-18,9987175500000000.0
2014-04-22,5794701160000000.0
2014-04-28,8132300460000000.0
2014-04-30,9562811260000000.0
2014-05-01,9383527510000000.0
2014-05-03,5926289290000000.0
2014-05-05,7768100120000000.0
2014-05-07,9494627580000000.0
2014-05-08,1.14689263e+16
2014-05-09,6379107690000000.0
2014-05-11,8685473990000000.0
2014-05-12,1.44149518e+16
2014-05-18,9468348820000000.0
2014-05-20,8027225690000000.0
2014-05-23,8548492990000000.0
2014-05-26,1.16821038e+16
2014-05-27,9597969860000000.0
2014-05-28,1.4219316e+16
2014-05-30,1.04533491e+16
2014-06-02,7115399840000000.0
2014-06-03,1.04151905e+16
2014-06-04,1.10962402e+16
2014-06-05,1.08054752e+16
2014-06-06,1.31431261e+16
2014-06-09,1.15455679e+16
2014-06-10,1.06822623e+16
2014-06-11,1.59044625e+16
2014-06-12,1.12498551e+16
2014-06-13,1.6975243e+16
2014-06-15,8311108540000000.0
2014-06-18,1.15731867e+16
2014-06-19,9474693560000000.0
2014-06-20,6855875370000000.0
2014-07-03,6921262490000000.0
2014-07-06,6009924110000000.0
2014-07-07,6288566020000000.0
2014-07-08,7898696650000000.0
2014-07-10,6433003090000000.0
2014-07-11,6159439980000000.0
2014-07-13,4670231470000000.0
2014-07-14,9492167630000000.0
2014-07-19,6523536710000000.0
2014-07-20,6171635000000000.0
2014-07-21,7384021060000000.0
2014-07-22,8591793240000000.0
2014-07-23,6561531600000000.0
2014-07-24,6060619760000000.0
2014-07-26,7549298380000000.0
2014-07-27,8353350080000000.0
2014-07-28,6916545000000000.0
2014-07-29,6446767920000000.0
2014-07-30,6970930560000000.0
2014-07-31,8486730290000000.0
2014-08-02,6936317960000000.0
2014-08-04,7871138530000000.0
2014-08-05,7802351410000000.0
2014-08-06,8089605800000000.0
