date, pm25, pm10, o3, no2, so2, co
2025/7/2, 74, 42, , 10, 14, 9
2025/7/3, 71, 48, , 10, 27, 12
2025/7/4, 79, 38, , 10, 15, 16
2025/7/5, 60, 35, , 11, 16, 20
2025/7/6, 60, 32, , 10, 8, 15
2025/7/7, 57, 47, , 12, 13, 14
2025/7/8, 80, 45, , 12, 7, 15
2025/7/9, 78, , , , , 
2025/4/2, 110, 65, , 18, 10, 13
2025/4/3, 139, 69, , 22, 9, 15
2025/4/4, 153, 62, , 21, 17, 23
2025/4/5, 128, 52, , 14, 9, 12
2025/4/6, 96, 60, , 19, 10, 11
2025/4/7, 139, 55, , 16, 9, 9
2025/4/8, 103, 68, , 22, 11, 14
2025/4/9, 133, 67, , 19, 12, 12
2025/4/10, 127, 59, , 17, 10, 10
2025/4/11, 129, 50, , 12, 9, 11
2025/4/12, 95, 58, , 8, 8, 6
2025/4/13, 91, 47, , 8, 8, 8
2025/4/14, 70, 45, , 12, 9, 10
2025/4/15, 78, 43, , 12, 7, 6
2025/4/16, 87, 42, , 15, 8, 7
2025/4/17, 83, 41, , 11, 9, 9
2025/4/18, 70, 37, , 14, 9, 9
2025/4/19, 70, 40, , 10, 8, 5
2025/4/20, 79, 35, , 7, 9, 8
2025/4/21, 68, 35, , 7, 8, 7
2025/4/22, 64, 38, , 9, 11, 7
2025/4/23, 71, 42, , 8, 9, 10
2025/4/24, 83, 55, , 11, 14, 12
2025/4/25, 99, 50, , 11, 11, 9
2025/4/26, 100, 62, , 19, 13, 18
2025/4/27, 121, 60, , 17, 11, 12
2025/4/28, 114, 52, , 11, 8, 8
2025/4/29, 96, 54, , 12, 7, 7
2025/4/30, 104, 31, , 7, 6, 8
2025/5/1, 60, 40, , 8, 9, 8
2025/5/2, 81, 36, , 7, 7, 9
2025/5/3, 62, 30, , 9, 8, 5
2025/5/4, 64, 25, , 8, 7, 4
2025/5/5, 58, 34, , 10, 8, 7
2025/5/6, 65, 44, , 12, 10, 8
2025/5/7, 68, 40, , 11, 13, 13
2025/5/8, 77, 34, , 8, 8, 10
2025/5/9, 65, 39, , 9, 8, 5
2025/5/10, 72, 53, , 9, 8, 6
2025/5/11, 78, 41, , 9, 11, 7
2025/5/12, 84, 42, , 13, 9, 7
2025/5/13, 91, 35, , 7, 5, 6
2025/5/14, 75, 34, , 6, 7, 8
2025/5/15, 69, 37, , 8, 7, 11
2025/5/16, 85, 44, , 11, 8, 10
2025/5/17, 95, 35, , 8, 6, 8
2025/5/18, 67, 47, , 8, 9, 7
2025/5/19, 79, 39, , 8, 8, 10
2025/5/20, 85, 39, , 11, 7, 9
2025/5/21, 83, 35, , 13, 5, 7
2025/5/22, 70, 38, , 11, 8, 6
2025/5/23, 69, 46, , 8, 9, 10
2025/5/24, 87, 37, , 10, 4, 7
2025/5/25, 82, 54, , 14, 20, 13
2025/5/26, 140, 54, , 13, 23, 11
2025/5/27, 118, 34, , 12, 9, 9
2025/5/28, 74, 32, , 13, 17, 10
2025/5/29, 63, 35, , 11, 6, 13
2025/5/30, 77, 45, , 12, 10, 11
2025/5/31, 85, 28, , 9, 6, 7
2025/6/1, 48, 40, , 11, 8, 7
2025/6/2, 67, 46, , 9, 7, 7
2025/6/3, 60, 22, , 6, 4, 7
2025/6/4, 55, 44, , 15, 5, 8
2025/6/5, 90, 47, , 12, 8, 11
2025/6/6, 89, 54, , 12, 7, 8
2025/6/7, 86, 41, , 9, 7, 6
2025/6/8, 71, 39, , 9, 10, 8
2025/6/9, 59, 39, , 10, 7, 9
2025/6/10, 75, 61, , 16, 16, 12
2025/6/11, 111, 50, , 15, 10, 9
2025/6/12, 88, 52, , 16, 8, 9
2025/6/13, 83, 50, , 15, 12, 10
2025/6/14, 95, 52, , 12, 16, 9
2025/6/15, 101, 17, , 10, 7, 10
2025/6/16, 57, 43, , 14, 19, 13
2025/6/17, 76, 34, , 11, 11, 21
2025/6/18, 65, 38, , 12, 7, 9
2025/6/19, 60, 37, , 9, 7, 6
2025/6/20, 55, 29, , 8, 5, 7
2025/6/21, 48, 21, , 9, 3, 10
2025/6/22, 46, 29, , 10, 5, 9
2025/6/23, 64, 27, , 11, 14, 14
2025/6/24, 88, 40, , 10, 9, 8
2025/6/25, 66, 42, , 10, 9, 10
2025/6/26, 77, 52, , 10, 13, 9
2025/6/27, 106, 34, , 9, 11, 13
2025/6/28, 61, 57, , 17, 30, 9
2025/6/29, 79, 36, , 10, 10, 9
2025/6/30, 60, 33, , 9, 10, 12
2025/7/1, 74, 46, , 11, 21, 11
2025/1/2, 129, 60, , 25, 16, 15
2025/1/3, 124, 56, , 26, 16, 17
2025/1/4, 136, 64, , 22, 14, 15
2025/1/5, 139, 58, , 21, 22, 10
2025/1/6, 104, 67, , 22, 19, 10
2025/1/7, 147, 62, , 20, 22, 14
2025/1/8, 131, 54, , 19, 20, 17
2025/1/9, 91, 55, , 18, 8, 14
2025/1/10, 124, 63, , 22, 14, 15
2025/1/11, 138, 37, , 13, 11, 9
2025/1/12, 73, 61, , 18, 19, 12
2025/1/13, 116, 62, , 23, 20, 27
2025/1/14, 142, 72, , 26, 27, 34
2025/1/15, 140, 54, , 18, 16, 13
2025/1/16, 108, 73, , 26, 25, 14
2025/1/17, 156, 66, , 22, 21, 17
2025/1/18, 145, 69, , 28, 15, 22
2025/1/19, 151, 64, , 24, 17, 16
2025/1/20, 143, 73, , 28, 12, 17
2025/1/21, 157, 70, , 25, 20, 17
2025/1/22, 149, 68, , 25, 16, 16
2025/1/23, 145, 74, , 27, 13, 15
2025/1/24, 157, 70, , 25, 29, 31
2025/1/25, 135, 69, , 19, 28, 21
2025/1/26, 123, 30, , 7, 10, 10
2025/1/27, 66, 45, , 8, 10, 10
2025/1/28, 90, 52, , 8, 8, 8
2025/1/29, 107, 60, , 11, 19, 12
2025/1/30, 127, 78, , 14, 12, 14
2025/1/31, 163, 58, , 15, 15, 12
2025/2/1, 126, 68, , 21, 19, 19
2025/2/2, 148, 63, , 16, 11, 10
2025/2/3, 138, 37, , 7, 21, 10
2025/2/4, 77, 53, , 13, 27, 12
2025/2/5, 103, 61, , 17, 19, 14
2025/2/6, 137, 65, , 18, 10, 17
