Title:,"Time Series, Area-Averaged of SO2 Column Amount daily 0.25 deg. [OMI OMSO2e (daily)"
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2025-07-01T23:59:59Z
User Bounding Box:,"119.1,32.1,119.4,32.4"
Data Bounding Box:,"119.125,32.125,119.375,32.375"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2025-07-01T23:59:59Z&bbox=119.1,32.1,119.4,32.4&data=OMSO2e_003_ColumnAmountSO2&variableFacets=dataFieldMeasurement%3ASO2%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMSO2e_003_ColumnAmountSO2):, -1.267651e+30

time, mean_OMSO2e_003_ColumnAmountSO2
2014-01-01,-0.35817796
2014-01-02,-1.267651e+30
2014-01-03,-1.267651e+30
2014-01-04,-1.267651e+30
2014-01-05,-0.600000024
2014-01-06,0.454786628
2014-01-07,-1.267651e+30
2014-01-08,-1.267651e+30
2014-01-09,-1.267651e+30
2014-01-10,-1.267651e+30
2014-01-11,-1.267651e+30
2014-01-12,-1.267651e+30
2014-01-13,-1.267651e+30
2014-01-14,1.26863718
2014-01-15,0.275130779
2014-01-16,-1.267651e+30
2014-01-17,-1.267651e+30
2014-01-18,-1.267651e+30
2014-01-19,0.860000014
2014-01-20,0.340185821
2014-01-21,0.333410114
2014-01-22,-0.359738469
2014-01-23,-1.267651e+30
2014-01-24,-0.0681554452
2014-01-25,-1.267651e+30
2014-01-26,0.406424731
2014-01-27,-1.267651e+30
2014-01-28,-1.267651e+30
2014-01-29,-1.267651e+30
2014-01-30,-1.267651e+30
2014-01-31,-1.267651e+30
2014-02-01,-1.267651e+30
2014-02-02,-1.267651e+30
2014-02-03,-1.267651e+30
2014-02-04,0.379999995
2014-02-05,-1.267651e+30
2014-02-06,-1.267651e+30
2014-02-07,-1.267651e+30
2014-02-08,-1.267651e+30
2014-02-09,-1.267651e+30
2014-02-10,-1.267651e+30
2014-02-11,-1.267651e+30
2014-02-12,-1.267651e+30
2014-02-13,-1.267651e+30
2014-02-14,-0.387173086
2014-02-15,0.224814177
2014-02-16,-1.267651e+30
2014-02-17,-1.267651e+30
2014-02-18,-1.267651e+30
2014-02-19,-1.267651e+30
2014-02-20,-1.267651e+30
2014-02-21,0.104697168
2014-02-22,0.280000001
2014-02-23,-1.267651e+30
2014-02-24,-1.267651e+30
2014-02-25,-1.267651e+30
2014-02-26,-1.267651e+30
2014-02-27,-1.267651e+30
2014-02-28,-1.267651e+30
2014-03-01,-1.267651e+30
2014-03-02,-1.267651e+30
2014-03-03,-1.267651e+30
2014-03-04,-1.267651e+30
2014-03-05,-1.267651e+30
2014-03-06,-1.267651e+30
2014-03-07,-1.267651e+30
2014-03-08,-1.267651e+30
2014-03-09,0.695757091
2014-03-10,0.579999983
2014-03-11,0.522042274
2014-03-12,-1.267651e+30
2014-03-13,-0.24734515
2014-03-14,-1.267651e+30
2014-03-15,-0.320330381
2014-03-16,-1.267651e+30
2014-03-17,0.515227139
2014-03-18,0.162627324
2014-03-19,-1.267651e+30
2014-03-20,-1.267651e+30
2014-03-21,-1.267651e+30
2014-03-22,0.12989676
2014-03-23,-1.267651e+30
2014-03-24,-1.267651e+30
2014-03-25,-1.267651e+30
2014-03-26,0.309256673
2014-03-27,0.103081584
2014-03-28,-1.267651e+30
2014-03-29,-1.267651e+30
2014-03-30,-1.267651e+30
2014-03-31,-1.267651e+30
2014-04-01,-1.267651e+30
2014-04-02,-0.0299999993
2014-04-03,-1.267651e+30
2014-04-04,-1.267651e+30
2014-04-05,0.575819016
2014-04-06,-1.267651e+30
2014-04-07,-1.267651e+30
2014-04-08,-1.267651e+30
2014-04-09,0.244552627
2014-04-10,0.282565385
2014-04-11,-1.267651e+30
2014-04-12,-1.267651e+30
2014-04-13,-1.267651e+30
2014-04-14,-1.267651e+30
2014-04-15,-1.267651e+30
2014-04-16,-1.267651e+30
2014-04-17,-1.267651e+30
2014-04-18,-1.267651e+30
2014-04-19,-1.267651e+30
2014-04-20,-1.267651e+30
2014-04-21,-1.267651e+30
2014-04-22,-1.267651e+30
2014-04-23,-1.267651e+30
2014-04-24,-1.267651e+30
2014-04-25,-1.267651e+30
2014-04-26,-1.267651e+30
2014-04-27,-1.267651e+30
2014-04-28,-1.267651e+30
2014-04-29,-0.39984858
2014-04-30,0.0202202424
2014-05-01,-1.267651e+30
2014-05-02,-1.267651e+30
2014-05-03,-1.267651e+30
2014-05-04,-1.267651e+30
2014-05-05,0.427331388
2014-05-06,-1.267651e+30
2014-05-07,0.0380334072
2014-05-08,-1.267651e+30
2014-05-09,-1.267651e+30
2014-05-10,-1.267651e+30
2014-05-11,-1.267651e+30
2014-05-12,0.25766176
2014-05-13,-1.267651e+30
2014-05-14,-1.267651e+30
2014-05-15,-0.0249999911
2014-05-16,-1.267651e+30
2014-05-17,-1.267651e+30
2014-05-18,-1.267651e+30
2014-05-19,-1.267651e+30
2014-05-20,0.565419853
2014-05-21,-1.267651e+30
2014-05-22,-0.259972453
2014-05-23,0.115103237
2014-05-24,-1.267651e+30
2014-05-25,-1.267651e+30
2014-05-26,-1.267651e+30
2014-05-27,-1.267651e+30
2014-05-28,0.125763983
2014-05-29,-0.0599999987
2014-05-30,-0.349999994
2014-05-31,0.340000004
2014-06-01,-1.267651e+30
2014-06-02,-1.267651e+30
2014-06-03,-1.267651e+30
2014-06-04,-1.267651e+30
2014-06-05,-1.267651e+30
2014-06-06,-1.267651e+30
2014-06-07,-1.267651e+30
2014-06-08,-1.267651e+30
2014-06-09,-1.267651e+30
2014-06-10,0.415770859
2014-06-11,-1.267651e+30
2014-06-12,-0.265075713
2014-06-13,-1.267651e+30
2014-06-14,-1.267651e+30
2014-06-15,-1.267651e+30
2014-06-16,-1.267651e+30
2014-06-17,-1.267651e+30
2014-06-18,-1.267651e+30
2014-06-19,-1.267651e+30
2014-06-20,-1.267651e+30
2014-06-21,-1.267651e+30
2014-06-22,-1.267651e+30
2014-06-23,-1.267651e+30
2014-06-24,-1.267651e+30
2014-06-25,-1.267651e+30
2014-06-26,-1.267651e+30
2014-06-27,-1.267651e+30
2014-06-28,-1.267651e+30
2014-06-29,-1.267651e+30
2014-06-30,-1.267651e+30
2014-07-01,-1.267651e+30
2014-07-02,-1.267651e+30
2014-07-03,-1.267651e+30
2014-07-04,-1.267651e+30
2014-07-05,-1.267651e+30
2014-07-06,-1.267651e+30
2014-07-07,-1.267651e+30
2014-07-08,-1.267651e+30
2014-07-09,-1.267651e+30
2014-07-10,-1.267651e+30
2014-07-11,-1.267651e+30
2014-07-12,-1.267651e+30
2014-07-13,-1.267651e+30
2014-07-14,-1.267651e+30
2014-07-15,-1.267651e+30
2014-07-16,-1.267651e+30
2014-07-17,-1.267651e+30
2014-07-18,-1.267651e+30
2014-07-19,-1.267651e+30
2014-07-20,-1.267651e+30
2014-07-21,-1.267651e+30
2014-07-22,-1.267651e+30
2014-07-23,-0.105447374
2014-07-24,-1.267651e+30
2014-07-25,-1.267651e+30
2014-07-26,-1.267651e+30
2014-07-27,-1.267651e+30
2014-07-28,-1.267651e+30
2014-07-29,-1.267651e+30
2014-07-30,0.109999999
2014-07-31,-1.267651e+30
2014-08-01,-1.267651e+30
2014-08-02,-1.267651e+30
2014-08-03,0.410426736
2014-08-04,-1.267651e+30
2014-08-05,-1.267651e+30
2014-08-06,-1.267651e+30
2014-08-07,-1.267651e+30
2014-08-08,-1.267651e+30
2014-08-09,-1.267651e+30
2014-08-10,-1.267651e+30
2014-08-11,-1.267651e+30
2014-08-12,-1.267651e+30
2014-08-13,-1.267651e+30
2014-08-14,-1.267651e+30
2014-08-15,-1.267651e+30
2014-08-16,-1.267651e+30
2014-08-17,-1.267651e+30
2014-08-18,-1.267651e+30
2014-08-19,-1.267651e+30
2014-08-20,-1.267651e+30
2014-08-21,-1.267651e+30
2014-08-22,-1.267651e+30
2014-08-23,-1.267651e+30
2014-08-24,-1.267651e+30
2014-08-25,-1.267651e+30
2014-08-26,-1.267651e+30
2014-08-27,-1.267651e+30
2014-08-28,-1.267651e+30
2014-08-29,-1.267651e+30
2014-08-30,-1.267651e+30
2014-08-31,-1.267651e+30
2014-09-01,-1.267651e+30
2014-09-02,-1.267651e+30
2014-09-03,-1.267651e+30
2014-09-04,-1.267651e+30
2014-09-05,-1.267651e+30
2014-09-06,-1.267651e+30
2014-09-07,-1.267651e+30
2014-09-08,-1.267651e+30
2014-09-09,-1.267651e+30
2014-09-10,-1.267651e+30
2014-09-11,-1.267651e+30
2014-09-12,-1.267651e+30
2014-09-13,-1.267651e+30
2014-09-14,-1.267651e+30
2014-09-15,-1.267651e+30
2014-09-16,-1.267651e+30
2014-09-17,-1.267651e+30
2014-09-18,-1.267651e+30
2014-09-19,-1.267651e+30
2014-09-20,-1.267651e+30
2014-09-21,-1.267651e+30
2014-09-22,-1.267651e+30
2014-09-23,-1.267651e+30
2014-09-24,-1.267651e+30
2014-09-25,-1.267651e+30
2014-09-26,-1.267651e+30
2014-09-27,-1.267651e+30
2014-09-28,-1.267651e+30
2014-09-29,-1.267651e+30
2014-09-30,-1.267651e+30
2014-10-01,-1.267651e+30
2014-10-02,-1.267651e+30
2014-10-03,0.349999994
2014-10-04,-1.267651e+30
2014-10-05,-0.170000002
2014-10-06,-1.267651e+30
2014-10-07,0.0295388587
2014-10-08,-1.267651e+30
2014-10-09,-1.267651e+30
2014-10-10,-1.267651e+30
2014-10-11,-0.0552546568
2014-10-12,-1.267651e+30
2014-10-13,-1.267651e+30
2014-10-14,0.159848586
2014-10-15,-1.267651e+30
2014-10-16,-1.267651e+30
2014-10-17,-1.267651e+30
2014-10-18,0.839242876
2014-10-19,-1.267651e+30
2014-10-20,-1.267651e+30
2014-10-21,-1.267651e+30
2014-10-22,-1.267651e+30
2014-10-23,-1.267651e+30
2014-10-24,-1.267651e+30
2014-10-25,0.455626339
2014-10-26,-1.267651e+30
2014-10-27,-1.267651e+30
2014-10-28,-0.370000005
2014-10-29,-1.267651e+30
2014-10-30,-1.267651e+30
2014-10-31,-1.267651e+30
2014-11-01,-1.267651e+30
2014-11-02,-1.267651e+30
2014-11-03,-0.525736392
2014-11-04,0.842166185
2014-11-05,-1.267651e+30
2014-11-06,-1.267651e+30
2014-11-07,-1.267651e+30
2014-11-08,-1.267651e+30
2014-11-09,-1.267651e+30
2014-11-10,-1.267651e+30
2014-11-11,-1.267651e+30
2014-11-12,-0.109999999
2014-11-13,0.486959726
2014-11-14,-1.267651e+30
2014-11-15,-1.267651e+30
2014-11-16,-1.267651e+30
2014-11-17,0.880550563
2014-11-18,-1.267651e+30
2014-11-19,-1.267651e+30
2014-11-20,0.272895753
2014-11-21,-1.267651e+30
2014-11-22,-1.267651e+30
2014-11-23,-1.267651e+30
2014-11-24,-1.267651e+30
2014-11-25,-1.267651e+30
2014-11-26,-1.267651e+30
2014-11-27,-1.267651e+30
2014-11-28,-1.267651e+30
2014-11-29,-1.267651e+30
2014-11-30,-1.267651e+30
2014-12-01,0.105433613
2014-12-02,-1.267651e+30
2014-12-03,-1.267651e+30
2014-12-04,-1.267651e+30
2014-12-05,0.829999983
2014-12-06,0.402111113
2014-12-07,-1.267651e+30
2014-12-08,-0.769022703
2014-12-09,-1.267651e+30
2014-12-10,-1.267651e+30
2014-12-11,-1.267651e+30
2014-12-12,0.480399191
2014-12-13,-1.267651e+30
2014-12-14,0.469999999
2014-12-15,0.170000002
2014-12-16,-1.267651e+30
2014-12-17,0.290550619
2014-12-18,-1.267651e+30
